window_days,delta,transform,fat_mode,alpha_sigma,acc_ttt,acc_ttt_fat,acc_book,brier_ttt,brier_ttt_fat,brier_book,logloss_ttt,logloss_ttt_fat,logloss_book
7,0.9,linear,sigma_inflate,0.06,65.18,65.18,68.15,0.2703,0.2323,0.2011,1.0911,0.6993,0.5849
7,0.9,linear,sigma_inflate,0.08,65.18,65.18,68.15,0.2703,0.2297,0.2011,1.0911,0.6829,0.5849
7,0.9,linear,sigma_inflate,0.1,65.18,65.18,68.15,0.2703,0.2285,0.2011,1.0911,0.6747,0.5849
7,0.9,linear,sigma_inflate,0.12,65.18,65.18,68.15,0.2703,0.2281,0.2011,1.0911,0.6705,0.5849
7,0.9,linear,sigma_inflate,0.15,65.18,65.18,68.15,0.2703,0.2282,0.2011,1.0911,0.6682,0.5849
7,0.9,linear,sigma_inflate,0.2,65.18,65.18,68.15,0.2703,0.2294,0.2011,1.0911,0.6688,0.5849
7,0.95,linear,logit_shift,0,65.18,64.88,68.15,0.2703,0.2704,0.2011,1.0911,1.0913,0.5849
7,0.95,linear,sigma_inflate,0.06,65.18,65.18,68.15,0.2703,0.2306,0.2011,1.0911,0.6884,0.5849
7,0.95,linear,sigma_inflate,0.08,65.18,65.18,68.15,0.2703,0.2287,0.2011,1.0911,0.6758,0.5849
7,0.95,linear,sigma_inflate,0.1,65.18,65.18,68.15,0.2703,0.228,0.2011,1.0911,0.6702,0.5849
7,0.95,linear,sigma_inflate,0.12,65.18,65.18,68.15,0.2703,0.2281,0.2011,1.0911,0.668,0.5849
7,0.95,linear,sigma_inflate,0.15,65.18,65.18,68.15,0.2703,0.2288,0.2011,1.0911,0.6678,0.5849
7,0.95,linear,sigma_inflate,0.2,65.18,65.18,68.15,0.2703,0.2305,0.2011,1.0911,0.6703,0.5849
7,1,linear,logit_shift,0,65.18,64.94,68.15,0.2703,0.2704,0.2011,1.0911,1.0917,0.5849
7,1,linear,sigma_inflate,0.06,65.18,65.18,68.15,0.2703,0.2293,0.2011,1.0911,0.6804,0.5849
7,1,linear,sigma_inflate,0.08,65.18,65.18,68.15,0.2703,0.2282,0.2011,1.0911,0.6714,0.5849
7,1,linear,sigma_inflate,0.1,65.18,65.18,68.15,0.2703,0.2281,0.2011,1.0911,0.6682,0.5849
7,1,linear,sigma_inflate,0.12,65.18,65.18,68.15,0.2703,0.2286,0.2011,1.0911,0.6677,0.5849
7,1,linear,sigma_inflate,0.15,65.18,65.18,68.15,0.2703,0.2297,0.2011,1.0911,0.669,0.5849
7,1,linear,sigma_inflate,0.2,65.18,65.18,68.15,0.2703,0.2319,0.2011,1.0911,0.673,0.5849
10,0.9,linear,logit_shift,0,65.18,64.88,68.15,0.2703,0.2704,0.2011,1.0911,1.0909,0.5849
10,0.9,linear,sigma_inflate,0.06,65.18,65.18,68.15,0.2703,0.2295,0.2011,1.0911,0.6827,0.5849
10,0.9,linear,sigma_inflate,0.08,65.18,65.18,68.15,0.2703,0.2272,0.2011,1.0911,0.669,0.5849
10,0.9,linear,sigma_inflate,0.1,65.18,65.18,68.15,0.2703,0.2263,0.2011,1.0911,0.6627,0.5849
10,0.9,linear,sigma_inflate,0.12,65.18,65.18,68.15,0.2703,0.2262,0.2011,1.0911,0.6601,0.5849
10,0.9,linear,sigma_inflate,0.15,65.18,65.18,68.15,0.2703,0.2267,0.2011,1.0911,0.6594,0.5849
10,0.9,linear,sigma_inflate,0.2,65.18,65.18,68.15,0.2703,0.2283,0.2011,1.0911,0.6617,0.5849
10,0.95,linear,logit_shift,0,65.18,64.7,68.15,0.2703,0.2704,0.2011,1.0911,1.0913,0.5849
10,0.95,linear,sigma_inflate,0.06,65.18,65.18,68.15,0.2703,0.2275,0.2011,1.0911,0.6714,0.5849
10,0.95,linear,sigma_inflate,0.08,65.18,65.18,68.15,0.2703,0.2262,0.2011,1.0911,0.6625,0.5849
10,0.95,linear,sigma_inflate,0.1,65.18,65.18,68.15,0.2703,0.2261,0.2011,1.0911,0.6596,0.5849
10,0.95,linear,sigma_inflate,0.12,65.18,65.18,68.15,0.2703,0.2267,0.2011,1.0911,0.6593,0.5849
10,0.95,linear,sigma_inflate,0.15,65.18,65.18,68.15,0.2703,0.2279,0.2011,1.0911,0.6609,0.5849
10,0.95,linear,sigma_inflate,0.2,65.18,65.18,68.15,0.2703,0.2301,0.2011,1.0911,0.6652,0.5849
10,1,linear,logit_shift,0,65.18,64.52,68.15,0.2703,0.2704,0.2011,1.0911,1.0917,0.5849
10,1,linear,sigma_inflate,0.06,65.18,65.18,68.15,0.2703,0.2264,0.2011,1.0911,0.6647,0.5849
10,1,linear,sigma_inflate,0.08,65.18,65.18,68.15,0.2703,0.2262,0.2011,1.0911,0.6603,0.5849
10,1,linear,sigma_inflate,0.1,65.18,65.18,68.15,0.2703,0.227,0.2011,1.0911,0.66,0.5849
10,1,linear,sigma_inflate,0.12,65.18,65.18,68.15,0.2703,0.228,0.2011,1.0911,0.6614,0.5849
10,1,linear,sigma_inflate,0.15,65.18,65.18,68.15,0.2703,0.2297,0.2011,1.0911,0.6646,0.5849
10,1,linear,sigma_inflate,0.2,65.18,65.18,68.15,0.2703,0.2324,0.2011,1.0911,0.67,0.5849
