"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Korda S.","Kotov P.",1.36,3.2,99.84,0.16,"Korda S.",TRUE,"Korda S.",TRUE,FALSE,17
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Bublik A.","Machac T.",2.1,1.73,85.19,14.81,"Bublik A.",TRUE,"Machac T.",FALSE,FALSE,17
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Rublev A.","Zhang Zh.",1.17,5,100,0,"Rublev A.",TRUE,"Rublev A.",TRUE,FALSE,17
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Hurkacz H.","Struff J.L.",1.17,5,99.52,0.48,"Hurkacz H.",TRUE,"Hurkacz H.",TRUE,FALSE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Lehecka J.","Fucsovics M.",1.62,2.3,47.93,52.07,"Fucsovics M.",FALSE,"Lehecka J.",TRUE,TRUE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Davidovich Fokina A.","Marozsan F.",1.53,2.5,65.9,34.1,"Davidovich Fokina A.",TRUE,"Davidovich Fokina A.",TRUE,FALSE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Humbert U.","Monfils G.",1.53,2.5,10.97,89.03,"Monfils G.",FALSE,"Humbert U.",TRUE,TRUE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Cazaux A.","Musetti L.",1.44,2.75,0.18,99.82,"Musetti L.",FALSE,"Cazaux A.",TRUE,TRUE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","O Connell C.","Marterer M.",1.67,2.2,20.19,79.81,"Marterer M.",FALSE,"O Connell C.",TRUE,TRUE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Khachanov K.","Van Assche L.",1.2,4.5,100,0,"Khachanov K.",TRUE,"Khachanov K.",TRUE,FALSE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Mensik J.","Coric B.",2.1,1.73,91.44,8.56,"Mensik J.",TRUE,"Coric B.",FALSE,FALSE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Medvedev D.","Shevchenko A.",1.1,7,100,0,"Medvedev D.",TRUE,"Medvedev D.",TRUE,FALSE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Sonego L.","Nagal S.",1.53,2.5,98.76,1.24,"Sonego L.",TRUE,"Sonego L.",TRUE,FALSE,17
2024-04-15,25,"Barcelona Open","1st Round","Clay","Outdoor","Nakashima B.","Evans D.",1.5,2.63,23.07,76.93,"Evans D.",FALSE,"Nakashima B.",TRUE,TRUE,25
2024-04-15,25,"Barcelona Open","1st Round","Clay","Outdoor","Bautista Agut R.","Safiullin R.",1.67,2.2,12.47,87.53,"Safiullin R.",FALSE,"Bautista Agut R.",TRUE,TRUE,25
2024-04-15,25,"Barcelona Open","1st Round","Clay","Outdoor","Arnaldi M.","Cazaux A.",1.33,3.4,98.65,1.35,"Arnaldi M.",TRUE,"Arnaldi M.",TRUE,FALSE,25
2024-04-15,25,"Barcelona Open","1st Round","Clay","Outdoor","Ofner S.","Kotov P.",2,1.8,43.17,56.83,"Kotov P.",FALSE,"Kotov P.",FALSE,FALSE,25
2024-04-16,25,"Barcelona Open","1st Round","Clay","Outdoor","Van Assche L.","Zhang Zh.",1.91,1.91,0.09,99.91,"Zhang Zh.",FALSE,NA,FALSE,FALSE,25
2024-04-16,25,"Barcelona Open","1st Round","Clay","Outdoor","Munar J.","Nishioka Y.",1.25,4,8.96,91.04,"Nishioka Y.",FALSE,"Munar J.",TRUE,TRUE,25
2024-04-16,25,"Barcelona Open","1st Round","Clay","Outdoor","Altmaier D.","Popyrin A.",2.5,1.53,1.81,98.19,"Popyrin A.",FALSE,"Popyrin A.",FALSE,FALSE,25
2024-06-17,35,"Halle Open","1st Round","Grass","Outdoor","Koepfer D.","Auger-Aliassime F.",3.2,1.36,1.39,98.61,"Auger-Aliassime F.",FALSE,"Auger-Aliassime F.",FALSE,FALSE,35
2024-06-17,35,"Halle Open","1st Round","Grass","Outdoor","Sonego L.","Kecmanovic M.",2,1.8,98.03,1.97,"Sonego L.",TRUE,"Kecmanovic M.",FALSE,FALSE,35
2024-06-17,35,"Halle Open","1st Round","Grass","Outdoor","Zhang Zh.","Ofner S.",1.91,1.91,51.1,48.9,"Zhang Zh.",TRUE,NA,FALSE,FALSE,35
2024-06-17,35,"Halle Open","1st Round","Grass","Outdoor","Marozsan F.","Safiullin R.",2.5,1.53,58.81,41.19,"Marozsan F.",TRUE,"Safiullin R.",FALSE,FALSE,35
2024-06-17,35,"Halle Open","1st Round","Grass","Outdoor","Medvedev D.","Borges N.",1.08,8,100,0,"Medvedev D.",TRUE,"Medvedev D.",TRUE,FALSE,35
2024-06-17,35,"Halle Open","1st Round","Grass","Outdoor","Hurkacz H.","Cobolli F.",1.13,6,99.98,0.02,"Hurkacz H.",TRUE,"Hurkacz H.",TRUE,FALSE,35
2024-06-18,35,"Halle Open","1st Round","Grass","Outdoor","Fils A.","Machac T.",2,1.8,98.12,1.88,"Fils A.",TRUE,"Machac T.",FALSE,FALSE,35
