tournament_set,n_tournaments_used,n_matches,ttt_accuracy,bookmaker_accuracy
Grandslams,4,127,75.59,77.17
All_2024_R1,64,579,64.25,65.8
Masters1000,8,137,62.77,64.23
ATP250,39,178,61.24,62.36
ATP500,12,117,60.68,62.39
