Date,ATP,Tournament,Round,Surface,Court,Winner,Loser,B365W,B365L,mu_winner,mu_loser,sigma_winner,sigma_loser,TTT_Prob_W,TTT_Prob_L,TTT_Pct_W,TTT_Pct_L,pred,ttt_correct,bookie_pred,bookie_correct,bet365_right_ttt_wrong,ATPk
2024-05-08,29,Internazionali BNL d'Italia,1st Round,Clay,Outdoor,Cobolli F.,Marterer M.,1.4,3,1.6530389122636417,2.062444674509763,0.5873260281116002,0.5423095301796037,0.3042776183333843,0.6957223816666157,30.43,69.57,Marterer M.,FALSE,Cobolli F.,TRUE,TRUE,29
2024-05-08,29,Internazionali BNL d'Italia,1st Round,Clay,Outdoor,Monteiro T.,Monfils G.,1.67,2.2,1.2420953647411435,2.586795708173544,0.415497268158218,0.3581496243552062,0.00711579473755994,0.99288420526244,0.71,99.29,Monfils G.,FALSE,Monteiro T.,TRUE,TRUE,29
2024-05-08,29,Internazionali BNL d'Italia,1st Round,Clay,Outdoor,Atmane T.,Eubanks C.,1.5,2.63,1.060280894024713,1.9714766142176647,1.0183182576456862,0.30676693078225564,0.19578538381318658,0.8042146161868134,19.58,80.42,Eubanks C.,FALSE,Atmane T.,TRUE,TRUE,29
2024-05-09,29,Internazionali BNL d'Italia,1st Round,Clay,Outdoor,Koepfer D.,Vavassori A.,1.67,2.2,1.3708171129699145,2.1032924620011175,0.509411857965356,0.6089859542702024,0.1781168478196035,0.8218831521803965,17.81,82.19,Vavassori A.,FALSE,Koepfer D.,TRUE,TRUE,29
2024-05-09,29,Internazionali BNL d'Italia,1st Round,Clay,Outdoor,Munar J.,Hijikata R.,1.08,8,1.4636004609268687,1.8109258364320917,0.3375293933089967,0.40878494552408784,0.2561766167903809,0.743823383209619,25.62,74.38,Hijikata R.,FALSE,Munar J.,TRUE,TRUE,29
2024-05-09,29,Internazionali BNL d'Italia,1st Round,Clay,Outdoor,Medjedovic H.,Popyrin A.,1.8,2,1.9266159357073325,2.277605815820107,0.49035852028555166,0.29173938752828676,0.2692297902756724,0.7307702097243276,26.92,73.08,Popyrin A.,FALSE,Medjedovic H.,TRUE,TRUE,29
2024-05-09,29,Internazionali BNL d'Italia,1st Round,Clay,Outdoor,Napolitano S.,Wolf J.J.,1.44,2.75,-3.7974312962062036,2.0205900499443015,2.6232060367291985,0.281373640867816,0.01371810508980463,0.9862818949101954,1.37,98.63,Wolf J.J.,FALSE,Napolitano S.,TRUE,TRUE,29
2024-05-09,29,Internazionali BNL d'Italia,1st Round,Clay,Outdoor,Moutet C.,Safiullin R.,1.73,2.1,0.55064025679677,2.3128270207897375,0.4678241052759787,0.29860250089946017,7.488665939024631e-4,0.9992511334060975,0.07,99.93,Safiullin R.,FALSE,Moutet C.,TRUE,TRUE,29
2024-05-09,29,Internazionali BNL d'Italia,1st Round,Clay,Outdoor,Carballes Baena R.,O Connell C.,1.44,2.75,1.6248256450346246,1.7823908410518576,0.3097280392107429,0.30657746200980196,0.3588425472722731,0.6411574527277268,35.88,64.12,O Connell C.,FALSE,Carballes Baena R.,TRUE,TRUE,29
2024-08-06,48,Canadian Open,1st Round,Hard,Outdoor,Etcheverry T.,Jarry N.,1.73,2.1,2.2096253192127757,2.8524977204482878,0.2765867141184823,0.28071788021160654,0.05141296678035097,0.948587033219649,5.14,94.86,Jarry N.,FALSE,Etcheverry T.,TRUE,TRUE,48
2024-08-07,48,Canadian Open,1st Round,Hard,Outdoor,Humbert U.,Fils A.,1.62,2.3,2.448306103567546,2.6153173287323463,0.2754767085541143,0.3173255924013638,0.3455216110916318,0.6544783889083682,34.55,65.45,Fils A.,FALSE,Humbert U.,TRUE,TRUE,48
2024-08-07,48,Canadian Open,1st Round,Hard,Outdoor,Fritz T.,Navone M.,1.06,10,2.8345504139299034,4.366523750818572,0.25232401596040993,2.3629536616473263,0.25957221835543254,0.7404277816445675,25.96,74.04,Navone M.,FALSE,Fritz T.,TRUE,TRUE,48
2024-08-07,48,Canadian Open,1st Round,Hard,Outdoor,Rinderknech A.,Mannarino A.,1.5,2.63,1.0076037769880455,2.6112945058654278,0.3553572138643013,0.25177127261668486,1.155505077187976e-4,0.9998844494922812,0.01,99.99,Mannarino A.,FALSE,Rinderknech A.,TRUE,TRUE,48
2024-08-08,48,Canadian Open,1st Round,Hard,Outdoor,Kokkinakis T.,Monfils G.,1.73,2.1,2.3100887915185044,2.471238811081473,0.3611202853768206,0.3497854556987151,0.3742806502841851,0.6257193497158149,37.43,62.57,Monfils G.,FALSE,Kokkinakis T.,TRUE,TRUE,48
2024-10-02,56,Shanghai Masters,1st Round,Hard,Outdoor,Shapovalov D.,Sonego L.,1.5,2.63,2.1875220927664984,2.202708552592276,0.37086333222867607,0.2730115137071961,0.4868464412458826,0.5131535587541174,48.68,51.32,Sonego L.,FALSE,Shapovalov D.,TRUE,TRUE,56
2024-10-02,56,Shanghai Masters,1st Round,Hard,Outdoor,Daniel T.,Gerasimov E.,1.29,3.75,1.6125755354147988,1.7499583894786996,0.3678020649441176,1.342742997724211,0.4606961798767706,0.5393038201232294,46.07,53.93,Gerasimov E.,FALSE,Daniel T.,TRUE,TRUE,56
2024-10-03,56,Shanghai Masters,1st Round,Hard,Outdoor,Kecmanovic M.,Hijikata R.,1.53,2.5,1.6501273037470037,1.7758639570144945,0.2817498613336194,0.3946749446627952,0.3977051852331659,0.6022948147668341,39.77,60.23,Hijikata R.,FALSE,Kecmanovic M.,TRUE,TRUE,56
2024-10-03,56,Shanghai Masters,1st Round,Hard,Outdoor,Bellucci M.,Harris B.,1.4,3,-2.0022757894975927,1.2582391538830067,2.927879394863588,1.4812807433916944,0.16018993340797638,0.8398100665920236,16.02,83.98,Harris B.,FALSE,Bellucci M.,TRUE,TRUE,56
2024-10-28,62,BNP Paribas Masters,1st Round,Hard,Indoor,Giron M.,Shang J.,1.62,2.3,1.666798882563132,1.8429011267108515,0.2756116413770446,0.5008897588276956,0.379030809172811,0.620969190827189,37.9,62.1,Shang J.,FALSE,Giron M.,TRUE,TRUE,62
2024-10-28,62,BNP Paribas Masters,1st Round,Hard,Indoor,Kecmanovic M.,Baez S.,1.4,3,1.6982307194828121,2.002603830709108,0.2813709989740441,0.2737312125422238,0.21906147609395685,0.7809385239060431,21.91,78.09,Baez S.,FALSE,Kecmanovic M.,TRUE,TRUE,62
2024-10-29,62,BNP Paribas Masters,1st Round,Hard,Indoor,Bergs Z.,Gasquet R.,1.41,2.75,1.0556389737627228,1.254642698306323,0.608042755885111,0.3377079250829799,0.38739390729601303,0.6126060927039869,38.74,61.26,Gasquet R.,FALSE,Bergs Z.,TRUE,TRUE,62
