ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,GamesMatch,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,Fatigue_W,Fatigue_L,mu_winner,mu_loser,sigma_winner,sigma_loser,p_ttt_win,p_adj_win,y,pred_base,ttt_correct,pred_fat,ttt_fat_correct,p_book,pred_book,bookie_correct,p_base_fav,y_base_fav,p_fat_fav,y_fat_fav,p_book_fav,y_book_fav,theta_used,ATP_k
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,O Connell C.,Garin C.,68,86,814,680,3,6,7,5,4,6,6,1,7,5,3,2,Completed,1.44,2.75,1.43,3.08,1.48,3.16,1.41,2.95,50,1.8235755331732035,0.31192152392396993,1.9494003990509163,0.34453062518448724,0.62694,0,1.8235755331732035,1.9494003990509163,0.31192152392396993,0.34453062518448724,0.39329770904659767,0.4914841671345554,1,Garin C.,FALSE,Garin C.,FALSE,0.6563245823389022,O Connell C.,TRUE,0.6067022909534023,0,0.5085158328654447,0,0.6563245823389022,1,-0.6370701037670555,5
5,Melbourne,Australian Open,2024-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Marozsan F.,Cerundolo F.,67,21,823,1760,7,6,6,4,6,2,NA,NA,NA,NA,3,0,Completed,1.57,2.38,1.54,2.66,1.6,2.66,1.55,2.46,31,2.5227540444095258,0.42131451652714547,2.490535103398472,0.2553811268085606,0.6378750000000001,0.8019000000000002,2.5227540444095258,2.490535103398472,0.42131451652714547,0.2553811268085606,0.5260707910512642,0.4999706003318551,1,Marozsan F.,TRUE,Cerundolo F.,FALSE,0.6025316455696202,Marozsan F.,TRUE,0.5260707910512642,1,0.5000293996681449,0,0.6025316455696202,1,-0.6370701037670555,5
5,Melbourne,Australian Open,2024-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Kecmanovic M.,Struff J.L.,60,25,890,1511,6,4,1,6,7,6,1,6,7,6,3,2,Completed,1.5,2.63,1.55,2.64,1.57,2.64,1.52,2.57,50,1.757710285616573,0.28306376905270725,2.48767435154321,0.3166630551486425,0.747225,0.9477,1.757710285616573,2.48767435154321,0.28306376905270725,0.3166630551486425,0.04284083986852251,0.037899008758354114,1,Struff J.L.,FALSE,Struff J.L.,FALSE,0.6368038740920097,Kecmanovic M.,TRUE,0.9571591601314775,0,0.9621009912416458,0,0.6368038740920097,1,-0.6370701037670555,5
5,Melbourne,Australian Open,2024-01-28,Grand Slam,Outdoor,Hard,The Final,5,Sinner J.,Medvedev D.,4,3,6490,7555,3,6,3,6,6,4,6,4,6,3,3,2,Completed,1.36,3.25,1.33,3.67,1.4,3.75,1.35,3.29,47,3.859565339634668,0.24589855131206756,4.025343508251821,0.24535730633236608,0.7492500000000001,1.9869300000000003,3.859565339634668,4.025343508251821,0.24589855131206756,0.24535730633236608,0.316596596102413,0.17394160171789744,1,Medvedev D.,FALSE,Medvedev D.,FALSE,0.7049891540130152,Sinner J.,TRUE,0.683403403897587,0,0.8260583982821026,0,0.7049891540130152,1,-0.6370701037670555,5
6,Montpellier,Open Sud de France,2024-01-30,ATP250,Indoor,Hard,1st Round,3,Cazaux A.,Marterer M.,83,92,696,636,6,1,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.4,3,1.4,3.18,1.41,3.2,1.38,2.99,16,0.8784882134436249,1.0264386735482929,1.8012197268403418,0.5170357301084038,0,0,0.8784882134436249,1.8012197268403418,1.0264386735482929,0.5170357301084038,0.21102773051380047,0.21102773051380044,1,Marterer M.,FALSE,Marterer M.,FALSE,0.6818181818181818,Cazaux A.,TRUE,0.7889722694861996,0,0.7889722694861996,0,0.6818181818181818,1,-0.5723639040664261,6
8,Dallas,Dallas Open,2024-02-08,ATP250,Indoor,Hard,2nd Round,3,Koepfer D.,Hijikata R.,60,88,868,680,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.46,2.95,1.5,2.95,1.44,2.74,22,1.567941609524634,0.5710937690910773,1.8417762725945952,0.3869970027388917,0.5175,0.45,1.567941609524634,1.8417762725945952,0.5710937690910773,0.3869970027388917,0.34570620251471273,0.354328520841736,1,Hijikata R.,FALSE,Hijikata R.,FALSE,0.6563245823389022,Koepfer D.,TRUE,0.6542937974852873,0,0.6456714791582641,0,0.6563245823389022,1,-0.5614944158883362,8
9,Marseille,Open 13,2024-02-07,ATP250,Indoor,Hard,2nd Round,3,Machac T.,Musetti L.,66,27,838,1480,6,3,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.64,2.41,1.64,2.5,1.6,2.29,17,2.0268600133329606,0.551943783077014,2.518861720534593,0.2761715392319969,0.495,0.36450000000000005,2.0268600133329606,2.518861720534593,0.551943783077014,0.2761715392319969,0.21267457558049718,0.22557940269061544,1,Musetti L.,FALSE,Musetti L.,FALSE,0.586734693877551,Machac T.,TRUE,0.7873254244195028,0,0.7744205973093845,0,0.586734693877551,1,-0.5780502801847098,9
9,Marseille,Open 13,2024-02-09,ATP250,Indoor,Hard,Quarterfinals,3,Humbert U.,Davidovich Fokina A.,21,24,1775,1535,6,1,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.59,2.54,1.62,2.54,1.57,2.36,17,2.536095876314817,0.26861200620602427,2.5556226979341488,0.2762957300395127,0.48600000000000004,1.0192500000000002,2.536095876314817,2.5556226979341488,0.26861200620602427,0.2762957300395127,0.4797928695757794,0.40392967046997835,1,Davidovich Fokina A.,FALSE,Davidovich Fokina A.,FALSE,0.6025316455696202,Humbert U.,TRUE,0.5202071304242206,0,0.5960703295300216,0,0.6025316455696202,1,-0.5780502801847098,9
11,Delray Beach,Delray Beach Open,2024-02-14,ATP250,Outdoor,Hard,2nd Round,3,Giron M.,Mannarino A.,52,19,945,1975,6,0,6,7,6,1,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.76,2.19,1.76,2.22,1.68,2.15,26,1.8173454727733365,0.27298956009448344,2.6588805771910526,0.25440005887908584,1.6784325000000002,0.45926999999999996,1.8173454727733365,2.6588805771910526,0.27298956009448344,0.25440005887908584,0.012060230611302968,0.02389134361929432,1,Mannarino A.,FALSE,Mannarino A.,FALSE,0.5684754521963824,Giron M.,TRUE,0.987939769388697,0,0.9761086563807057,0,0.5684754521963824,1,-0.5705972040733062,11
12,Rotterdam,ABN AMRO World Tennis Tournament,2024-02-13,ATP500,Indoor,Hard,1st Round,3,Fucsovics M.,Marozsan F.,86,61,682,896,7,6,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.68,2.31,1.68,2.31,1.64,2.22,20,2.2482484442786475,0.30970548507117956,2.514616448583741,0.41706402560688927,0,0,2.2482484442786475,2.514616448583741,0.30970548507117956,0.41706402560688927,0.30406012316383624,0.30406012316383624,1,Marozsan F.,FALSE,Marozsan F.,FALSE,0.5684754521963824,Fucsovics M.,TRUE,0.6959398768361638,0,0.6959398768361638,0,0.5684754521963824,1,-0.5638318060605032,12
12,Rotterdam,ABN AMRO World Tennis Tournament,2024-02-15,ATP500,Indoor,Hard,2nd Round,3,Ruusuvuori E.,Struff J.L.,55,25,931,1526,6,3,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.58,2.54,1.58,2.55,1.53,2.47,18,2.317239915227787,0.29511747529947274,2.5281988644129587,0.31421560325098963,0.72,0.7290000000000001,2.317239915227787,2.5281988644129587,0.29511747529947274,0.31421560325098963,0.31228683817350034,0.3111980618283053,1,Struff J.L.,FALSE,Struff J.L.,FALSE,0.6203473945409429,Ruusuvuori E.,TRUE,0.6877131618264997,0,0.6888019381716948,0,0.6203473945409429,1,-0.5638318060605032,12
12,Rotterdam,ABN AMRO World Tennis Tournament,2024-02-17,ATP500,Indoor,Hard,Semifinals,3,De Minaur A.,Dimitrov G.,11,13,2970,2905,6,4,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.84,2.08,1.85,2.12,1.76,2.04,19,3.039228203617202,0.25779616006968303,3.4169801543064113,0.267238137058611,1.3232475,1.5462000000000002,3.039228203617202,3.4169801543064113,0.25779616006968303,0.267238137058611,0.15449713638197443,0.13877956239122854,1,Dimitrov G.,FALSE,Dimitrov G.,FALSE,0.5483028720626633,De Minaur A.,TRUE,0.8455028636180255,0,0.8612204376087714,0,0.5483028720626633,1,-0.5638318060605032,12
14,Los Cabos,Los Cabos Open,2024-02-21,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Cobolli F.,84,69,700,825,6,1,6,0,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.93,1.96,1.93,2.01,1.85,1.93,13,2.023837644769617,0.30272833559411927,2.204595959201685,0.5794785842406124,0,0,2.023837644769617,2.204595959201685,0.30272833559411927,0.5794785842406124,0.3910904317632538,0.3910904317632538,1,Cobolli F.,FALSE,Cobolli F.,FALSE,0.5263157894736842,Nishioka Y.,TRUE,0.6089095682367462,0,0.6089095682367462,0,0.5263157894736842,1,-0.48136770414010616,14
14,Los Cabos,Los Cabos Open,2024-02-22,ATP250,Outdoor,Hard,2nd Round,3,Borges N.,Purcell M.,47,51,997,961,6,3,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.63,2.44,1.65,2.44,1.59,2.32,18,1.196437604103486,0.40652251136368794,1.490676220767423,0.35690177877004803,0.42525,0.6075,1.196437604103486,1.490676220767423,0.40652251136368794,0.35690177877004803,0.29324903005878034,0.27540194348646124,1,Purcell M.,FALSE,Purcell M.,FALSE,0.6025316455696202,Borges N.,TRUE,0.7067509699412197,0,0.7245980565135388,0,0.6025316455696202,1,-0.48136770414010616,14
15,Rio de Janeiro,Rio Open,2024-02-20,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Ofner S.,73,37,776,1091,6,3,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.81,2.1,1.81,2.22,1.72,2.09,16,1.6159344661371493,0.33271233438195774,2.0502446231043256,0.3550541451854741,0,0,1.6159344661371493,2.0502446231043256,0.33271233438195774,0.3550541451854741,0.1860422758432384,0.18604227584323837,1,Ofner S.,FALSE,Ofner S.,FALSE,0.5684754521963824,Munar J.,TRUE,0.8139577241567616,0,0.8139577241567616,0,0.5684754521963824,1,-0.49735146235625616,15
15,Rio de Janeiro,Rio Open,2024-02-24,ATP500,Outdoor,Clay,Semifinals,3,Baez S.,Cerundolo F.,30,22,1415,1685,7,5,6,0,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.62,2.46,1.62,2.67,1.56,2.39,18,2.04198542886572,0.2650460347746206,2.482252029848901,0.25860567003574747,1.3196474999999999,0.9258750000000001,2.04198542886572,2.482252029848901,0.2650460347746206,0.25860567003574747,0.11723409863103675,0.1390690249513756,1,Cerundolo F.,FALSE,Cerundolo F.,FALSE,0.6203473945409429,Baez S.,TRUE,0.8827659013689633,0,0.8609309750486244,0,0.6203473945409429,1,-0.49735146235625616,15
16,Acapulco,Abierto Mexicano,2024-02-29,ATP500,Outdoor,Hard,2nd Round,3,Shelton B.,Arnaldi M.,17,42,2055,1061,7,6,3,6,6,3,NA,NA,NA,NA,2,1,Completed,1.4,3,1.51,2.78,1.51,3,1.44,2.72,31,2.3265145141617967,0.27327480179262376,2.390107775813692,0.33566987101390755,0.66825,0.58725,2.3265145141617967,2.390107775813692,0.27327480179262376,0.33566987101390755,0.44159766089429625,0.4518749819464766,1,Arnaldi M.,FALSE,Arnaldi M.,FALSE,0.6818181818181818,Shelton B.,TRUE,0.5584023391057038,0,0.5481250180535234,0,0.6818181818181818,1,-0.5133666570193027,16
16,Acapulco,Abierto Mexicano,2024-03-02,ATP500,Outdoor,Hard,Semifinals,3,Ruud C.,Rune H.,11,7,3120,3700,3,6,6,3,6,4,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.66,2.37,1.73,2.37,1.64,2.23,28,2.6121228891304344,0.2667236840713947,3.0216404654959104,0.2535127687407185,1.7711999999999999,1.320075,2.6121228891304344,3.0216404654959104,0.2667236840713947,0.2535127687407185,0.13288084246727072,0.1619037313266308,1,Rune H.,FALSE,Rune H.,FALSE,0.5483028720626633,Ruud C.,TRUE,0.8671191575327293,0,0.8380962686733692,0,0.5483028720626633,1,-0.5133666570193027,16
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Humbert U.,Monfils G.,18,54,1990,937,4,6,6,3,6,3,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.51,2.72,1.58,2.72,1.51,2.5,28,2.4812803129121113,0.26700334590194186,2.5653810527555185,0.34558436574916784,0,0.42646500000000004,2.4812803129121113,2.5653810527555185,0.26700334590194186,0.34558436574916784,0.4236454714197674,0.37402237633193997,1,Monfils G.,FALSE,Monfils G.,FALSE,0.6203473945409429,Humbert U.,TRUE,0.5763545285802326,0,0.6259776236680601,0,0.6203473945409429,1,-0.4857912863242127,17
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Cazaux A.,Musetti L.,86,26,701,1480,6,4,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.5,2.78,1.5,2.9,1.43,2.75,23,1.4816287694416166,0.869065240730833,2.446518829246924,0.26941598861456384,0,0,1.4816287694416166,2.446518829246924,0.869065240730833,0.26941598861456384,0.1444647707090586,0.14446477070905858,1,Musetti L.,FALSE,Musetti L.,FALSE,0.6563245823389022,Cazaux A.,TRUE,0.8555352292909414,0,0.8555352292909414,0,0.6563245823389022,1,-0.4857912863242127,17
17,Dubai,Dubai Tennis Championships,2024-02-28,ATP500,Outdoor,Hard,2nd Round,3,Davidovich Fokina A.,Mensik J.,24,87,1540,701,7,6,1,0,NA,NA,NA,NA,NA,NA,1,0,Retired,1.67,2.2,1.75,2.21,1.75,2.23,1.7,2.14,14,2.4945632548959296,0.27050952834457603,3.662430227657865,0.9815091430273076,0.5850000000000001,1.0972575,2.4945632548959296,3.662430227657865,0.27050952834457603,0.9815091430273076,0.12567015505617432,0.10077461019487133,1,Mensik J.,FALSE,Mensik J.,FALSE,0.5684754521963824,Davidovich Fokina A.,TRUE,0.8743298449438257,0,0.8992253898051287,0,0.5684754521963824,1,-0.4857912863242127,17
18,Santiago,Chile Open,2024-03-01,ATP250,Indoor,Clay,Quarterfinals,3,Tabilo A.,Darderi L.,51,80,951,747,6,0,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.75,2.22,1.75,2.35,1.66,2.18,18,1.3723695271605534,0.5742146374303907,1.8726688702831864,0.8994654737763443,0.45,1.39725,1.3723695271605534,1.8726688702831864,0.5742146374303907,0.8994654737763443,0.31959622369720386,0.22818595174678102,1,Darderi L.,FALSE,Darderi L.,FALSE,0.586734693877551,Tabilo A.,TRUE,0.6804037763027961,0,0.771814048253219,0,0.586734693877551,1,-0.4887355650173757,18
19,Indian Wells,BNP Paribas Open,2024-03-06,Masters 1000,Outdoor,Hard,1st Round,3,Nakashima B.,Eubanks C.,93,34,645,1234,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.48,2.82,1.53,2.82,1.48,2.67,22,1.5567124044394576,0.3339535460688586,2.055893663477287,0.29787100454085236,0,0,1.5567124044394576,2.055893663477287,0.3339535460688586,0.29787100454085236,0.1323180261158496,0.1323180261158496,1,Eubanks C.,FALSE,Eubanks C.,FALSE,0.6368038740920097,Nakashima B.,TRUE,0.8676819738841504,0,0.8676819738841504,0,0.6368038740920097,1,-0.4596377507744727,19
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Machac T.,Wawrinka S.,63,70,868,797,7,6,4,6,6,2,NA,NA,NA,NA,2,1,Completed,1.5,2.63,1.55,2.6,1.55,2.63,1.52,2.54,31,2.025341936165339,0.5090574904160119,2.145329309721077,0.29222234926335655,0,0,2.025341936165339,2.145329309721077,0.5090574904160119,0.29222234926335655,0.4190132986715768,0.4190132986715768,1,Wawrinka S.,FALSE,Wawrinka S.,FALSE,0.6368038740920097,Machac T.,TRUE,0.5809867013284232,0,0.5809867013284232,0,0.6368038740920097,1,-0.4596377507744727,19
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Coric B.,Ofner S.,35,38,1194,1116,6,2,3,6,6,0,NA,NA,NA,NA,2,1,Completed,1.3,3.5,1.36,3.42,1.37,3.5,1.33,3.36,23,1.920441095229972,0.3214697877596322,1.957510841660405,0.34844330437241394,0,0,1.920441095229972,1.957510841660405,0.3214697877596322,0.34844330437241394,0.468837514519137,0.46883751451913697,1,Ofner S.,FALSE,Ofner S.,FALSE,0.7291666666666667,Coric B.,TRUE,0.531162485480863,0,0.531162485480863,0,0.7291666666666667,1,-0.4596377507744727,19
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Seyboth Wild T.,Wolf J.J.,65,94,820,640,6,2,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.64,2.39,1.65,2.43,1.6,2.35,15,1.1611384200463644,0.5405439763993787,1.9121273447328264,0.2707070467529421,0,0,1.1611384200463644,1.9121273447328264,0.5405439763993787,0.2707070467529421,0.10707290519993258,0.1070729051999326,1,Wolf J.J.,FALSE,Wolf J.J.,FALSE,0.6025316455696202,Seyboth Wild T.,TRUE,0.8929270948000674,0,0.8929270948000674,0,0.6025316455696202,1,-0.4596377507744727,19
19,Indian Wells,BNP Paribas Open,2024-03-08,Masters 1000,Outdoor,Hard,1st Round,3,Tabilo A.,Kotov P.,39,67,1116,819,4,6,6,3,7,5,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.66,2.34,1.7,2.34,1.64,2.26,31,1.3857597706314095,0.5754391970887959,2.148274432687303,0.3435175202295553,0,0,1.3857597706314095,2.148274432687303,0.5754391970887959,0.3435175202295553,0.12760526649556797,0.12760526649556797,1,Kotov P.,FALSE,Kotov P.,FALSE,0.586734693877551,Tabilo A.,TRUE,0.872394733504432,0,0.872394733504432,0,0.586734693877551,1,-0.4596377507744727,19
19,Indian Wells,BNP Paribas Open,2024-03-09,Masters 1000,Outdoor,Hard,2nd Round,3,Shelton B.,Mensik J.,16,81,2145,751,4,6,6,3,6,4,NA,NA,NA,NA,2,1,Completed,1.5,2.63,1.5,2.77,1.5,2.77,1.48,2.66,29,2.352316684777099,0.27351491165527175,3.8094849134713806,0.9349063566518484,0,0.38475000000000004,2.352316684777099,3.8094849134713806,0.27351491165527175,0.9349063566518484,0.06733716830875094,0.057045059937884744,1,Mensik J.,FALSE,Mensik J.,FALSE,0.6368038740920097,Shelton B.,TRUE,0.9326628316912491,0,0.9429549400621152,0,0.6368038740920097,1,-0.4596377507744727,19
19,Indian Wells,BNP Paribas Open,2024-03-11,Masters 1000,Outdoor,Hard,3rd Round,3,Shelton B.,Cerundolo F.,16,22,2145,1840,7,6,3,6,7,6,NA,NA,NA,NA,2,1,Completed,1.25,4,1.31,3.8,1.31,4.08,1.28,3.72,35,2.352316684777099,0.27351491165527175,2.4729768613134304,0.26051084980186884,0.58725,0.21870000000000003,2.352316684777099,2.4729768613134304,0.27351491165527175,0.26051084980186884,0.37469679685053053,0.415148906545673,1,Cerundolo F.,FALSE,Cerundolo F.,FALSE,0.7619047619047619,Shelton B.,TRUE,0.6253032031494694,0,0.584851093454327,0,0.7619047619047619,1,-0.4596377507744727,19
20,Miami,Miami Open,2024-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Van Assche L.,Kotov P.,80,67,736,823,6,3,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.67,2.31,1.75,2.36,1.66,2.21,21,1.2363610878112266,0.3757025733226659,2.063877750901899,0.3378440820362951,0,0,1.2363610878112266,2.063877750901899,0.3757025733226659,0.3378440820362951,0.050732463005935056,0.05073246300593504,1,Kotov P.,FALSE,Kotov P.,FALSE,0.5483028720626633,Van Assche L.,TRUE,0.949267536994065,0,0.949267536994065,0,0.5483028720626633,1,-0.4766420354041561,20
