ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,z_val,pred,ttt_correct,bookie_pred,bookie_correct
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Machac T.,Etcheverry T.,78,30,722,1375,6,7,7,5,7,6,NA,NA,NA,NA,2,1,Completed,1.36,3.2,1.4,3.17,1.41,3.2,1.37,3.02,1.7062258122802625,0.6141794207618624,2.179906085935964,0.27087972935613763,1.7062258122802625,2.179906085935964,0.6141794207618624,0.27087972935613763,-0.7056567004319637,Etcheverry T.,FALSE,Machac T.,TRUE
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Marozsan F.,57,64,886,805,6,2,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.64,2.39,1.7,2.39,1.63,2.24,2.020470928799248,0.3179727200236114,2.550095824817472,0.44558516403697346,2.020470928799248,2.550095824817472,0.3179727200236114,0.44558516403697346,-0.967518392215436,Marozsan F.,FALSE,Bautista Agut R.,TRUE
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Etcheverry T.,48,30,961,1375,7,6,4,6,7,5,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.75,2.19,1.75,2.25,1.69,2.15,2.038584387923592,0.3411036072813259,2.1191030503535964,0.2717229254611085,2.038584387923592,2.1191030503535964,0.3411036072813259,0.2717229254611085,-0.18463260597355416,Etcheverry T.,FALSE,Shevchenko A.,TRUE
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mcdonald M.,55,42,910,1055,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.57,2.53,1.57,2.63,1.54,2.43,1.7004213103424834,0.28730978731841417,2.1676346115766822,0.2656290965727372,1.7004213103424834,2.1676346115766822,0.28730978731841417,0.2656290965727372,-1.194041647191868,Mcdonald M.,FALSE,Kecmanovic M.,TRUE
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Hijikata R.,40,70,1096,782,6,3,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.83,2.07,1.83,2.07,1.78,2.01,1.7627464544838407,0.3224256980440587,2.011154668823909,0.4031744045689538,1.7627464544838407,2.011154668823909,0.3224256980440587,0.4031744045689538,-0.481183674081532,Hijikata R.,FALSE,Evans D.,TRUE
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Eubanks C.,59,34,865,1235,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.44,2.98,1.46,3.1,1.41,2.83,2.069496835303494,0.28737367220415744,2.1137800689766637,0.3062567403253707,2.069496835303494,2.1137800689766637,0.28737367220415744,0.3062567403253707,-0.10544319926409672,Eubanks C.,FALSE,Van De Zandschulp B.,TRUE
6,Montpellier,Open Sud de France,2024-01-30,ATP250,Indoor,Hard,1st Round,3,Cazaux A.,Marterer M.,83,92,696,636,6,1,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.4,3,1.4,3.18,1.41,3.2,1.38,2.99,0.8784882134436249,1.0264386735482929,1.8012197268403418,0.5170357301084038,0.8784882134436249,1.8012197268403418,1.0264386735482929,0.5170357301084038,-0.8028603406524869,Marterer M.,FALSE,Cazaux A.,TRUE
14,Los Cabos,Los Cabos Open,2024-02-21,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Cobolli F.,84,69,700,825,6,1,6,0,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.93,1.96,1.93,2.01,1.85,1.93,2.023837644769617,0.30272833559411927,2.204595959201685,0.5794785842406124,2.023837644769617,2.204595959201685,0.30272833559411927,0.5794785842406124,-0.27647811887791546,Cobolli F.,FALSE,Nishioka Y.,TRUE
21,Estoril,Estoril Open,2024-04-03,ATP250,Outdoor,Clay,1st Round,3,Martinez P.,Altmaier D.,77,54,741,955,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.72,2.23,1.75,2.23,1.7,2.14,1.0599866120262325,0.5070419813322018,1.614026220181238,0.2993028270568676,1.0599866120262325,1.614026220181238,0.5070419813322018,0.2993028270568676,-0.9409798689226194,Altmaier D.,FALSE,Martinez P.,TRUE
26,Bucharest,Tiriac Open,2024-04-15,ATP250,Outdoor,Clay,1st Round,3,Rinderknech A.,Gaston H.,79,96,729,642,6,7,6,4,7,5,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.65,2.37,1.68,2.5,1.62,2.27,1.017441327043123,0.3431031691152511,1.2223758218630305,0.45552247024335574,1.017441327043123,1.2223758218630305,0.3431031691152511,0.45552247024335574,-0.35935699687906275,Gaston H.,FALSE,Rinderknech A.,TRUE
