ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,margin,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,denom,z_val,TTT_Prob_W,TTT_Prob_L,pred,ttt_correct,bookie_pred,bookie_correct,ATPk,tournament_set
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Marozsan F.,57,64,886,805,6,2,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.64,2.39,1.7,2.39,1.63,2.24,2,0.27214064437435287,0.2695523465760276,0.4634170893526572,0.4583922014581024,0.27214064437435287,0.4634170893526572,0.2695523465760276,0.4583922014581024,0.5317723929485701,-0.35969607959096034,0.3595372120613167,0.6404627879386833,Marozsan F.,FALSE,Bautista Agut R.,TRUE,2,ATP250
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Fils A.,Gojo B.,36,72,1158,744,6,3,4,6,6,1,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.6,2.47,1.6,2.51,1.54,2.42,1,0.21254842319544803,0.34409276353382556,0.5262923306627022,0.7074364701683427,0.21254842319544803,0.5262923306627022,0.34409276353382556,0.7074364701683427,0.786680487390268,-0.39881999426230524,0.34501292174037523,0.6549870782596248,Gojo B.,FALSE,Fils A.,TRUE,2,ATP250
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Etcheverry T.,48,30,961,1375,7,6,4,6,7,5,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.75,2.19,1.75,2.25,1.69,2.15,1,0.288590973786176,0.3008208425451825,0.2922305886420893,0.2341593822291103,0.288590973786176,0.2922305886420893,0.3008208425451825,0.2341593822291103,0.3812135826482473,-0.009547442750148903,0.49619117928200146,0.5038088207179985,Etcheverry T.,FALSE,Shevchenko A.,TRUE,3,ATP250
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mcdonald M.,55,42,910,1055,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.57,2.53,1.57,2.63,1.54,2.43,2,0.09684689896540424,0.26802515243033703,0.2808631387225365,0.2362846876787768,0.09684689896540424,0.2808631387225365,0.26802515243033703,0.2362846876787768,0.3573065014336606,-0.5150094919034034,0.30327319358281407,0.6967268064171859,Mcdonald M.,FALSE,Kecmanovic M.,TRUE,3,ATP250
4,Auckland,ASB Classic,2024-01-07,ATP250,Outdoor,Hard,1st Round,3,Daniel T.,Vukic A.,74,63,739,835,7,5,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.74,2.21,1.84,2.6,1.72,2.1,2,-0.3696764703719575,0.5226169947658188,0.03190079846002549,0.3370743495626465,-0.3696764703719575,0.03190079846002549,0.5226169947658188,0.3370743495626465,0.6218903764741316,-0.6457364256201625,0.2592250331464454,0.7407749668535546,Vukic A.,FALSE,Daniel T.,TRUE,4,ATP250
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Eubanks C.,59,34,865,1235,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.44,2.98,1.46,3.1,1.41,2.83,2,0.2034440544282981,0.2538935534971526,0.33234770818146736,0.33805552056279753,0.2034440544282981,0.33234770818146736,0.2538935534971526,0.33805552056279753,0.42278064228438306,-0.30489488131876746,0.3802231071938991,0.6197768928061009,Eubanks C.,FALSE,Van De Zandschulp B.,TRUE,4,ATP250
8,Dallas,Dallas Open,2024-02-07,ATP250,Indoor,Hard,1st Round,3,Koepfer D.,Kovacevic A.,60,100,868,616,6,4,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.36,3.2,1.43,3.05,1.43,3.25,1.35,3.09,2,-0.3184802800403666,0.5894149523624386,NA,NA,-0.3184802800403666,0,0.5894149523624386,4,4.0431930433839565,-0.0787694964408165,0.46860798347527965,0.5313920165247203,Kovacevic A.,FALSE,Koepfer D.,TRUE,8,ATP250
14,Los Cabos,Los Cabos Open,2024-02-21,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Cobolli F.,84,69,700,825,6,1,6,0,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.93,1.96,1.93,2.01,1.85,1.93,2,0.05241067442694914,0.2586588586199949,0.7373302780076085,0.8554031032733358,0.05241067442694914,0.7373302780076085,0.2586588586199949,0.8554031032733358,0.8936547847084196,-0.7664252632006373,0.22171165279646668,0.7782883472035333,Cobolli F.,FALSE,Nishioka Y.,TRUE,14,ATP250
23,Marrakech,Grand Prix Hassan II,2024-04-02,ATP250,Outdoor,Clay,1st Round,3,Fognini F.,Gaston H.,100,89,599,662,6,7,6,1,6,4,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.8,2.11,1.82,2.12,1.76,2.04,1,-0.26694833219608405,0.5940046037366759,0.32108428749127793,0.7363856820936432,-0.26694833219608405,0.32108428749127793,0.5940046037366759,0.7363856820936432,0.9461000697880142,-0.6215332166914629,0.26712442313477425,0.7328755768652258,Gaston H.,FALSE,Fognini F.,TRUE,23,ATP250
26,Bucharest,Tiriac Open,2024-04-15,ATP250,Outdoor,Clay,1st Round,3,Rinderknech A.,Gaston H.,79,96,729,642,6,7,6,4,7,5,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.65,2.37,1.68,2.5,1.62,2.27,1,-0.2608731992847789,0.32402249718907844,0.12373709606057905,0.6689541965336689,-0.2608731992847789,0.12373709606057905,0.32402249718907844,0.6689541965336689,0.7432969095487031,-0.5174383081706558,0.30242511185028764,0.6975748881497124,Gaston H.,FALSE,Rinderknech A.,TRUE,26,ATP250
