ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,z_val,TTT_Prob_W,pred,ttt_correct,bookie_pred,bookie_correct,Book_Prob_W,ELO_Prob_W,elo_pred,elo_correct,tournament_set,ATPk,y
12,Rotterdam,ABN AMRO World Tennis Tournament,2024-02-13,ATP500,Indoor,Hard,1st Round,3,Fucsovics M.,Marozsan F.,86,61,682,896,7,6,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.68,2.31,1.68,2.31,1.64,2.22,2.2482484442786475,0.30970548507117956,2.514616448583741,0.41706402560688927,2.2482484442786475,2.514616448583741,0.30970548507117956,0.41706402560688927,-0.512758523414914,0.30406012316383624,Marozsan F.,FALSE,Fucsovics M.,TRUE,0.5684754521963824,0.4996166657026283,Marozsan F.,FALSE,ATP500,12,1
15,Rio de Janeiro,Rio Open,2024-02-20,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Ofner S.,73,37,776,1091,6,3,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.81,2.1,1.81,2.22,1.72,2.09,1.6159344661371493,0.33271233438195774,2.0502446231043256,0.3550541451854741,1.6159344661371493,2.0502446231043256,0.33271233438195774,0.3550541451854741,-0.8925754861428904,0.1860422758432384,Ofner S.,FALSE,Munar J.,TRUE,0.5684754521963824,0.49937497776732553,Ofner S.,FALSE,ATP500,15,1
15,Rio de Janeiro,Rio Open,2024-02-20,ATP500,Outdoor,Clay,1st Round,3,Meligeni Alves F.,Cachin P.,153,76,416,754,6,2,3,6,6,3,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.62,2.44,1.73,2.44,1.63,2.25,0.9592776652423926,0.8844703846673552,1.2590042749558232,0.3228358535969689,0.9592776652423926,1.2590042749558232,0.8844703846673552,0.3228358535969689,-0.3183341812975591,0.3751157294403549,Cachin P.,FALSE,Meligeni Alves F.,TRUE,0.5684754521963824,0.49956865884231694,Cachin P.,FALSE,ATP500,15,1
15,Rio de Janeiro,Rio Open,2024-02-21,ATP500,Outdoor,Clay,1st Round,3,Navone M.,Coria F.,113,85,551,678,1,6,6,4,6,2,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.75,2.18,1.75,2.3,1.67,2.18,-2.711743316911157,2.563441357455978,1.414485937265757,0.423658868819483,-2.711743316911157,1.414485937265757,2.563441357455978,0.423658868819483,-1.5881018685686463,0.056131652932211826,Coria F.,FALSE,Navone M.,TRUE,0.5684754521963824,0.49406215793344727,Coria F.,FALSE,ATP500,15,1
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Humbert U.,Monfils G.,18,54,1990,937,4,6,6,3,6,3,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.51,2.72,1.58,2.72,1.51,2.5,2.4812803129121113,0.26700334590194186,2.5653810527555185,0.34558436574916784,2.4812803129121113,2.5653810527555185,0.26700334590194186,0.34558436574916784,-0.19257612699578075,0.4236454714197674,Monfils G.,FALSE,Humbert U.,TRUE,0.6203473945409429,0.49987896930869313,Monfils G.,FALSE,ATP500,17,1
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Cazaux A.,Musetti L.,86,26,701,1480,6,4,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.5,2.78,1.5,2.9,1.43,2.75,1.4816287694416166,0.869065240730833,2.446518829246924,0.26941598861456384,1.4816287694416166,2.446518829246924,0.869065240730833,0.26941598861456384,-1.0604728363388727,0.1444647707090586,Musetti L.,FALSE,Cazaux A.,TRUE,0.6563245823389022,0.4986114151523624,Musetti L.,FALSE,ATP500,17,1
25,Barcelona,Barcelona Open,2024-04-15,ATP500,Outdoor,Clay,1st Round,3,Nakashima B.,Evans D.,87,49,695,996,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.51,2.75,1.53,2.8,1.48,2.65,1.5884757449879705,0.33142578420510166,1.745302984390806,0.2938910062219254,1.5884757449879705,1.745302984390806,0.33142578420510166,0.2938910062219254,-0.3540425207086511,0.36165350870186463,Evans D.,FALSE,Nakashima B.,TRUE,0.6368038740920097,0.4997743074755629,Evans D.,FALSE,ATP500,25,1
25,Barcelona,Barcelona Open,2024-04-15,ATP500,Outdoor,Clay,1st Round,3,Bautista Agut R.,Safiullin R.,84,38,703,1139,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.76,2.17,1.76,2.3,1.67,2.21,2.024444252697962,0.2947072339879565,2.2048184632086185,0.2844439256619066,2.024444252697962,2.2048184632086185,0.2947072339879565,0.2844439256619066,-0.4403817648963678,0.3298303148888575,Safiullin R.,FALSE,Bautista Agut R.,TRUE,0.5684754521963824,0.49974042066814467,Safiullin R.,FALSE,ATP500,25,1
25,Barcelona,Barcelona Open,2024-04-15,ATP500,Outdoor,Clay,1st Round,3,Hardt N.,Landaluce M.,229,328,260,160,2,6,6,4,6,3,NA,NA,NA,NA,2,1,Completed,1.8,2,1.87,2.02,1.9,2.07,1.84,1.97,0,4,0.7420104921094883,1.0572270899171492,0,0.7420104921094883,4,1.0572270899171492,-0.1793440494236622,0.4288337805343629,Landaluce M.,FALSE,Hardt N.,TRUE,0.5263157894736842,0.4989321626872756,Landaluce M.,FALSE,ATP500,25,1
25,Barcelona,Barcelona Open,2024-04-16,ATP500,Outdoor,Clay,1st Round,3,Carballes Baena R.,Grenier H.,72,159,771,407,6,2,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.17,5.5,1.18,5.43,1.2,5.6,1.17,5.11,1.475597728077924,0.2890099765648964,1.600937132339217,0.6228201972633367,1.475597728077924,1.600937132339217,0.2890099765648964,0.6228201972633367,-0.1825484733827861,0.42757615855411196,Grenier H.,FALSE,Carballes Baena R.,TRUE,0.8245877061469264,0.4998196221054396,Grenier H.,FALSE,ATP500,25,1
