ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,z_val,TTT_Prob_W,pred,ttt_correct,bookie_pred,bookie_correct,Book_Prob_W,ELO_Prob_W,elo_pred,elo_correct,tournament_set,ATPk,y
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Purcell M.,Valkusz M.,45,214,1021,291,3,6,7,6,6,4,7,5,NA,NA,3,1,Completed,1.29,3.75,1.35,3.51,1.36,3.77,1.31,3.48,1.4357948377781682,0.37393621109738273,1.692188186015652,1.2962982553518094,1.4357948377781682,1.692188186015652,0.37393621109738273,1.2962982553518094,-0.1900400413575552,0.42463887688190194,Valkusz M.,FALSE,Purcell M.,TRUE,0.744047619047619,0.4996310203784836,Valkusz M.,FALSE,All_2024_R1,5,1
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Klein L.,Kwon S.W.,163,697,391,40,7,6,4,6,7,6,6,3,NA,NA,3,1,Completed,1.33,3.4,1.36,3.45,1.38,3.67,1.34,3.3,1.6100969806397925,1.2346230381458172,2.2703728771626484,0.597819276594467,1.6100969806397925,2.2703728771626484,1.2346230381458172,0.597819276594467,-0.4813404237450544,0.31513728569416666,Kwon S.W.,FALSE,Klein L.,TRUE,0.7188160676532769,0.49904978774606257,Kwon S.W.,FALSE,All_2024_R1,5,1
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Shang J.,Mcdonald M.,140,42,435,1055,6,3,1,6,3,6,6,4,6,2,3,2,Completed,1.67,2.2,1.77,2.18,1.77,2.29,1.71,2.15,1.623857491633045,0.5369237649069585,2.1140097628453085,0.26271358676857115,1.623857491633045,2.1140097628453085,0.5369237649069585,0.26271358676857115,-0.8199948663354242,0.2061095168699494,Mcdonald M.,FALSE,Shang J.,TRUE,0.5684754521963824,0.4992946146473515,Mcdonald M.,FALSE,All_2024_R1,5,1
6,Montpellier,Open Sud de France,2024-01-30,ATP250,Indoor,Hard,1st Round,3,Cazaux A.,Marterer M.,83,92,696,636,6,1,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.4,3,1.4,3.18,1.41,3.2,1.38,2.99,0.8784882134436249,1.0264386735482929,1.8012197268403418,0.5170357301084038,0.8784882134436249,1.8012197268403418,1.0264386735482929,0.5170357301084038,-0.8028603406524869,0.21102773051380047,Marterer M.,FALSE,Cazaux A.,TRUE,0.6818181818181818,0.49867208572988847,Marterer M.,FALSE,All_2024_R1,6,1
6,Montpellier,Open Sud de France,2024-01-31,ATP250,Indoor,Hard,1st Round,3,Lestienne C.,Zapata Miralles B.,106,80,584,715,4,6,6,4,6,2,NA,NA,NA,NA,2,1,Completed,1.25,4,1.33,3.6,1.33,4.05,1.25,3.81,0.5270730009299905,0.4462064104218289,1.4591953466051106,0.32668425385588684,0.5270730009299905,1.4591953466051106,0.4462064104218289,0.32668425385588684,-1.6855359350542907,0.0459426088742225,Zapata Miralles B.,FALSE,Lestienne C.,TRUE,0.7619047619047619,0.4986585713321759,Zapata Miralles B.,FALSE,All_2024_R1,6,1
7,Cordoba,Cordoba Open,2024-02-05,ATP250,Outdoor,Clay,1st Round,3,Bagnis F.,Cerundolo J.M.,207,148,295,435,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.74,2.2,1.78,2.2,1.71,2.11,-0.05988618474035307,0.717037865733141,1.374686025848568,0.4750471228278537,-0.05988618474035307,1.374686025848568,0.717037865733141,0.4750471228278537,-1.6678669927756067,0.047671066652358256,Cerundolo J.M.,FALSE,Bagnis F.,TRUE,0.5684754521963824,0.4979354963656599,Cerundolo J.M.,FALSE,All_2024_R1,7,1
7,Cordoba,Cordoba Open,2024-02-06,ATP250,Outdoor,Clay,1st Round,3,Darderi L.,Barrios M.,136,108,491,578,4,6,6,1,6,2,NA,NA,NA,NA,2,1,Completed,1.44,2.75,1.43,3.05,1.46,3.05,1.42,2.81,0.8839314857829307,1.1515321700944845,1.2608232900887226,0.704612848111913,0.8839314857829307,1.2608232900887226,1.1515321700944845,0.704612848111913,-0.27917868504075705,0.3900538502248292,Barrios M.,FALSE,Darderi L.,TRUE,0.6563245823389022,0.4994576093063367,Barrios M.,FALSE,All_2024_R1,7,1
8,Dallas,Dallas Open,2024-02-06,ATP250,Indoor,Hard,1st Round,3,Purcell M.,Krueger M.,43,244,1036,243,6,2,4,6,7,6,NA,NA,NA,NA,2,1,Completed,1.36,3.2,1.41,3.1,1.44,3.2,1.39,2.93,1.4986095041505665,0.3675219458127248,2.0962306498222687,1.2857522472089795,1.4986095041505665,2.0962306498222687,0.3675219458127248,1.2857522472089795,-0.44690387375738777,0.327472233455983,Krueger M.,FALSE,Purcell M.,TRUE,0.7017543859649122,0.49913995488490853,Krueger M.,FALSE,All_2024_R1,8,1
8,Dallas,Dallas Open,2024-02-06,ATP250,Indoor,Hard,1st Round,3,Duckworth J.,Svajda Z.,106,145,591,442,7,6,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.86,2.03,1.86,2.15,1.78,2.01,0.41146638932287466,0.7116303024126774,0.8372497963536033,1.0441697216049686,0.41146638932287466,0.8372497963536033,0.7116303024126774,1.0441697216049686,-0.3369581532249134,0.36807422303790316,Svajda Z.,FALSE,Duckworth J.,TRUE,0.5483028720626633,0.4993872487280844,Svajda Z.,FALSE,All_2024_R1,8,1
10,Buenos Aires,Argentina Open,2024-02-13,ATP250,Outdoor,Clay,1st Round,3,Coria F.,Ofner S.,106,38,588,1091,7,5,4,6,7,5,NA,NA,NA,NA,2,1,Completed,1.8,2,1.88,2.02,1.88,2.1,1.78,2.01,1.2327025143398294,0.4395930057887992,2.142095429003731,0.3616665418993534,1.2327025143398294,2.142095429003731,0.4395930057887992,0.3616665418993534,-1.5975303071505509,0.05507377376502708,Ofner S.,FALSE,Coria F.,TRUE,0.5263157894736842,0.4986912813830674,Ofner S.,FALSE,All_2024_R1,10,1
10,Buenos Aires,Argentina Open,2024-02-13,ATP250,Outdoor,Clay,1st Round,3,Ugo Carabelli C.,Varillas J.P.,134,85,494,684,7,6,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.68,2.3,1.68,2.32,1.64,2.24,0.8407452685976133,1.1966423934020198,1.5111334948141375,0.408435723002469,0.8407452685976133,1.5111334948141375,1.1966423934020198,0.408435723002469,-0.5301918024529674,0.29798947705547063,Varillas J.P.,FALSE,Ugo Carabelli C.,TRUE,0.586734693877551,0.4990352349871757,Varillas J.P.,FALSE,All_2024_R1,10,1
12,Rotterdam,ABN AMRO World Tennis Tournament,2024-02-13,ATP500,Indoor,Hard,1st Round,3,Fucsovics M.,Marozsan F.,86,61,682,896,7,6,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.68,2.31,1.68,2.31,1.64,2.22,2.2482484442786475,0.30970548507117956,2.514616448583741,0.41706402560688927,2.2482484442786475,2.514616448583741,0.30970548507117956,0.41706402560688927,-0.512758523414914,0.30406012316383624,Marozsan F.,FALSE,Fucsovics M.,TRUE,0.5684754521963824,0.4996166657026283,Marozsan F.,FALSE,All_2024_R1,12,1
14,Los Cabos,Los Cabos Open,2024-02-21,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Cobolli F.,84,69,700,825,6,1,6,0,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.93,1.96,1.93,2.01,1.85,1.93,2.023837644769617,0.30272833559411927,2.204595959201685,0.5794785842406124,2.023837644769617,2.204595959201685,0.30272833559411927,0.5794785842406124,-0.27647811887791546,0.3910904317632538,Cobolli F.,FALSE,Nishioka Y.,TRUE,0.5263157894736842,0.49973986789831665,Cobolli F.,FALSE,All_2024_R1,14,1
14,Los Cabos,Los Cabos Open,2024-02-21,ATP250,Outdoor,Hard,1st Round,3,Nava E.,Schwartzman D.,146,115,443,538,6,4,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.85,2.05,1.87,2.05,1.81,1.97,0.1305810324700932,0.9124317435546744,1.4105709702776603,0.3352582940970291,0.1305810324700932,1.4105709702776603,0.9124317435546744,0.3352582940970291,-1.3167604707133702,0.09395946340340948,Schwartzman D.,FALSE,Nava E.,TRUE,0.5263157894736842,0.4981579547400654,Schwartzman D.,FALSE,All_2024_R1,14,1
15,Rio de Janeiro,Rio Open,2024-02-20,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Ofner S.,73,37,776,1091,6,3,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.81,2.1,1.81,2.22,1.72,2.09,1.6159344661371493,0.33271233438195774,2.0502446231043256,0.3550541451854741,1.6159344661371493,2.0502446231043256,0.33271233438195774,0.3550541451854741,-0.8925754861428904,0.1860422758432384,Ofner S.,FALSE,Munar J.,TRUE,0.5684754521963824,0.49937497776732553,Ofner S.,FALSE,All_2024_R1,15,1
15,Rio de Janeiro,Rio Open,2024-02-20,ATP500,Outdoor,Clay,1st Round,3,Meligeni Alves F.,Cachin P.,153,76,416,754,6,2,3,6,6,3,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.62,2.44,1.73,2.44,1.63,2.25,0.9592776652423926,0.8844703846673552,1.2590042749558232,0.3228358535969689,0.9592776652423926,1.2590042749558232,0.8844703846673552,0.3228358535969689,-0.3183341812975591,0.3751157294403549,Cachin P.,FALSE,Meligeni Alves F.,TRUE,0.5684754521963824,0.49956865884231694,Cachin P.,FALSE,All_2024_R1,15,1
15,Rio de Janeiro,Rio Open,2024-02-21,ATP500,Outdoor,Clay,1st Round,3,Navone M.,Coria F.,113,85,551,678,1,6,6,4,6,2,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.75,2.18,1.75,2.3,1.67,2.18,-2.711743316911157,2.563441357455978,1.414485937265757,0.423658868819483,-2.711743316911157,1.414485937265757,2.563441357455978,0.423658868819483,-1.5881018685686463,0.056131652932211826,Coria F.,FALSE,Navone M.,TRUE,0.5684754521963824,0.49406215793344727,Coria F.,FALSE,All_2024_R1,15,1
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Humbert U.,Monfils G.,18,54,1990,937,4,6,6,3,6,3,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.51,2.72,1.58,2.72,1.51,2.5,2.4812803129121113,0.26700334590194186,2.5653810527555185,0.34558436574916784,2.4812803129121113,2.5653810527555185,0.26700334590194186,0.34558436574916784,-0.19257612699578075,0.4236454714197674,Monfils G.,FALSE,Humbert U.,TRUE,0.6203473945409429,0.49987896930869313,Monfils G.,FALSE,All_2024_R1,17,1
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Cazaux A.,Musetti L.,86,26,701,1480,6,4,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.5,2.78,1.5,2.9,1.43,2.75,1.4816287694416166,0.869065240730833,2.446518829246924,0.26941598861456384,1.4816287694416166,2.446518829246924,0.869065240730833,0.26941598861456384,-1.0604728363388727,0.1444647707090586,Musetti L.,FALSE,Cazaux A.,TRUE,0.6563245823389022,0.4986114151523624,Musetti L.,FALSE,All_2024_R1,17,1
18,Santiago,Chile Open,2024-02-27,ATP250,Indoor,Clay,1st Round,3,Seyboth Wild T.,Burruchaga R.,73,159,802,397,6,4,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.61,2.44,1.61,2.5,1.56,2.38,0.9828370649956264,0.5634139893413461,3.763764789610508,2.4773230016946943,0.9828370649956264,3.763764789610508,0.5634139893413461,2.4773230016946943,-1.094601973207383,0.1368455253792244,Burruchaga R.,FALSE,Seyboth Wild T.,TRUE,0.6203473945409429,0.49599800876200106,Burruchaga R.,FALSE,All_2024_R1,18,1
19,Indian Wells,BNP Paribas Open,2024-03-06,Masters 1000,Outdoor,Hard,1st Round,3,Nakashima B.,Eubanks C.,93,34,645,1234,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.48,2.82,1.53,2.82,1.48,2.67,1.5567124044394576,0.3339535460688586,2.055893663477287,0.29787100454085236,1.5567124044394576,2.055893663477287,0.3339535460688586,0.29787100454085236,-1.1155003880930312,0.1323180261158496,Eubanks C.,FALSE,Nakashima B.,TRUE,0.6368038740920097,0.4992816209157095,Eubanks C.,FALSE,All_2024_R1,19,1
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Machac T.,Wawrinka S.,63,70,868,797,7,6,4,6,6,2,NA,NA,NA,NA,2,1,Completed,1.5,2.63,1.55,2.6,1.55,2.63,1.52,2.54,2.025341936165339,0.5090574904160119,2.145329309721077,0.29222234926335655,2.025341936165339,2.145329309721077,0.5090574904160119,0.29222234926335655,-0.20441834278650886,0.4190132986715768,Wawrinka S.,FALSE,Machac T.,TRUE,0.6368038740920097,0.4998273242958043,Wawrinka S.,FALSE,All_2024_R1,19,1
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Lestienne C.,Kudla D.,100,179,606,342,3,6,6,2,6,4,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.87,2.02,1.87,2.1,1.79,2.02,0.7317711519326175,0.3962033015557032,1.712159113533937,0.6372866740396891,0.7317711519326175,1.712159113533937,0.3962033015557032,0.6372866740396891,-1.3064741616594548,0.0956956801169288,Kudla D.,FALSE,Lestienne C.,TRUE,0.5483028720626633,0.4985891120536279,Kudla D.,FALSE,All_2024_R1,19,1
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Coric B.,Ofner S.,35,38,1194,1116,6,2,3,6,6,0,NA,NA,NA,NA,2,1,Completed,1.3,3.5,1.36,3.42,1.37,3.5,1.33,3.36,1.920441095229972,0.3214697877596322,1.957510841660405,0.34844330437241394,1.920441095229972,1.957510841660405,0.3214697877596322,0.34844330437241394,-0.07819237283605718,0.468837514519137,Ofner S.,FALSE,Coric B.,TRUE,0.7291666666666667,0.4999466523467451,Ofner S.,FALSE,All_2024_R1,19,1
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Seyboth Wild T.,Wolf J.J.,65,94,820,640,6,2,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.64,2.39,1.65,2.43,1.6,2.35,1.1611384200463644,0.5405439763993787,1.9121273447328264,0.2707070467529421,1.1611384200463644,1.9121273447328264,0.5405439763993787,0.2707070467529421,-1.242246005223542,0.10707290519993258,Wolf J.J.,FALSE,Seyboth Wild T.,TRUE,0.6025316455696202,0.49891924174379426,Wolf J.J.,FALSE,All_2024_R1,19,1
