"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-01-16,5,"Australian Open","1st Round","Hard","Outdoor","Kokkinakis T.","Ofner S.",2,1.8,67.17,32.83,"Kokkinakis T.",TRUE,"Ofner S.",FALSE,FALSE,5
2024-01-16,5,"Australian Open","1st Round","Hard","Outdoor","Sonego L.","Evans D.",1.8,2,86.25,13.75,"Sonego L.",TRUE,"Sonego L.",TRUE,FALSE,5
2024-01-16,5,"Australian Open","1st Round","Hard","Outdoor","Zverev A.","Koepfer D.",1.06,10,99.76,0.24,"Zverev A.",TRUE,"Zverev A.",TRUE,FALSE,5
2024-05-26,32,"French Open","1st Round","Clay","Outdoor","Rublev A.","Daniel T.",1.04,13,100,0,"Rublev A.",TRUE,"Rublev A.",TRUE,FALSE,32
2024-05-26,32,"French Open","1st Round","Clay","Outdoor","Sonego L.","Humbert U.",2.5,1.53,26.22,73.78,"Humbert U.",FALSE,"Humbert U.",FALSE,FALSE,32
2024-05-26,32,"French Open","1st Round","Clay","Outdoor","Zhang Zh.","Vukic A.",1.36,3.2,96.1,3.9,"Zhang Zh.",TRUE,"Zhang Zh.",TRUE,FALSE,32
2024-05-26,32,"French Open","1st Round","Clay","Outdoor","Dimitrov G.","Kovacevic A.",1.08,8,99.99,0.01,"Dimitrov G.",TRUE,"Dimitrov G.",TRUE,FALSE,32
2024-05-26,32,"French Open","1st Round","Clay","Outdoor","Muller A.","Nardi L.",1.53,2.5,97.28,2.72,"Muller A.",TRUE,"Muller A.",TRUE,FALSE,32
2024-05-26,32,"French Open","1st Round","Clay","Outdoor","Altmaier D.","Djere L.",1.53,2.5,4.79,95.21,"Djere L.",FALSE,"Altmaier D.",TRUE,TRUE,32
2024-05-26,32,"French Open","1st Round","Clay","Outdoor","Moutet C.","Jarry N.",2.75,1.44,0,100,"Jarry N.",FALSE,"Jarry N.",FALSE,FALSE,32
2024-05-26,32,"French Open","1st Round","Clay","Outdoor","Wawrinka S.","Murray A.",1.53,2.5,60.81,39.19,"Wawrinka S.",TRUE,"Wawrinka S.",TRUE,FALSE,32
2024-05-27,32,"French Open","1st Round","Clay","Outdoor","Shevchenko A.","Karatsev A.",1.57,2.38,26.11,73.89,"Karatsev A.",FALSE,"Shevchenko A.",TRUE,TRUE,32
2024-05-27,32,"French Open","1st Round","Clay","Outdoor","Sinner J.","Eubanks C.",1.02,19,100,0,"Sinner J.",TRUE,"Sinner J.",TRUE,FALSE,32
2024-05-27,32,"French Open","1st Round","Clay","Outdoor","Shelton B.","Gaston H.",1.4,3,98.08,1.92,"Shelton B.",TRUE,"Shelton B.",TRUE,FALSE,32
2024-05-27,32,"French Open","1st Round","Clay","Outdoor","Auger-Aliassime F.","Nishioka Y.",1.2,4.5,73.95,26.05,"Auger-Aliassime F.",TRUE,"Auger-Aliassime F.",TRUE,FALSE,32
2024-05-27,32,"French Open","1st Round","Clay","Outdoor","Arnaldi M.","Fils A.",2.2,1.67,22.69,77.31,"Fils A.",FALSE,"Fils A.",FALSE,FALSE,32
2024-05-27,32,"French Open","1st Round","Clay","Outdoor","Tsitsipas S.","Fucsovics M.",1.1,7,97.84,2.16,"Tsitsipas S.",TRUE,"Tsitsipas S.",TRUE,FALSE,32
2024-05-27,32,"French Open","1st Round","Clay","Outdoor","Khachanov K.","Nagal S.",1.11,6.5,97.81,2.19,"Khachanov K.",TRUE,"Khachanov K.",TRUE,FALSE,32
2024-05-27,32,"French Open","1st Round","Clay","Outdoor","Kotov P.","Norrie C.",2.75,1.44,20.21,79.79,"Norrie C.",FALSE,"Norrie C.",FALSE,FALSE,32
2024-05-27,32,"French Open","1st Round","Clay","Outdoor","Cerundolo F.","Hanfmann Y.",1.3,3.5,84.69,15.31,"Cerundolo F.",TRUE,"Cerundolo F.",TRUE,FALSE,32
2024-05-27,32,"French Open","1st Round","Clay","Outdoor","Kecmanovic M.","Monteiro T.",1.8,2,87.26,12.74,"Kecmanovic M.",TRUE,"Kecmanovic M.",TRUE,FALSE,32
2024-05-27,32,"French Open","1st Round","Clay","Outdoor","Lajovic D.","Safiullin R.",1.62,2.3,54.42,45.58,"Lajovic D.",TRUE,"Lajovic D.",TRUE,FALSE,32
2024-05-27,32,"French Open","1st Round","Clay","Outdoor","Monfils G.","Seyboth Wild T.",2.3,1.62,96.49,3.51,"Monfils G.",TRUE,"Seyboth Wild T.",FALSE,FALSE,32
2024-05-27,32,"French Open","1st Round","Clay","Outdoor","Medvedev D.","Koepfer D.",1.2,4.5,100,0,"Medvedev D.",TRUE,"Medvedev D.",TRUE,FALSE,32
2024-05-28,32,"French Open","1st Round","Clay","Outdoor","Etcheverry T.","Cazaux A.",1.2,4.5,97.99,2.01,"Etcheverry T.",TRUE,"Etcheverry T.",TRUE,FALSE,32
2024-05-28,32,"French Open","1st Round","Clay","Outdoor","Machac T.","Borges N.",1.62,2.3,79.21,20.79,"Machac T.",TRUE,"Machac T.",TRUE,FALSE,32
2024-05-28,32,"French Open","1st Round","Clay","Outdoor","Munar J.","Bautista Agut R.",1.67,2.2,26.84,73.16,"Bautista Agut R.",FALSE,"Munar J.",TRUE,TRUE,32
