ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,margin,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,denom,z_val,TTT_Prob_W,TTT_Prob_L,pred,ttt_correct,bookie_pred,bookie_correct,ATPk
12,Rotterdam,ABN AMRO World Tennis Tournament,2024-02-13,ATP500,Indoor,Hard,1st Round,3,De Minaur A.,Korda S.,11,33,2970,1245,6,4,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.51,2.72,1.53,2.75,1.5,2.54,2,0.5678524307322148,0.21763664023504173,0.8317501832622171,0.2616277656302345,0.5678524307322148,0.8317501832622171,0.21763664023504173,0.2616277656302345,1.4545840625145958,-0.18142488930738865,0.42801704209552005,0.57198295790448,Korda S.,FALSE,De Minaur A.,TRUE,12
14,Los Cabos,Los Cabos Open,2024-02-21,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Cobolli F.,84,69,700,825,6,1,6,0,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.93,1.96,1.93,2.01,1.85,1.93,2,0.05241067442694914,0.2586588586199949,0.7373302780076085,0.8554031032733358,0.05241067442694914,0.7373302780076085,0.2586588586199949,0.8554031032733358,1.6729073119071038,-0.4094187398821608,0.3411161947186878,0.6588838052813122,Cobolli F.,FALSE,Nishioka Y.,TRUE,14
15,Rio de Janeiro,Rio Open,2024-02-20,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Ofner S.,73,37,776,1091,6,3,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.81,2.1,1.81,2.22,1.72,2.09,2,-0.09080039945463408,0.3751647611747498,0.06920531855681415,0.33250803037232163,-0.09080039945463408,0.06920531855681415,0.3751647611747498,0.33250803037232163,1.5004366658707684,-0.10663943480652681,0.4575375162476882,0.5424624837523118,Ofner S.,FALSE,Munar J.,TRUE,15
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Lehecka J.,Fucsovics M.,36,77,1180,757,6,4,3,6,7,5,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.74,2.2,1.74,2.32,1.67,2.16,1,0.4263500554414904,0.2432621633224484,0.4323103978677939,0.25987230192170824,0.4263500554414904,0.4323103978677939,0.2432621633224484,0.25987230192170824,1.4583244129515232,-0.004087116949678076,0.4983694807833375,0.5016305192166626,Fucsovics M.,FALSE,Lehecka J.,TRUE,17
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Humbert U.,Monfils G.,18,54,1990,937,4,6,6,3,6,3,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.51,2.72,1.58,2.72,1.51,2.5,1,0.4059826453679167,0.24163121179642225,0.5841675071196543,0.5674767612516339,0.4059826453679167,0.5841675071196543,0.24163121179642225,0.5674767612516339,1.5428595260343216,-0.11549000978056234,0.45402836926644036,0.5459716307335596,Monfils G.,FALSE,Humbert U.,TRUE,17
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Cazaux A.,Musetti L.,86,26,701,1480,6,4,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.5,2.78,1.5,2.9,1.43,2.75,2,0.021180431003261,1.5326845561848297,0.45394665513581217,0.24413243616876745,0.021180431003261,0.45394665513581217,1.5326845561848297,0.24413243616876745,2.099695833961954,-0.20610900737749085,0.41835288147966687,0.5816471185203331,Musetti L.,FALSE,Cazaux A.,TRUE,17
19,Indian Wells,BNP Paribas Open,2024-03-06,Masters 1000,Outdoor,Hard,1st Round,3,Nakashima B.,Eubanks C.,93,34,645,1234,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.48,2.82,1.53,2.82,1.48,2.67,2,-0.1285596614250238,0.29175159277088114,0.3388460088502284,0.32106449663571507,-0.1285596614250238,0.3388460088502284,0.29175159277088114,0.32106449663571507,1.4792570442233126,-0.3159732597526109,0.37601140238001274,0.6239885976199873,Eubanks C.,FALSE,Nakashima B.,TRUE,19
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Coric B.,Ofner S.,35,38,1194,1116,6,2,3,6,6,0,NA,NA,NA,NA,2,1,Completed,1.3,3.5,1.36,3.42,1.37,3.5,1.33,3.36,1,-0.0756974889549231,0.28614413214139944,2.3236257023591728e-4,0.32603561064101233,-0.0756974889549231,2.3236257023591728e-4,0.28614413214139944,0.32603561064101233,1.4792490269609821,-0.051329999304546986,0.47953128180898175,0.5204687181910183,Ofner S.,FALSE,Coric B.,TRUE,19
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Michelsen A.,Munar J.,80,75,754,776,6,2,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.36,3.2,1.41,3.1,1.44,3.2,1.39,2.98,2,-0.06310788514180024,0.8268895290989617,-0.01155987655599643,0.3638918390377277,-0.06310788514180024,-0.01155987655599643,0.8268895290989617,0.3638918390377277,1.6781428913688377,-0.03071729401049801,0.48774749952218144,0.5122525004778186,Munar J.,FALSE,Michelsen A.,TRUE,19
19,Indian Wells,BNP Paribas Open,2024-03-08,Masters 1000,Outdoor,Hard,1st Round,3,Tabilo A.,Kotov P.,39,67,1116,819,4,6,6,3,7,5,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.66,2.34,1.7,2.34,1.64,2.26,1,0.4424153930911997,0.8765362088492794,0.5074637478058885,0.5089314615773755,0.4424153930911997,0.5074637478058885,0.8765362088492794,0.5089314615773755,1.7399215378881747,-0.03738579774904167,0.4850886982547143,0.5149113017452858,Kotov P.,FALSE,Tabilo A.,TRUE,19
20,Miami,Miami Open,2024-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Van Assche L.,Kotov P.,80,67,736,823,6,3,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.67,2.31,1.75,2.36,1.66,2.21,2,-0.05445604189380418,0.3253854634560005,0.4665877758719681,0.48743478102501125,-0.05445604189380418,0.4665877758719681,0.3253854634560005,0.48743478102501125,1.530839105060155,-0.34036484699369995,0.3667908940359156,0.6332091059640844,Kotov P.,FALSE,Van Assche L.,TRUE,20
20,Miami,Miami Open,2024-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Popyrin A.,Diaz Acosta F.,45,55,1032,943,6,2,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.57,2.5,1.58,2.63,1.54,2.49,2,0.33309601367571673,0.2873909995434194,0.3832507654173545,0.5451721687733002,0.33309601367571673,0.3832507654173545,0.2873909995434194,0.5451721687733002,1.5426620758362959,-0.032511820007274275,0.4870319450054104,0.5129680549945896,Diaz Acosta F.,FALSE,Popyrin A.,TRUE,20
23,Marrakech,Grand Prix Hassan II,2024-04-02,ATP250,Outdoor,Clay,1st Round,3,Fognini F.,Gaston H.,100,89,599,662,6,7,6,1,6,4,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.8,2.11,1.82,2.12,1.76,2.04,1,-0.26694833219608405,0.5940046037366759,0.32108428749127793,0.7363856820936432,-0.26694833219608405,0.32108428749127793,0.5940046037366759,0.7363856820936432,1.7015009086253483,-0.3455964182601799,0.3648230190568872,0.6351769809431128,Gaston H.,FALSE,Fognini F.,TRUE,23
24,Monte Carlo,Monte Carlo Masters,2024-04-07,Masters 1000,Outdoor,Clay,1st Round,3,Coric B.,Bublik A.,33,18,1204,1992,6,1,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.59,2.5,1.59,3.1,1.54,2.46,2,-0.05669831909640453,0.28135601297348256,0.3638122802075383,0.2595551096464793,-0.05669831909640453,0.3638122802075383,0.28135601297348256,0.2595551096464793,1.4651041126759323,-0.2870175543606272,0.3870494395210208,0.6129505604789792,Bublik A.,FALSE,Coric B.,TRUE,24
24,Monte Carlo,Monte Carlo Masters,2024-04-08,Masters 1000,Outdoor,Clay,1st Round,3,Ofner S.,Evans D.,44,50,1056,996,6,1,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.81,2.1,1.83,2.1,1.78,2.03,2,-0.02131002017299356,0.3189741997955755,0.2691861202899077,0.25576782579560037,-0.02131002017299356,0.2691861202899077,0.3189741997955755,0.25576782579560037,1.472128296327272,-0.19733072259234696,0.42178436941848146,0.5782156305815185,Evans D.,FALSE,Ofner S.,TRUE,24
24,Monte Carlo,Monte Carlo Masters,2024-04-09,Masters 1000,Outdoor,Clay,1st Round,3,Bautista Agut R.,Diaz Acosta F.,90,53,668,943,6,2,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.91,1.98,1.91,2.1,1.82,1.97,2,0.1967453743162628,0.257895576713916,0.23343805835138848,0.5106425829670813,0.1967453743162628,0.23343805835138848,0.257895576713916,0.5106425829670813,1.5255379300521819,-0.024052292186449005,0.49040544881022213,0.5095945511897779,Diaz Acosta F.,FALSE,Bautista Agut R.,TRUE,24
25,Barcelona,Barcelona Open,2024-04-15,ATP500,Outdoor,Clay,1st Round,3,Nakashima B.,Evans D.,87,49,695,996,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.51,2.75,1.53,2.8,1.48,2.65,2,-0.06754437779777096,0.29125642407880475,0.23076662990308727,0.25303143226050917,-0.06754437779777096,0.23076662990308727,0.29125642407880475,0.25303143226050917,1.4658974078287257,-0.20350060386743835,0.41937188686913235,0.5806281131308677,Evans D.,FALSE,Nakashima B.,TRUE,25
25,Barcelona,Barcelona Open,2024-04-15,ATP500,Outdoor,Clay,1st Round,3,Bautista Agut R.,Safiullin R.,84,38,703,1139,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.76,2.17,1.76,2.3,1.67,2.21,2,0.23358043790998073,0.25470293023438717,0.539119827912334,0.2758239672883574,0.23358043790998073,0.539119827912334,0.25470293023438717,0.2758239672883574,1.463199386140068,-0.20881596376852557,0.41729595438153894,0.5827040456184611,Safiullin R.,FALSE,Bautista Agut R.,TRUE,25
25,Barcelona,Barcelona Open,2024-04-16,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Nishioka Y.,73,71,770,788,6,3,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.25,4,1.3,3.85,1.3,4.05,1.27,3.74,2,-0.0311615992632777,0.3367216452484237,0.08049839293613549,0.25040274971465976,-0.0311615992632777,0.08049839293613549,0.3367216452484237,0.25040274971465976,1.4751552472344962,-0.07569372268359176,0.4698313851199597,0.5301686148800403,Nishioka Y.,FALSE,Munar J.,TRUE,25
26,Bucharest,Tiriac Open,2024-04-15,ATP250,Outdoor,Clay,1st Round,3,Rinderknech A.,Gaston H.,79,96,729,642,6,7,6,4,7,5,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.65,2.37,1.68,2.5,1.62,2.27,1,-0.2608731992847789,0.32402249718907844,0.12373709606057905,0.6689541965336689,-0.2608731992847789,0.12373709606057905,0.32402249718907844,0.6689541965336689,1.597651493832323,-0.24073478905138723,0.404880336995025,0.595119663004975,Gaston H.,FALSE,Rinderknech A.,TRUE,26
26,Bucharest,Tiriac Open,2024-04-16,ATP250,Outdoor,Clay,1st Round,3,Borges N.,Wawrinka S.,55,86,911,697,3,6,7,5,6,2,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.58,2.53,1.62,2.53,1.57,2.37,1,-0.2273041922676753,0.31644795496408507,0.36075241701970706,0.26513377477743655,-0.2273041922676753,0.36075241701970706,0.31644795496408507,0.26513377477743655,1.4732397044366825,-0.39915881137091364,0.3448880951308997,0.6551119048691003,Wawrinka S.,FALSE,Borges N.,TRUE,26
27,Munich,BMW Open,2024-04-16,ATP250,Outdoor,Clay,1st Round,3,Hanfmann Y.,Shevchenko A.,61,63,894,879,6,7,6,3,7,5,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.73,2.22,1.75,2.22,1.7,2.11,1,-0.18305920355220692,0.2886571331134968,0.22304858519912923,0.2737012412659572,-0.18305920355220692,0.22304858519912923,0.2886571331134968,0.2737012412659572,1.4690933632577028,-0.2764342954016179,0.39110725930799656,0.6088927406920035,Shevchenko A.,FALSE,Hanfmann Y.,TRUE,27
28,Madrid,Mutua Madrid Open,2024-04-24,Masters 1000,Outdoor,Clay,1st Round,3,Seyboth Wild T.,Safiullin R.,63,42,849,1139,6,4,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.85,2.05,1.85,2.1,1.8,2,2,0.46414805348950144,0.569954161742339,0.48846926020940823,0.2712012675697015,0.46414805348950144,0.48846926020940823,0.569954161742339,0.2712012675697015,1.5486761682220158,-0.015704514099825765,0.49373506285555985,0.5062649371444401,Safiullin R.,FALSE,Seyboth Wild T.,TRUE,28
28,Madrid,Mutua Madrid Open,2024-04-25,Masters 1000,Outdoor,Clay,1st Round,3,Kecmanovic M.,Zhang Zh.,66,49,830,1038,6,3,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.74,2.2,1.78,2.22,1.68,2.17,2,0.08141210664616305,0.2503621311439937,0.2797873372762151,0.26997734808907053,0.08141210664616305,0.2797873372762151,0.2503621311439937,0.26997734808907053,1.461358602531278,-0.13574712619232426,0.44601059559701867,0.5539894044029814,Zhang Zh.,FALSE,Kecmanovic M.,TRUE,28
29,Rome,Internazionali BNL d'Italia,2024-05-09,Masters 1000,Outdoor,Clay,1st Round,3,Moutet C.,Safiullin R.,83,39,715,1138,3,6,7,6,6,2,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.81,2.1,1.81,2.1,1.76,2.06,1,-0.3405160044989156,0.4254078343553388,0.4562264206649498,0.26746376976270975,-0.3405160044989156,0.4562264206649498,0.4254078343553388,0.26746376976270975,1.5008359982578305,-0.5308657482154769,0.29775590731682616,0.7022440926831739,Safiullin R.,FALSE,Moutet C.,TRUE,29
29,Rome,Internazionali BNL d'Italia,2024-05-09,Masters 1000,Outdoor,Clay,1st Round,3,Fognini F.,Evans D.,92,67,650,806,6,4,3,6,6,2,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.64,2.38,1.64,2.68,1.56,2.43,1,-0.1578345894284191,0.5652751562567015,0.17643487956941176,0.2496164147564755,-0.1578345894284191,0.17643487956941176,0.5652751562567015,0.2496164147564755,1.543322505763755,-0.21659080830445646,0.4142636248108035,0.5857363751891965,Evans D.,FALSE,Fognini F.,TRUE,29
29,Rome,Internazionali BNL d'Italia,2024-05-09,Masters 1000,Outdoor,Clay,1st Round,3,Karatsev A.,Mcdonald M.,86,76,675,735,4,6,6,3,6,4,NA,NA,NA,NA,2,1,Completed,1.25,4,1.29,3.9,1.3,4,1.27,3.67,1,0.1987013603860956,0.2902386656874353,0.2356456036196329,0.23324930131766816,0.1987013603860956,0.2356456036196329,0.2902386656874353,0.23324930131766816,1.46241024327143,-0.025262571432002952,0.48992276403333784,0.5100772359666621,Mcdonald M.,FALSE,Karatsev A.,TRUE,29
30,Geneva,Geneva Open,2024-05-19,ATP250,Outdoor,Clay,1st Round,3,Baez S.,Nagal S.,20,94,1985,646,7,6,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.2,4.5,1.23,4.43,1.25,4.54,1.22,4.24,2,0.1543403918091815,0.2511606727732296,0.3045460466330035,0.8348812653629717,0.1543403918091815,0.3045460466330035,0.2511606727732296,0.8348812653629717,1.6613574000804217,-0.09041140384155208,0.4639801474265459,0.5360198525734541,Nagal S.,FALSE,Baez S.,TRUE,30
30,Geneva,Geneva Open,2024-05-21,ATP250,Outdoor,Clay,1st Round,3,Hanfmann Y.,Murray A.,85,75,682,728,7,5,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.7,2.26,1.72,2.41,1.64,2.23,2,-0.1403869469728574,0.2774151934734832,0.17045375902134002,0.28320834239991244,-0.1403869469728574,0.17045375902134002,0.2774151934734832,0.28320834239991244,1.468729435524064,-0.21163918859111375,0.41619426685622996,0.58380573314377,Murray A.,FALSE,Hanfmann Y.,TRUE,30
31,Lyon,Lyon Open,2024-05-19,ATP250,Outdoor,Clay,1st Round,3,Vukic A.,Mcdonald M.,93,74,647,735,6,2,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.65,2.31,1.68,2.31,1.64,2.25,2,-0.07457094821699166,0.2979299379476706,0.21954883773502504,0.23922289401373656,-0.07457094821699166,0.21954883773502504,0.2979299379476706,0.23922289401373656,1.464919738738546,-0.2007753586590932,0.42043711575995457,0.5795628842400454,Mcdonald M.,FALSE,Vukic A.,TRUE,31
31,Lyon,Lyon Open,2024-05-20,ATP250,Outdoor,Clay,1st Round,3,Rinderknech A.,Evans D.,73,60,739,831,6,3,4,6,7,6,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.68,2.3,1.73,2.3,1.66,2.19,1,-0.2342686208707907,0.3147756333218365,0.14893440212681858,0.24798936720137843,-0.2342686208707907,0.14893440212681858,0.3147756333218365,0.24798936720137843,1.469891977520152,-0.2607014861351304,0.39716135995534674,0.6028386400446533,Evans D.,FALSE,Rinderknech A.,TRUE,31
32,Paris,French Open,2024-05-26,Grand Slam,Outdoor,Clay,1st Round,5,Muller A.,Nardi L.,90,72,670,748,6,4,6,1,6,3,NA,NA,NA,NA,3,0,Completed,1.53,2.5,1.6,2.52,1.62,2.54,1.56,2.44,3,-0.5198995090923635,0.441406645478832,0.1643953659561994,0.8294616202799423,-0.5198995090923635,0.1643953659561994,0.441406645478832,0.8294616202799423,1.6978946982043093,-0.4030255090449791,0.3434647293828479,0.6565352706171521,Nardi L.,FALSE,Muller A.,TRUE,32
32,Paris,French Open,2024-05-26,Grand Slam,Outdoor,Clay,1st Round,5,Altmaier D.,Djere L.,83,52,702,960,7,5,6,4,6,7,5,7,7,6,3,2,Completed,1.53,2.5,1.61,2.49,1.61,2.55,1.56,2.44,1,-0.10298505047666023,0.25825201158875766,0.4620440187313283,0.25036884768624995,-0.10298505047666023,0.4620440187313283,0.25825201158875766,0.25036884768624995,1.459239069303375,-0.38720801895588447,0.34930110701809125,0.6506988929819087,Djere L.,FALSE,Altmaier D.,TRUE,32
32,Paris,French Open,2024-05-27,Grand Slam,Outdoor,Clay,1st Round,5,Lajovic D.,Safiullin R.,61,42,831,1087,4,6,7,5,6,4,6,7,6,4,3,2,Completed,1.62,2.3,1.67,2.35,1.68,2.35,1.64,2.29,1,0.4016404102127956,0.2449520344238997,0.416951634118833,0.26403540786037616,0.4016404102127956,0.416951634118833,0.2449520344238997,0.26403540786037616,1.4593547189673943,-0.010491776746966127,0.49581446344805924,0.5041855365519408,Safiullin R.,FALSE,Lajovic D.,TRUE,32
32,Paris,French Open,2024-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Etcheverry T.,Cazaux A.,29,77,1550,725,3,6,6,2,6,1,6,4,NA,NA,3,1,Completed,1.2,4.5,1.22,4.85,1.23,4.85,1.2,4.54,2,0.369205898794067,0.22991561669144572,0.8762753210455203,1.0154779002834646,0.369205898794067,0.8762753210455203,0.22991561669144572,1.0154779002834646,1.7561482160577226,-0.2887395366831535,0.3863903523890253,0.6136096476109747,Cazaux A.,FALSE,Etcheverry T.,TRUE,32
32,Paris,French Open,2024-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Munar J.,Bautista Agut R.,64,81,810,715,6,1,4,6,6,4,6,1,NA,NA,3,1,Completed,1.67,2.2,1.69,2.3,1.8,2.3,1.69,2.2,2,0.07301537245808512,0.30671665820456245,0.25936430246957465,0.24820682744184233,0.07301537245808512,0.25936430246957465,0.30671665820456245,0.24820682744184233,1.4682240079800217,-0.1269213205877677,0.4495013358595673,0.5504986641404327,Bautista Agut R.,FALSE,Munar J.,TRUE,32
32,Paris,French Open,2024-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Rinderknech A.,Walton A.,69,96,772,635,6,2,6,4,7,5,NA,NA,NA,NA,3,0,Completed,1.14,5.5,1.19,5.48,1.19,5.5,1.17,5.13,3,-0.1943152600508538,0.3091361785586975,NA,NA,-0.1943152600508538,0,0.3091361785586975,4,4.253888242172551,-0.045679446423729474,0.4817828730418685,0.5182171269581315,Walton A.,FALSE,Rinderknech A.,TRUE,32
33,Stuttgart,Stuttgart Open,2024-06-10,ATP250,Outdoor,Grass,1st Round,3,Koepfer D.,Zhang Zh.,65,44,801,1066,4,6,7,6,7,6,NA,NA,NA,NA,2,1,Completed,1.8,2,1.79,2.08,1.81,2.12,1.76,2.02,1,-0.2172715765628578,0.4070651676740994,0.2684495366045289,0.25893283966448505,-0.2172715765628578,0.2684495366045289,0.4070651676740994,0.25893283966448505,1.494238356551677,-0.32506267225552143,0.37256681966386235,0.6274331803361377,Zhang Zh.,FALSE,Koepfer D.,TRUE,33
33,Stuttgart,Stuttgart Open,2024-06-11,ATP250,Outdoor,Grass,1st Round,3,Nakashima B.,Eubanks C.,70,45,750,1017,7,6,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.62,2.38,1.69,2.42,1.57,2.34,2,-0.07302164020132446,0.28244211410149045,0.1490098478116667,0.2996393152143714,-0.07302164020132446,0.1490098478116667,0.28244211410149045,0.2996393152143714,1.4729417052416762,-0.15074017337065002,0.4400903407686648,0.5599096592313352,Eubanks C.,FALSE,Nakashima B.,TRUE,33
