ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,GamesMatch,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,Fatigue_W,Fatigue_L,mu_winner,mu_loser,sigma_winner,sigma_loser,p_ttt_win,p_fat_win,y,pred_base,ttt_correct,pred_fat,ttt_fat_correct,p_book,pred_book,bookie_correct,p_base_fav,y_base_fav,p_fat_fav,y_fat_fav,p_book_fav,y_book_fav,theta_used,ATP_k,cfg_window,cfg_delta,cfg_transform,cfg_fat_mode,cfg_alpha_sigma
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,O Connell C.,Garin C.,68,86,814,680,3,6,7,5,4,6,6,1,7,5,3,2,Completed,1.44,2.75,1.43,3.08,1.48,3.16,1.41,2.95,50,1.8235755331732035,0.31192152392396993,1.9494003990509163,0.34453062518448724,45.65521874999999,0,1.8235755331732035,1.9494003990509163,0.31192152392396993,0.34453062518448724,0.39329770904659767,0.47552888027545737,1,Garin C.,FALSE,Garin C.,FALSE,0.6563245823389022,O Connell C.,TRUE,0.6067022909534023,0,0.5244711197245426,0,0.6563245823389022,1,0,5,10,0.95,linear,sigma_inflate,0.12
5,Melbourne,Australian Open,2024-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Kecmanovic M.,Struff J.L.,60,25,890,1511,6,4,1,6,7,6,1,6,7,6,3,2,Completed,1.5,2.63,1.55,2.64,1.57,2.64,1.52,2.57,50,1.757710285616573,0.28306376905270725,2.48767435154321,0.3166630551486425,71.13961629527518,44.583499999999994,1.757710285616573,2.48767435154321,0.28306376905270725,0.3166630551486425,0.04284083986852251,0.41416009232298545,1,Struff J.L.,FALSE,Struff J.L.,FALSE,0.6368038740920097,Kecmanovic M.,TRUE,0.9571591601314775,0,0.5858399076770145,0,0.6368038740920097,1,0,5,10,0.95,linear,sigma_inflate,0.12
5,Melbourne,Australian Open,2024-01-28,Grand Slam,Outdoor,Hard,The Final,5,Sinner J.,Medvedev D.,4,3,6490,7555,3,6,3,6,6,4,6,4,6,3,3,2,Completed,1.36,3.25,1.33,3.67,1.4,3.75,1.35,3.29,47,3.859565339634668,0.24589855131206756,4.025343508251821,0.24535730633236608,93.66743319284764,172.14444849287602,3.859565339634668,4.025343508251821,0.24589855131206756,0.24535730633236608,0.316596596102413,0.4891717862650924,1,Medvedev D.,FALSE,Medvedev D.,FALSE,0.7049891540130152,Sinner J.,TRUE,0.683403403897587,0,0.5108282137349076,0,0.7049891540130152,1,0,5,10,0.95,linear,sigma_inflate,0.12
6,Montpellier,Open Sud de France,2024-01-30,ATP250,Indoor,Hard,1st Round,3,Cazaux A.,Marterer M.,83,92,696,636,6,1,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.4,3,1.4,3.18,1.41,3.2,1.38,2.99,16,0.8784882134436249,1.0264386735482929,1.8012197268403418,0.5170357301084038,38.85155900736571,0,0.8784882134436249,1.8012197268403418,1.0264386735482929,0.5170357301084038,0.21102773051380047,0.43717257852916036,1,Marterer M.,FALSE,Marterer M.,FALSE,0.6818181818181818,Cazaux A.,TRUE,0.7889722694861996,0,0.5628274214708396,0,0.6818181818181818,1,0,6,10,0.95,linear,sigma_inflate,0.12
8,Dallas,Dallas Open,2024-02-08,ATP250,Indoor,Hard,2nd Round,3,Koepfer D.,Hijikata R.,60,88,868,680,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.46,2.95,1.5,2.95,1.44,2.74,22,1.567941609524634,0.5710937690910773,1.8417762725945952,0.3869970027388917,21.849999999999998,19,1.567941609524634,1.8417762725945952,0.5710937690910773,0.3869970027388917,0.34570620251471273,0.4550818354824549,1,Hijikata R.,FALSE,Hijikata R.,FALSE,0.6563245823389022,Koepfer D.,TRUE,0.6542937974852873,0,0.5449181645175452,0,0.6563245823389022,1,0,8,10,0.95,linear,sigma_inflate,0.12
9,Marseille,Open 13,2024-02-07,ATP250,Indoor,Hard,2nd Round,3,Machac T.,Musetti L.,66,27,838,1480,6,3,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.64,2.41,1.64,2.5,1.6,2.29,17,2.0268600133329606,0.551943783077014,2.518861720534593,0.2761715392319969,20.9,16.245,2.0268600133329606,2.518861720534593,0.551943783077014,0.2761715392319969,0.21267457558049718,0.4074062044838844,1,Musetti L.,FALSE,Musetti L.,FALSE,0.586734693877551,Machac T.,TRUE,0.7873254244195028,0,0.5925937955161156,0,0.586734693877551,1,0,9,10,0.95,linear,sigma_inflate,0.12
9,Marseille,Open 13,2024-02-09,ATP250,Indoor,Hard,Quarterfinals,3,Humbert U.,Davidovich Fokina A.,21,24,1775,1535,6,1,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.59,2.54,1.62,2.54,1.57,2.36,17,2.536095876314817,0.26861200620602427,2.5556226979341488,0.2762957300395127,21.66,45.67125,2.536095876314817,2.5556226979341488,0.26861200620602427,0.2762957300395127,0.4797928695757794,0.49617178934130723,1,Davidovich Fokina A.,FALSE,Davidovich Fokina A.,FALSE,0.6025316455696202,Humbert U.,TRUE,0.5202071304242206,0,0.5038282106586928,0,0.6025316455696202,1,0,9,10,0.95,linear,sigma_inflate,0.12
11,Delray Beach,Delray Beach Open,2024-02-14,ATP250,Outdoor,Hard,2nd Round,3,Giron M.,Mannarino A.,52,19,945,1975,6,0,6,7,6,1,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.76,2.19,1.76,2.22,1.68,2.15,26,1.8173454727733365,0.27298956009448344,2.6588805771910526,0.25440005887908584,102.4260122076953,22.806174999999996,1.8173454727733365,2.6588805771910526,0.27298956009448344,0.25440005887908584,0.012060230611302968,0.41123808703533643,1,Mannarino A.,FALSE,Mannarino A.,FALSE,0.5684754521963824,Giron M.,TRUE,0.987939769388697,0,0.5887619129646635,0,0.5684754521963824,1,0,11,10,0.95,linear,sigma_inflate,0.12
12,Rotterdam,ABN AMRO World Tennis Tournament,2024-02-13,ATP500,Indoor,Hard,1st Round,3,Fucsovics M.,Marozsan F.,86,61,682,896,7,6,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.68,2.31,1.68,2.31,1.64,2.22,20,2.2482484442786475,0.30970548507117956,2.514616448583741,0.41706402560688927,0,0,2.2482484442786475,2.514616448583741,0.30970548507117956,0.41706402560688927,0.30406012316383624,0.30406012316383624,1,Marozsan F.,FALSE,Marozsan F.,FALSE,0.5684754521963824,Fucsovics M.,TRUE,0.6959398768361638,0,0.6959398768361638,0,0.5684754521963824,1,0,12,10,0.95,linear,sigma_inflate,0.12
12,Rotterdam,ABN AMRO World Tennis Tournament,2024-02-15,ATP500,Indoor,Hard,2nd Round,3,Ruusuvuori E.,Struff J.L.,55,25,931,1526,6,3,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.58,2.54,1.58,2.55,1.53,2.47,18,2.317239915227787,0.29511747529947274,2.5281988644129587,0.31421560325098963,60.323753137617175,32.49,2.317239915227787,2.5281988644129587,0.29511747529947274,0.31421560325098963,0.31228683817350034,0.4707805635404593,1,Struff J.L.,FALSE,Struff J.L.,FALSE,0.6203473945409429,Ruusuvuori E.,TRUE,0.6877131618264997,0,0.5292194364595407,0,0.6203473945409429,1,0,12,10,0.95,linear,sigma_inflate,0.12
