player,mu_generic,sigma_generic,ATP
Albot R.,-0.49322300747889464,0.8215557687435123,1
Alcaraz C.,1.42480086591613,0.18907695116938347,1
Altmaier D.,-0.07570781318215623,0.2959319069344994,1
Arnaldi M.,0.27631462293325804,0.3401192895989572,1
Auger-Aliassime F.,0.4109322342121364,0.25411460725708274,1
Baez S.,0.14462126489726757,0.252384395293063,1
Bagnis F.,-0.46871561426313046,0.7166551879065051,1
Barrere G.,0.0951061262584756,0.26694718237543785,1
Basilashvili N.,-0.2738516688374702,0.8214593061822015,1
Bautista Agut R.,0.27462465622810184,0.26957660170993947,1
Berrettini M.,0.8443301129353817,0.411523820082788,1
Bonzi B.,0.1982999349023139,0.387764112403256,1
Borges N.,-0.34484662333247856,0.36965002996863555,1
Brooksby J.,0.40662418723661553,0.602311860939971,1
Bublik A.,0.327052496917723,0.26012494499920824,1
Cachin P.,-0.20381424485254623,0.3013902086714199,1
Carballes Baena R.,-0.1353187081543997,0.29870959094275673,1
Carreno Busta P.,0.24089603873509047,0.761292404369276,1
Cecchinato M.,0.08467800558394287,0.36313583749224265,1
Cerundolo F.,0.4554830128403489,0.23195290470318564,1
Cerundolo J.M.,-0.4745127042546751,0.6672686372234783,1
Cilic M.,0.33247732916687317,1.3828263065504236,1
Coria F.,-0.35565200831278804,0.5141962022018013,1
Coric B.,-0.011598498811779032,0.2877044672459076,1
Cressy M.,-0.1392219001808439,0.33183037666301146,1
Daniel T.,-0.2793039898172215,0.5582052545198041,1
Davidovich Fokina A.,0.5831132982857482,0.2221463774293283,1
De Minaur A.,0.5808824222423907,0.21794017473681573,1
Diaz Acosta F.,0.16587607762503898,0.9973073782685357,1
Dimitrov G.,0.9918120633436696,0.21788075882574945,1
Djere L.,0.42344252060308823,0.24955753979054102,1
Djokovic N.,1.938278614176306,0.22190996168459537,1
Draper J.,0.8399992464170986,0.385943503722689,1
Etcheverry T.,0.2952580595043831,0.23194527369435233,1
Eubanks C.,0.32701073016985954,0.33824244554322047,1
Evans D.,0.26988641492067567,0.27787527028193515,1
Fils A.,0.20987582444855868,0.3441235410612948,1
Fognini F.,-0.2824458121641425,0.5943116506036039,1
Fritz T.,0.7225032130796589,0.2097998020737723,1
Fucsovics M.,0.4098151876496229,0.27188421433989807,1
Galan D.E.,-0.4034474957248539,0.35420748789714385,1
Garin C.,0.3360744673934202,0.3253192345092134,1
Gasquet R.,-0.08483165724085442,0.3108133840839673,1
Gaston H.,0.07812814976718241,0.860451206023355,1
Giron M.,0.14844285937971974,0.2376600436612758,1
Goffin D.,-0.5847713875191197,0.5864045743671004,1
Gojo B.,0.5230770646713523,0.7074483724874939,1
Gomez E.,-0.5753084126467529,0.8102818191358107,1
Griekspoor T.,0.5388978124446044,0.24005684244796882,1
Halys Q.,0.56253471826134,0.3100798951556651,1
Hanfmann Y.,-0.295888314327029,0.34324460955781827,1
Hijikata R.,-0.3231911592826303,0.7171738543898857,1
Huesler M.A.,-0.46066568160130233,0.3696942479037485,1
Humbert U.,0.42182105977023376,0.240616108214719,1
Hurkacz H.,0.8036878284282327,0.20768396415563375,1
Isner J.,-0.2136394306113577,0.5151062013240911,1
Ivashka I.,-0.5033503889248072,0.40395240423271705,1
Jarry N.,0.49480215220750823,0.26261251674974406,1
Karatsev A.,0.2254612025964958,0.28617021538531273,1
Kecmanovic M.,0.07497697323766149,0.2685855257133175,1
Khachanov K.,0.7344435433307552,0.22146426458966345,1
Koepfer D.,-0.33320924191559254,0.6452003403255325,1
Kokkinakis T.,0.24168293985629039,0.4573834163895734,1
Korda S.,0.9143849396284323,0.2619405186646643,1
Kotov P.,0.455498060959935,0.7099560699437549,1
Krajinovic F.,-0.5989929547606758,0.43239167047216454,1
Kubler J.,-0.08915731308035618,0.3385967327176315,1
Kudla D.,-0.18089235987593907,0.8206806389138313,1
Kwon S.W.,0.3762576340177547,0.55687248291111,1
Kyrgios N.,-1.0790630446929181,1.3653284789561397,1
Lajovic D.,0.3851529383743396,0.2544336393944847,1
Lehecka J.,0.3860895023416576,0.24200911074263362,1
Lestienne C.,0.046707511803129674,0.37632020151387896,1
Machac T.,0.7445806655632317,0.7164173559870936,1
Mannarino A.,0.5203073858618995,0.22804242525976715,1
Marozsan F.,0.46340482648936143,0.4583939344968363,1
Marterer M.,-0.2304389024454107,1.377670820238645,1
Martinez P.,-0.15815938426982717,0.6645271086684619,1
Mcdonald M.,0.31545325716206635,0.23478087166909753,1
Medvedev D.,1.2082180913647456,0.18240376780440348,1
Mmoh M.,0.673773148011232,0.5566241329325244,1
Molcan A.,-0.06426025617699214,0.3422119794327547,1
Monfils G.,0.32551149598618084,0.8235666762890347,1
Monteiro T.,-0.3179126912131061,0.37207958055689294,1
Moutet C.,-0.33798758744300234,0.43063238292591693,1
Muller A.,-0.4000147532443642,0.48847732604655764,1
Munar J.,-0.25114293492553763,0.40856924004587986,1
Murray A.,0.24529907834759418,0.2988964303591356,1
Musetti L.,0.513038320643051,0.24687636802066987,1
Nadal R.,0.065162249835432,1.0635456919078692,1
Nakashima B.,-0.11158983330087235,0.29222701150749875,1
Nishioka Y.,0.08097284457012319,0.2601844514877383,1
Norrie C.,0.24205612339692648,0.2634305383227198,1
O Connell C.,0.01670753847682828,0.27667456675635277,1
Ofner S.,-0.0017944298209246782,0.34795991058890247,1
Otte O.,-0.18919004602119488,0.5413848838349166,1
Paul T.,0.6148235874814182,0.21500854748390558,1
Popyrin A.,0.3193454043283432,0.28795206890006647,1
Pospisil V.,-0.6104655497632026,1.3532901707670408,1
Purcell M.,0.006093373171505838,0.34686325263090145,1
Ramos-Vinolas A.,-0.33905833606651015,0.2956379746594948,1
Rinderknech A.,-0.19841407090650828,0.3384885652778878,1
Rublev A.,0.8634117249931242,0.18038996828819254,1
Rune H.,0.7502222575188336,0.2152204685072531,1
Ruud C.,0.6500858923916132,0.228412933786489,1
Ruusuvuori E.,0.2005342959743989,0.2376892181264181,1
Safiullin R.,0.6053023817917672,0.3105225750640761,1
Schwartzman D.,-0.06397159664477327,0.34051301377656784,1
Seyboth Wild T.,-0.2189853612830293,0.9975312051848767,1
Shapovalov D.,0.23339140084783716,0.34403286819292295,1
Shelton B.,0.5001319898920791,0.23373064211902114,1
Shevchenko A.,0.29178624006463016,0.3008513125598067,1
Sinner J.,1.222979409260303,0.18989652271141175,1
Sonego L.,0.28452256517897506,0.22652896719539092,1
Sousa J.,-1.7455203122476024,1.1424846078325406,1
Stricker D.,0.24693434588817198,0.8269893949941136,1
Struff J.L.,0.5683826880186535,0.286132277230797,1
Thiem D.,0.03532348722983713,0.37326359565524075,1
Thompson J.,0.28549454549446823,0.3070609130110261,1
Tiafoe F.,0.5104063044446764,0.23739410634333585,1
Tsitsipas S.,0.8372356628021274,0.20326673799482958,1
Van Assche L.,-0.007759052049854877,0.36276242005481035,1
Van De Zandschulp B.,0.20016578626861528,0.25394383808031656,1
Varillas J. P.,-0.44396632314218093,0.981982533004205,1
Varillas J.P.,-0.3930302023631154,0.3668017555113991,1
Vukic A.,0.08285456677863598,0.34355035112018584,1
Watanuki Y.,9.048340644762639e-4,0.6365163869460023,1
Wawrinka S.,0.47953149680418133,0.2799098645387902,1
Wolf J.J.,0.16601422701666396,0.24452538190152345,1
Wu Y.,-0.1160013645311435,0.3284700366581496,1
Ymer M.,-0.11246118430339912,0.35613731489364575,1
Zapata Miralles B.,0.00151335322597037,0.28428463403191967,1
Zhang Zh.,0.23009431179542184,0.29451682279977565,1
Zverev A.,0.8011318943941365,0.19227810385084448,1
Albot R.,-0.4923268831444604,0.8215531590796025,2
Alcaraz C.,1.4252867557166544,0.18903152151719085,2
Altmaier D.,-0.07317682524194725,0.2958856881443892,2
Arnaldi M.,0.3088711887886563,0.33465411167363385,2
Auger-Aliassime F.,0.40978233894114274,0.2540813178968407,2
Baez S.,0.14310624857407425,0.25236574573524984,2
Bagnis F.,-0.47003901839503304,0.7166532221823879,2
Barrere G.,0.09917795572206205,0.26692458329122903,2
Basilashvili N.,-0.27177597520857094,0.8214566359232858,2
Bautista Agut R.,0.27214064437435287,0.2695523465760276,2
Berrettini M.,0.8446010970613473,0.4115046980291055,2
Bonzi B.,0.19611962622488205,0.3877618235586677,2
Borges N.,-0.34906143586248595,0.369637953027936,2
Brooksby J.,0.40676733151614813,0.6023134481633117,2
Bublik A.,0.3264774227482092,0.26011985919820674,2
Cachin P.,-0.19849657097112658,0.30134641967874537,2
Carballes Baena R.,-0.13712108662932695,0.29867072951367535,2
Carreno Busta P.,0.24121714827225554,0.7612314919795807,2
Cecchinato M.,0.0831597603625859,0.36312246920344826,2
Cerundolo F.,0.45460241576667665,0.23190136037118556,2
Cerundolo J.M.,-0.44644676987336174,0.6666224484598409,2
Cilic M.,0.33092722613803655,1.382820244126934,2
Coria F.,-0.35729040333201034,0.5141637612915249,2
Coric B.,-0.01433137047404013,0.2876764954597919,2
Cressy M.,-0.14672182652134055,0.3317589021573918,2
Daniel T.,-0.2870167092935168,0.5580916400070691,2
Davidovich Fokina A.,0.5831318699203404,0.22213119581583596,2
De Minaur A.,0.5784057952369799,0.2178966422711419,2
Diaz Acosta F.,0.16980645963014324,0.9972887280303737,2
Dimitrov G.,0.9849921666810884,0.2200234628953826,2
Djere L.,0.4321511889563178,0.24919892358184667,2
Djokovic N.,1.935764656758822,0.22185667596773218,2
Draper J.,0.840265874516628,0.3859215110966914,2
Etcheverry T.,0.28988029777423346,0.23416872782484546,2
Eubanks C.,0.3332953982945609,0.3381583872173756,2
Evans D.,0.26755187947213666,0.2778578886686627,2
Fils A.,0.21254842319544803,0.34409276353382556,2
Fognini F.,-0.2835144404185187,0.5942544674574234,2
Fritz T.,0.7244597316614657,0.20976492864449572,2
Fucsovics M.,0.3841133072313423,0.270808558733937,2
Galan D.E.,-0.4037108492827375,0.35419326437818144,2
Garin C.,0.3333300670588175,0.3253043434716177,2
Gasquet R.,-0.08524616842960157,0.3107928114577519,2
Gaston H.,0.08426118481112702,0.8604831613195141,2
Giron M.,0.14757706956326247,0.23764974505909706,2
Goffin D.,-0.5841916506419229,0.5864027045095389,2
Gojo B.,0.5262923306627022,0.7074364701683427,2
Gomez E.,-0.5747905343369728,0.8102802857536849,2
Griekspoor T.,0.5370133145850561,0.2400361469831552,2
Halys Q.,0.5622450826562534,0.31009434576585315,2
Hanfmann Y.,-0.1686413092763745,0.33634433613781844,2
Hijikata R.,-0.005423169908479232,0.6468912453697232,2
Huesler M.A.,-0.4611924743123418,0.3696923075817324,2
Humbert U.,0.4203803931123188,0.24411080419943149,2
Hurkacz H.,0.7920649083956471,0.20762430704236695,2
Isner J.,-0.21215210546353871,0.5151036040745686,2
Ivashka I.,-0.5038112669788221,0.40394996066279215,2
Jarry N.,0.49769169193221835,0.2625842253288716,2
Karatsev A.,0.22585003071007587,0.28612830439985565,2
Kecmanovic M.,0.07255907084722728,0.2685655785262058,2
Khachanov K.,0.7355702780826492,0.22143900933561592,2
Koepfer D.,-0.33393856008702505,0.6451983471931384,2
Kokkinakis T.,0.11084378899174828,0.44255565501134386,2
Korda S.,0.8379555999875625,0.26180870827246466,2
Kotov P.,0.450674683712244,0.7098496214032062,2
Krajinovic F.,-0.6015808673170938,0.4323572943543309,2
Kubler J.,-0.08937792919280153,0.3385909948086529,2
Kudla D.,-0.15486308269050617,0.8202079403500426,2
Kwon S.W.,0.37620267756691844,0.5568692535783789,2
Kyrgios N.,-1.0795595487514307,1.3653255948345255,2
Lajovic D.,0.3859566709527437,0.25441718871943536,2
Lehecka J.,0.3886469084908624,0.24198860631582236,2
Lestienne C.,0.047786510992231364,0.3762963092487458,2
Machac T.,0.7475205857559959,0.6444698304083142,2
Mannarino A.,0.5246958385700282,0.22800644366405715,2
Marozsan F.,0.4634170893526572,0.4583922014581024,2
Marterer M.,-0.23021082206773497,1.3776659529042594,2
Martinez P.,-0.16078676457034646,0.6644367353244545,2
Mcdonald M.,0.31759514225081725,0.23473026497238883,2
Medvedev D.,1.2063334601622417,0.1823845366544712,2
Michelsen A.,-0.6039944541272744,1.351842227268239,2
Mmoh M.,0.6734940286172841,0.5566171053501529,2
Molcan A.,-0.061892078722229814,0.3421797250329999,2
Monfils G.,0.3252251352235693,0.8235627509430739,2
Monteiro T.,-0.3084877456308399,0.372032505923971,2
Moutet C.,-0.3353174361402204,0.43066477572143214,2
Muller A.,-0.3680976544311021,0.4867255254881824,2
Munar J.,-0.250464421761181,0.40855563120137267,2
Murray A.,0.2593071475066538,0.2963032819186222,2
Musetti L.,0.5119641084273342,0.2468149992597972,2
Nadal R.,0.06602745906152473,1.063573987622246,2
Nakashima B.,-0.11003327618109264,0.29214233366446846,2
Nishioka Y.,0.08222650924604666,0.260145010668207,2
Norrie C.,0.24248611086196123,0.2634135246469257,2
O Connell C.,0.01709589005092439,0.2766560109095839,2
Ofner S.,-0.002406986046808409,0.34794474448137597,2
Otte O.,-0.18753428848578052,0.5413795924072043,2
Paul T.,0.6157444225837718,0.21499546103601178,2
Popyrin A.,0.32038020227268704,0.28790542867653907,2
Pospisil V.,-0.6113840800470405,1.3532857526385809,2
Purcell M.,0.041451099899049396,0.33955322908230773,2
Ramos-Vinolas A.,-0.3374221220236444,0.2956044517296191,2
Rinderknech A.,-0.18911535865904225,0.3384508656399123,2
Rublev A.,0.8657168504384442,0.18037124251959435,2
Rune H.,0.7439001524451426,0.2166847174186266,2
Ruud C.,0.6508787808954462,0.22839721918594652,2
Ruusuvuori E.,0.20056301323788234,0.237674155249717,2
Safiullin R.,0.6251929489099974,0.30698459793040644,2
Schwartzman D.,-0.0625251795700752,0.34050051873284665,2
Seyboth Wild T.,-0.2104981186591167,0.9970446439334251,2
Shapovalov D.,0.23392367600094532,0.34398529343987927,2
Shelton B.,0.49076219027882445,0.23547075225909622,2
Shevchenko A.,0.28951138557704836,0.30084764123619817,2
Sinner J.,1.2206447608856188,0.18984340189386678,2
Sonego L.,0.28432292998989034,0.2265177472046632,2
Sousa J.,-1.7465283882792852,1.1423798210960576,2
Stricker D.,0.24657178240574232,0.826975873884514,2
Struff J.L.,0.5702082362214417,0.28610290211100453,2
Thiem D.,0.048296497979761065,0.37320907962564176,2
Thompson J.,0.3287949987772151,0.30385824042883997,2
Tiafoe F.,0.5077539906845272,0.23737925993468917,2
Tsitsipas S.,0.849132160486811,0.2030653536417065,2
Van Assche L.,-0.008474735348910271,0.3627148446691711,2
Van De Zandschulp B.,0.19978990617388487,0.2539374471628204,2
Varillas J. P.,-0.4425370020841692,0.9819808398092904,2
Varillas J.P.,-0.3934752949625386,0.36679326217043023,2
Vukic A.,0.03279356216102897,0.3372832996230298,2
