Date,ATP,Tournament,Round,Surface,Court,Winner,Loser,B365W,B365L,mu_winner,mu_loser,sigma_winner,sigma_loser,TTT_Prob_W,TTT_Prob_L,TTT_Pct_W,TTT_Pct_L,pred,ttt_correct,bookie_pred,bookie_correct,bet365_right_ttt_wrong,ATPk
2024-02-13,12,ABN AMRO World Tennis Tournament,1st Round,Hard,Indoor,Fucsovics M.,Marozsan F.,1.67,2.2,2.354063718273962,2.550800593781234,0.31360227218437225,0.44542440412436884,0.35899262987632885,0.6410073701236711,35.9,64.1,Marozsan F.,FALSE,Fucsovics M.,TRUE,TRUE,12
2024-02-20,15,Rio Open,1st Round,Clay,Outdoor,Munar J.,Ofner S.,1.67,2.2,1.6143249472780847,2.0966156724769274,0.347762123938083,0.38179360542064206,0.17518157969761813,0.8248184203023818,17.52,82.48,Ofner S.,FALSE,Munar J.,TRUE,TRUE,15
2024-02-27,17,Dubai Tennis Championships,1st Round,Hard,Outdoor,Humbert U.,Monfils G.,1.53,2.5,2.4527822443560683,2.615583780734262,0.27104825148167183,0.37278821622149677,0.3619627034067773,0.6380372965932227,36.2,63.8,Monfils G.,FALSE,Humbert U.,TRUE,TRUE,17
2024-02-27,17,Dubai Tennis Championships,1st Round,Hard,Outdoor,Cazaux A.,Musetti L.,1.44,2.75,-2.8996793790884148,2.4717197660028742,2.480252869158651,0.27763126686235484,0.015689841786676668,0.9843101582133233,1.57,98.43,Musetti L.,FALSE,Cazaux A.,TRUE,TRUE,17
2024-02-27,17,Dubai Tennis Championships,1st Round,Hard,Outdoor,O Connell C.,Marterer M.,1.67,2.2,1.7808232400768953,2.0214284141642254,0.31478380954816937,0.5417043379649099,0.35047743932498376,0.6495225606750162,35.05,64.95,Marterer M.,FALSE,O Connell C.,TRUE,TRUE,17
2024-04-15,25,Barcelona Open,1st Round,Clay,Outdoor,Nakashima B.,Evans D.,1.5,2.63,1.6173771954319924,1.7253480458140456,0.33464535186007144,0.3252120260165957,0.4085095417956045,0.5914904582043955,40.85,59.15,Evans D.,FALSE,Nakashima B.,TRUE,TRUE,25
2024-04-15,25,Barcelona Open,1st Round,Clay,Outdoor,Bautista Agut R.,Safiullin R.,1.67,2.2,2.031664227260643,2.2080390939612813,0.3175756941460764,0.3037504370132579,0.3440807779143706,0.6559192220856294,34.41,65.59,Safiullin R.,FALSE,Bautista Agut R.,TRUE,TRUE,25
2024-04-16,25,Barcelona Open,1st Round,Clay,Outdoor,Munar J.,Nishioka Y.,1.25,4,1.6982618418612816,2.1387317319420953,0.34694641063085635,0.309577245822439,0.17174801133769899,0.828251988662301,17.17,82.83,Nishioka Y.,FALSE,Munar J.,TRUE,TRUE,25
2024-06-18,36,Queen's Club Championships,1st Round,Grass,Outdoor,Korda S.,Khachanov K.,1.67,2.2,2.7879828129085524,3.0051215287532944,0.2952756597180418,0.29314664932605106,0.30088127778343715,0.6991187222165629,30.09,69.91,Khachanov K.,FALSE,Korda S.,TRUE,TRUE,36
2024-09-26,55,Japan Open Tennis Championships,1st Round,Hard,Outdoor,O Connell C.,Etcheverry T.,1.73,2.1,1.8493553314102358,2.162729591992104,0.312071136072575,0.2706095161764745,0.22402598156634956,0.7759740184336504,22.4,77.6,Etcheverry T.,FALSE,O Connell C.,TRUE,TRUE,55
2024-10-22,60,Swiss Indoors,1st Round,Hard,Indoor,Van De Zandschulp B.,Bublik A.,1.67,2.2,2.042395019460081,2.228695412137357,0.2966010566820653,0.29576738249176715,0.328242640297582,0.671757359702418,32.82,67.18,Bublik A.,FALSE,Van De Zandschulp B.,TRUE,TRUE,60
2024-10-23,61,Vienna Open,1st Round,Hard,Indoor,Machac T.,Marozsan F.,1.3,3.5,1.7148456265996108,2.443438686809967,0.544201912243904,0.41657090851305023,0.14386462696170257,0.8561353730382975,14.39,85.61,Marozsan F.,FALSE,Machac T.,TRUE,TRUE,61
