ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,margin,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,denom,z_val,TTT_Prob_W,TTT_Prob_L,pred,ttt_correct,bookie_pred,bookie_correct,ATPk,tournament_set
32,Paris,French Open,2024-05-26,Grand Slam,Outdoor,Clay,1st Round,5,Altmaier D.,Djere L.,83,52,702,960,7,5,6,4,6,7,5,7,7,6,3,2,Completed,1.53,2.5,1.61,2.49,1.61,2.55,1.56,2.44,1,-0.10298505047666023,0.25825201158875766,0.4620440187313283,0.25036884768624995,-0.10298505047666023,0.4620440187313283,0.25825201158875766,0.25036884768624995,0.3596924538843989,-1.570867175850129,0.05810675219997877,0.9418932478000213,Djere L.,FALSE,Altmaier D.,TRUE,32,All_2024_R1
32,Paris,French Open,2024-05-27,Grand Slam,Outdoor,Clay,1st Round,5,Lajovic D.,Safiullin R.,61,42,831,1087,4,6,7,5,6,4,6,7,6,4,3,2,Completed,1.62,2.3,1.67,2.35,1.68,2.35,1.64,2.29,1,0.4016404102127956,0.2449520344238997,0.416951634118833,0.26403540786037616,0.4016404102127956,0.416951634118833,0.2449520344238997,0.26403540786037616,0.360161346860546,-0.04251212418962294,0.483045223391605,0.5169547766083951,Safiullin R.,FALSE,Lajovic D.,TRUE,32,All_2024_R1
32,Paris,French Open,2024-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Etcheverry T.,Cazaux A.,29,77,1550,725,3,6,6,2,6,1,6,4,NA,NA,3,1,Completed,1.2,4.5,1.22,4.85,1.23,4.85,1.2,4.54,2,0.369205898794067,0.22991561669144572,0.8762753210455203,1.0154779002834646,0.369205898794067,0.8762753210455203,0.22991561669144572,1.0154779002834646,1.0411803670655349,-0.4870140066899062,0.3131242024824751,0.6868757975175249,Cazaux A.,FALSE,Etcheverry T.,TRUE,32,All_2024_R1
32,Paris,French Open,2024-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Munar J.,Bautista Agut R.,64,81,810,715,6,1,4,6,6,4,6,1,NA,NA,3,1,Completed,1.67,2.2,1.69,2.3,1.8,2.3,1.69,2.2,2,0.07301537245808512,0.30671665820456245,0.25936430246957465,0.24820682744184233,0.07301537245808512,0.25936430246957465,0.30671665820456245,0.24820682744184233,0.3945652513956581,-0.47228925849991904,0.31836016817277163,0.6816398318272283,Bautista Agut R.,FALSE,Munar J.,TRUE,32,All_2024_R1
32,Paris,French Open,2024-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Rinderknech A.,Walton A.,69,96,772,635,6,2,6,4,7,5,NA,NA,NA,NA,3,0,Completed,1.14,5.5,1.19,5.48,1.19,5.5,1.17,5.13,3,-0.1943152600508538,0.3091361785586975,NA,NA,-0.1943152600508538,0,0.3091361785586975,4,4.011927862872645,-0.0484343853360611,0.4806850279582098,0.5193149720417902,Walton A.,FALSE,Rinderknech A.,TRUE,32,All_2024_R1
33,Stuttgart,Stuttgart Open,2024-06-10,ATP250,Outdoor,Grass,1st Round,3,Koepfer D.,Zhang Zh.,65,44,801,1066,4,6,7,6,7,6,NA,NA,NA,NA,2,1,Completed,1.8,2,1.79,2.08,1.81,2.12,1.76,2.02,1,-0.2172715765628578,0.4070651676740994,0.2684495366045289,0.25893283966448505,-0.2172715765628578,0.2684495366045289,0.4070651676740994,0.25893283966448505,0.48243990940868126,-1.0068012693284998,0.15701514227320304,0.842984857726797,Zhang Zh.,FALSE,Koepfer D.,TRUE,33,All_2024_R1
33,Stuttgart,Stuttgart Open,2024-06-11,ATP250,Outdoor,Grass,1st Round,3,Nakashima B.,Eubanks C.,70,45,750,1017,7,6,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.62,2.38,1.69,2.42,1.57,2.34,2,-0.07302164020132446,0.28244211410149045,0.1490098478116667,0.2996393152143714,-0.07302164020132446,0.1490098478116667,0.28244211410149045,0.2996393152143714,0.4117733199713852,-0.5392080478366604,0.2948716539494303,0.7051283460505697,Eubanks C.,FALSE,Nakashima B.,TRUE,33,All_2024_R1
34,'s-Hertogenbosch,Rosmalen Grass Court Championships,2024-06-11,ATP250,Outdoor,Grass,1st Round,3,Fils A.,Cazaux A.,38,75,1155,735,6,4,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.72,2.19,1.74,2.32,1.64,2.21,2,0.21808239299259768,0.30037411149249016,0.3359797378022664,0.8296689851469908,0.21808239299259768,0.3359797378022664,0.30037411149249016,0.8296689851469908,0.8823691017764281,-0.13361454358761216,0.4468536915980954,0.5531463084019046,Cazaux A.,FALSE,Fils A.,TRUE,34,All_2024_R1
34,'s-Hertogenbosch,Rosmalen Grass Court Championships,2024-06-11,ATP250,Outdoor,Grass,1st Round,3,Vukic A.,Purcell M.,87,100,674,612,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.65,2.32,1.7,2.34,1.63,2.23,2,-0.03187320493780524,0.28731239983172,0.04530646897249234,0.29950413359531286,-0.03187320493780524,0.04530646897249234,0.28731239983172,0.29950413359531286,0.41503149415163804,-0.18596100536432741,0.4262376705444442,0.5737623294555558,Purcell M.,FALSE,Vukic A.,TRUE,34,All_2024_R1
35,Halle,Halle Open,2024-06-19,ATP500,Outdoor,Grass,1st Round,3,Struff J.L.,Darderi L.,41,34,1080,1231,6,7,7,5,7,6,NA,NA,NA,NA,2,1,Completed,1.17,5,1.21,5.04,1.22,5.05,1.18,4.69,1,0.5432633430709626,0.2640348584008512,1.413652682863181,0.8134782892496684,0.5432633430709626,1.413652682863181,0.2640348584008512,0.8134782892496684,0.855255127743368,-1.0176955525408924,0.15441133075088012,0.8455886692491199,Darderi L.,FALSE,Struff J.L.,TRUE,35,All_2024_R1
36,Queens Club,Queen's Club Championships,2024-06-18,ATP500,Outdoor,Grass,1st Round,3,Draper J.,Navone M.,31,29,1371,1382,6,3,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.06,10,1.09,9.38,1.09,10,1.07,8.26,2,0.735321071981623,0.29822121890543907,1.6929926073943298,1.0361256432884822,0.735321071981623,1.6929926073943298,0.29822121890543907,1.0361256432884822,1.0781893359171277,-0.8882220436711088,0.1872106617481293,0.8127893382518707,Navone M.,FALSE,Draper J.,TRUE,36,All_2024_R1
37,Eastbourne,Eastbourne International,2024-06-24,ATP250,Outdoor,Grass,1st Round,3,Purcell M.,Djere L.,94,52,627,936,6,1,4,6,6,3,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.59,2.5,1.59,2.75,1.54,2.45,1,-0.00423330795690899,0.295761640801405,0.4271825544213177,0.2531656473580657,-0.00423330795690899,0.4271825544213177,0.295761640801405,0.2531656473580657,0.38931708564069956,-1.1081349323989858,0.1339017732872905,0.8660982267127095,Djere L.,FALSE,Purcell M.,TRUE,37,All_2024_R1
37,Eastbourne,Eastbourne International,2024-06-24,ATP250,Outdoor,Grass,1st Round,3,Giron M.,Cerundolo F.,46,27,1005,1565,7,6,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.76,2.17,1.76,2.25,1.7,2.13,2,0.12814477355796897,0.2220584366369417,0.5339048442920157,0.23861068642671543,0.12814477355796897,0.5339048442920157,0.2220584366369417,0.23861068642671543,0.3259524642623077,-1.2448443108180172,0.10659449230449843,0.8934055076955015,Cerundolo F.,FALSE,Giron M.,TRUE,37,All_2024_R1
38,Mallorca,Mallorca Championships,2024-06-23,ATP250,Outdoor,Grass,1st Round,3,Michelsen A.,Borges N.,62,51,844,936,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.81,2.1,1.81,2.29,1.72,2.1,2,-0.3728208351130839,0.47135575478890385,-0.23808302745722376,0.28993062359957866,-0.3728208351130839,-0.23808302745722376,0.47135575478890385,0.28993062359957866,0.553385953990032,-0.24347890777561573,0.403817211357138,0.596182788642862,Borges N.,FALSE,Michelsen A.,TRUE,38,All_2024_R1
38,Mallorca,Mallorca Championships,2024-06-24,ATP250,Outdoor,Grass,1st Round,3,Ofner S.,Munar J.,54,63,883,835,3,6,6,4,7,6,NA,NA,NA,NA,2,1,Completed,1.44,2.75,1.5,2.76,1.54,2.78,1.46,2.67,1,-0.02457531575697995,0.2808380542903113,0.09116516084795268,0.2997884798895184,-0.02457531575697995,0.09116516084795268,0.2808380542903113,0.2997884798895184,0.4107835749053703,-0.2817553662694402,0.3890655486982122,0.6109344513017878,Munar J.,FALSE,Ofner S.,TRUE,38,All_2024_R1
39,London,Wimbledon,2024-07-01,Grand Slam,Outdoor,Grass,1st Round,5,Nakashima B.,Baez S.,65,18,825,2020,6,2,6,3,6,4,NA,NA,NA,NA,3,0,Completed,1.14,5.5,1.17,5.92,1.18,6,1.16,5.37,3,-0.01519048020979702,0.278920143979742,0.16066389931979438,0.24910631084510856,-0.01519048020979702,0.16066389931979438,0.278920143979742,0.24910631084510856,0.37396577493206495,-0.4702419079968944,0.31909109803293745,0.6809089019670626,Baez S.,FALSE,Nakashima B.,TRUE,39,All_2024_R1
39,London,Wimbledon,2024-07-01,Grand Slam,Outdoor,Grass,1st Round,5,Sonego L.,Navone M.,54,32,881,1282,6,4,7,6,6,4,NA,NA,NA,NA,3,0,Completed,1.07,9,1.09,9.33,1.09,9.95,1.08,8.29,3,0.3029181488415426,0.21804174515420988,1.0004256340950517,0.837234219405153,0.3029181488415426,1.0004256340950517,0.21804174515420988,0.837234219405153,0.8651608756600412,-0.8062170919615066,0.21005884259231608,0.7899411574076839,Navone M.,FALSE,Sonego L.,TRUE,39,All_2024_R1
39,London,Wimbledon,2024-07-03,Grand Slam,Outdoor,Grass,1st Round,5,Safiullin R.,Cerundolo F.,44,30,1045,1315,6,7,3,6,7,5,6,3,6,4,3,2,Completed,1.73,2.1,1.76,2.19,1.78,2.19,1.73,2.1,1,0.3685543902004112,0.25441592127226803,0.4908209756799846,0.23576690255746943,0.3685543902004112,0.4908209756799846,0.25441592127226803,0.23576690255746943,0.34686235503202156,-0.3524930961974413,0.36223424754764244,0.6377657524523576,Cerundolo F.,FALSE,Safiullin R.,TRUE,39,All_2024_R1
40,Bastad,Nordea Open,2024-07-16,ATP250,Outdoor,Clay,1st Round,3,Carballes Baena R.,Safiullin R.,54,67,906,785,5,7,7,6,6,3,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.61,2.46,1.65,2.46,1.6,2.3,1,-0.01305333176814443,0.2629279964429265,0.3871401114704416,0.2516922741929084,-0.01305333176814443,0.3871401114704416,0.2629279964429265,0.2516922741929084,0.36397820292139715,-1.0994983766239699,0.1357753708413634,0.8642246291586366,Safiullin R.,FALSE,Carballes Baena R.,TRUE,40,All_2024_R1
42,Hamburg,European Open,2024-07-16,ATP250,Outdoor,Clay,1st Round,3,Zhang Zh.,Seyboth Wild T.,34,72,1261,755,7,6,6,0,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.75,2.18,1.75,2.27,1.67,2.18,2,0.21348048962260405,0.2493833184488433,0.4717814730981598,0.4649391723723713,0.21348048962260405,0.4717814730981598,0.2493833184488433,0.4649391723723713,0.5275987808238972,-0.48957843130758083,0.3122161210379252,0.6877838789620748,Seyboth Wild T.,FALSE,Zhang Zh.,TRUE,42,All_2024_R1
46,Umag,Croatia Open,2024-07-21,ATP250,Outdoor,Clay,1st Round,3,Marozsan F.,Shevchenko A.,49,58,995,885,6,4,4,6,7,6,NA,NA,NA,NA,2,1,Completed,1.57,2.38,1.67,2.34,1.67,2.46,1.59,2.31,1,0.1417834118531464,0.31492481150944346,0.28889926619428347,0.25074452475261966,0.1417834118531464,0.28889926619428347,0.31492481150944346,0.25074452475261966,0.4025549075563178,-0.36545537411081097,0.35738575637683634,0.6426142436231637,Shevchenko A.,FALSE,Marozsan F.,TRUE,46,All_2024_R1
47,Washington,Citi Open,2024-07-29,ATP500,Outdoor,Hard,1st Round,3,Goffin D.,Ugo Carabelli C.,100,92,619,663,6,2,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.29,3.75,1.24,4.46,1.33,4.46,1.25,3.87,2,-0.5304744945620704,0.5188946942143163,NA,NA,-0.5304744945620704,0,0.5188946942143163,4,4.033516047282292,-0.13151664412479386,0.44768331041256154,0.5523166895874385,Ugo Carabelli C.,FALSE,Goffin D.,TRUE,47,All_2024_R1
48,Montreal,Canadian Open,2024-08-07,Masters 1000,Outdoor,Hard,1st Round,3,Paul T.,Darderi L.,12,32,3375,1331,6,4,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.13,6,1.14,6.72,1.17,7,1.14,5.93,2,0.6439384719697255,0.22410657350921095,0.7939241189126566,0.6183251923330587,0.6439384719697255,0.7939241189126566,0.22410657350921095,0.6183251923330587,0.6576851828677255,-0.22805082256672393,0.4098033653097305,0.5901966346902695,Darderi L.,FALSE,Paul T.,TRUE,48,All_2024_R1
48,Montreal,Canadian Open,2024-08-07,Masters 1000,Outdoor,Hard,1st Round,3,Rinderknech A.,Mannarino A.,65,31,786,1340,6,4,2,6,6,4,NA,NA,NA,NA,2,1,Completed,1.5,2.63,1.56,2.57,1.56,2.63,1.52,2.53,1,-0.10179355305291006,0.2945247638234805,0.4474835738549925,0.2326473200984286,-0.10179355305291006,0.4474835738549925,0.2945247638234805,0.2326473200984286,0.3753260076976516,-1.4634667346324142,0.07166985480877074,0.9283301451912293,Mannarino A.,FALSE,Rinderknech A.,TRUE,48,All_2024_R1
48,Montreal,Canadian Open,2024-08-08,Masters 1000,Outdoor,Hard,1st Round,3,Kokkinakis T.,Monfils G.,81,34,697,1315,6,3,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.84,2.05,1.84,2.12,1.78,2.04,2,0.20460864595666384,0.34233338474819147,0.7091999157669947,0.3980037344974861,0.20460864595666384,0.7091999157669947,0.34233338474819147,0.3980037344974861,0.5249753508376357,-0.961171355960274,0.16823300810519914,0.8317669918948009,Monfils G.,FALSE,Kokkinakis T.,TRUE,48,All_2024_R1
49,Cincinnati,Western & Southern Financial Group Masters,2024-08-13,Masters 1000,Outdoor,Hard,1st Round,3,Zhang Zh.,Mpetshi G.,44,48,1161,1052,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.88,2.02,1.91,2.02,1.84,1.95,2,0.2526607991763056,0.2472785300197707,0.7666623210071074,0.8170349387232624,0.2526607991763056,0.7666623210071074,0.2472785300197707,0.8170349387232624,0.8536350288637784,-0.6021326497284887,0.27354292140662984,0.7264570785933702,Mpetshi G.,FALSE,Zhang Zh.,TRUE,49,All_2024_R1
49,Cincinnati,Western & Southern Financial Group Masters,2024-08-13,Masters 1000,Outdoor,Hard,1st Round,3,Tiafoe F.,Davidovich Fokina A.,27,53,1515,935,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.74,2.2,1.74,2.22,1.68,2.18,2,0.5301259106660022,0.2406913568520183,0.6256347055542733,0.2260472637369986,0.5301259106660022,0.6256347055542733,0.2406913568520183,0.2260472637369986,0.33019644865784037,-0.28924840129713253,0.38619564756345864,0.6138043524365413,Davidovich Fokina A.,FALSE,Tiafoe F.,TRUE,49,All_2024_R1
49,Cincinnati,Western & Southern Financial Group Masters,2024-08-13,Masters 1000,Outdoor,Hard,1st Round,3,Michelsen A.,Griekspoor T.,57,41,905,1220,6,1,5,7,6,2,NA,NA,NA,NA,2,1,Completed,1.8,2,1.89,2,1.9,2,1.82,1.97,1,-0.2273430958573706,0.4460705782528031,0.5753709577371593,0.23351478570063605,-0.2273430958573706,0.5753709577371593,0.4460705782528031,0.23351478570063605,0.5034958946442405,-1.594281228770913,0.05543653004245407,0.9445634699575459,Griekspoor T.,FALSE,Michelsen A.,TRUE,49,All_2024_R1
49,Cincinnati,Western & Southern Financial Group Masters,2024-08-13,Masters 1000,Outdoor,Hard,1st Round,3,Nishioka Y.,Kecmanovic M.,52,51,939,940,6,4,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.85,2.04,1.91,2.04,1.84,1.95,2,0.01863020642321472,0.23967744473701091,0.11746840814658084,0.23080956621106147,0.01863020642321472,0.11746840814658084,0.23967744473701091,0.23080956621106147,0.3327436451236917,-0.2970400882836537,0.38321795177865464,0.6167820482213453,Kecmanovic M.,FALSE,Nishioka Y.,TRUE,49,All_2024_R1
49,Cincinnati,Western & Southern Financial Group Masters,2024-08-14,Masters 1000,Outdoor,Hard,1st Round,3,Borges N.,Mannarino A.,39,33,1265,1340,6,4,3,6,6,1,NA,NA,NA,NA,2,1,Completed,1.33,3.4,1.38,3.26,1.41,3.4,1.35,3.15,1,-0.2969926799018835,0.2765837105714861,0.42083266696668536,0.23250767901192204,-0.2969926799018835,0.42083266696668536,0.2765837105714861,0.23250767901192204,0.3613286174011167,-1.9866274418881675,0.023481848935347653,0.9765181510646523,Mannarino A.,FALSE,Borges N.,TRUE,49,All_2024_R1
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-18,ATP250,Outdoor,Hard,1st Round,3,Cazaux A.,Van De Zandschulp B.,97,73,596,739,6,1,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.94,1.94,1.99,2,1.86,1.92,2,-0.05503893215678746,0.6119662946053563,0.2036342142598335,0.2415299981906138,-0.05503893215678746,0.2036342142598335,0.6119662946053563,0.2415299981906138,0.657905377511818,-0.3931768233828951,0.347094443202046,0.652905556797954,Van De Zandschulp B.,FALSE,Cazaux A.,TRUE,50,All_2024_R1
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-19,ATP250,Outdoor,Hard,1st Round,3,Goffin D.,Munar J.,90,82,635,682,7,5,4,6,6,3,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.81,2.09,1.85,2.13,1.76,2.05,1,-0.5432486267848375,0.5154980455742736,0.06689009922643499,0.28640381627408085,-0.5432486267848375,0.06689009922643499,0.5154980455742736,0.28640381627408085,0.5897163563674093,-1.0346308346773063,0.15042067408082826,0.8495793259191717,Munar J.,FALSE,Goffin D.,TRUE,50,All_2024_R1
51,New York,US Open,2024-08-26,Grand Slam,Outdoor,Hard,1st Round,5,Shang J.,Bublik A.,72,27,754,1650,6,4,3,6,5,7,6,3,6,4,3,2,Completed,1.67,2.2,1.71,2.27,1.74,2.33,1.67,2.2,1,NA,NA,0.313061176150247,0.25804267872985337,0,0.313061176150247,4,0.25804267872985337,4.0083146114103965,-0.0781029451278753,0.4688730822399301,0.5311269177600699,Bublik A.,FALSE,Shang J.,TRUE,51,All_2024_R1
51,New York,US Open,2024-08-26,Grand Slam,Outdoor,Hard,1st Round,5,Baez S.,Darderi L.,23,37,1800,1291,6,4,6,7,6,0,7,6,NA,NA,3,1,Completed,1.73,2.1,1.71,2.27,1.74,2.27,1.7,2.17,2,0.12610928389705184,0.24298027632198463,0.7336825526965579,0.5277718449631001,0.12610928389705184,0.7336825526965579,0.24298027632198463,0.5277718449631001,0.581018532421525,-1.0457037682899861,0.1478489112371256,0.8521510887628744,Darderi L.,FALSE,Baez S.,TRUE,51,All_2024_R1
51,New York,US Open,2024-08-27,Grand Slam,Outdoor,Hard,1st Round,5,Bergs Z.,Kotov P.,80,60,697,864,6,2,4,6,6,2,3,6,7,6,3,2,Completed,1.8,2,1.75,2.21,1.8,2.21,1.75,2.09,1,-0.49587134588676,1.02176385716599,0.27767588518902786,0.3793804639422715,-0.49587134588676,0.27767588518902786,1.02176385716599,0.3793804639422715,1.0899224358787072,-0.7097268627672075,0.23893676530942365,0.7610632346905764,Kotov P.,FALSE,Bergs Z.,TRUE,51,All_2024_R1
52,Chengdu,Chengdu Open,2024-09-19,ATP250,Outdoor,Hard,1st Round,3,O Connell C.,Kotov P.,75,61,720,864,6,4,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.7,2.24,1.7,2.28,1.66,2.19,2,0.05412280200349653,0.24806741467135063,0.21065679845297117,0.3723641937788406,0.05412280200349653,0.21065679845297117,0.24806741467135063,0.3723641937788406,0.44742880442623917,-0.34985230030106396,0.3632247731430125,0.6367752268569875,Kotov P.,FALSE,O Connell C.,TRUE,52,All_2024_R1
53,Hangzhou,Hangzhou Open,2024-09-19,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Dzumhur D.,81,86,681,655,2,6,7,6,6,2,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.85,2.05,1.85,2.14,1.74,2.08,1,-0.10056897652127396,0.34040106872926007,NA,NA,-0.10056897652127396,0,0.34040106872926007,4,4.014457981794307,-0.02505169489314807,0.4900068649833035,0.5099931350166965,Dzumhur D.,FALSE,Hijikata R.,TRUE,53,All_2024_R1
55,Tokyo,Japan Open Tennis Championships,2024-09-26,ATP500,Outdoor,Hard,1st Round,3,O Connell C.,Etcheverry T.,79,35,700,1370,6,4,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.83,2.08,1.83,2.11,1.76,2.03,2,0.0920192686424756,0.2461165598380453,0.47451815676256515,0.22840384555435023,0.0920192686424756,0.47451815676256515,0.2461165598380453,0.22840384555435023,0.33577027517415775,-1.1391684029257638,0.1273164608294482,0.8726835391705519,Etcheverry T.,FALSE,O Connell C.,TRUE,55,All_2024_R1
56,Shanghai,Shanghai Masters,2024-10-04,Masters 1000,Outdoor,Hard,1st Round,3,Michelsen A.,Bu Y.,43,69,1215,780,6,3,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.69,2.28,1.69,2.42,1.62,2.26,2,0.02210883351423984,0.41124421556921953,0.9711503074026676,1.78510752079381,0.02210883351423984,0.9711503074026676,0.41124421556921953,1.78510752079381,1.8318653513928818,-0.5180738164881017,0.3022033839483862,0.6977966160516138,Bu Y.,FALSE,Michelsen A.,TRUE,56,All_2024_R1
59,Stockholm,Nordic Open,2024-10-15,ATP250,Indoor,Hard,1st Round,3,Kecmanovic M.,Norrie C.,55,52,965,989,6,4,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.88,2.02,1.95,2.02,1.84,1.94,2,0.11180050534036674,0.2259448308576576,0.26399065514142633,0.26042073520916564,0.11180050534036674,0.26399065514142633,0.2259448308576576,0.26042073520916564,0.3447753267247786,-0.44141833247408496,0.32945508640451626,0.6705449135954837,Norrie C.,FALSE,Kecmanovic M.,TRUE,59,All_2024_R1
63,Belgrade,Belgrade Open,2024-11-04,ATP250,Indoor,Hard,1st Round,3,Altmaier D.,Darderi L.,93,43,625,1248,7,6,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.79,2.12,1.86,2.18,1.77,2.02,2,-0.16005168786628127,0.2490036155600817,0.14620324163814163,0.409281661203901,-0.16005168786628127,0.14620324163814163,0.2490036155600817,0.409281661203901,0.47907648529208546,-0.6392610343162721,0.2613265663403702,0.7386734336596298,Darderi L.,FALSE,Altmaier D.,TRUE,63,All_2024_R1
63,Belgrade,Belgrade Open,2024-11-04,ATP250,Indoor,Hard,1st Round,3,Shapovalov D.,Fucsovics M.,78,91,718,629,6,7,7,5,6,1,NA,NA,NA,NA,2,1,Completed,1.57,2.38,1.66,2.35,1.66,2.45,1.58,2.34,1,0.24228050927778025,0.35779436648354496,0.3240068164461029,0.24707630963138535,0.24228050927778025,0.3240068164461029,0.35779436648354496,0.24707630963138535,0.4348143413785078,-0.18795678842887925,0.42545526261148037,0.5745447373885196,Fucsovics M.,FALSE,Shapovalov D.,TRUE,63,All_2024_R1
