ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,margin,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,denom,z_val,TTT_Prob_W,TTT_Prob_L,pred,ttt_correct,bookie_pred,bookie_correct,ATPk,tournament_set
12,Rotterdam,ABN AMRO World Tennis Tournament,2024-02-13,ATP500,Indoor,Hard,1st Round,3,De Minaur A.,Korda S.,11,33,2970,1245,6,4,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.51,2.72,1.53,2.75,1.5,2.54,2,0.5678524307322148,0.21763664023504173,0.8317501832622171,0.2616277656302345,0.5678524307322148,0.8317501832622171,0.21763664023504173,0.2616277656302345,0.3403157282898719,-0.7754497679437876,0.2190369684009822,0.7809630315990178,Korda S.,FALSE,De Minaur A.,TRUE,12,All_2024_R1
14,Los Cabos,Los Cabos Open,2024-02-21,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Cobolli F.,84,69,700,825,6,1,6,0,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.93,1.96,1.93,2.01,1.85,1.93,2,0.05241067442694914,0.2586588586199949,0.7373302780076085,0.8554031032733358,0.05241067442694914,0.7373302780076085,0.2586588586199949,0.8554031032733358,0.8936547847084196,-0.7664252632006373,0.22171165279646668,0.7782883472035333,Cobolli F.,FALSE,Nishioka Y.,TRUE,14,All_2024_R1
15,Rio de Janeiro,Rio Open,2024-02-20,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Ofner S.,73,37,776,1091,6,3,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.81,2.1,1.81,2.22,1.72,2.09,2,-0.09080039945463408,0.3751647611747498,0.06920531855681415,0.33250803037232163,-0.09080039945463408,0.06920531855681415,0.3751647611747498,0.33250803037232163,0.5013084761794755,-0.31917616719922354,0.374796464184621,0.625203535815379,Ofner S.,FALSE,Munar J.,TRUE,15,All_2024_R1
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Lehecka J.,Fucsovics M.,36,77,1180,757,6,4,3,6,7,5,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.74,2.2,1.74,2.32,1.67,2.16,1,0.4263500554414904,0.2432621633224484,0.4323103978677939,0.25987230192170824,0.4263500554414904,0.4323103978677939,0.2432621633224484,0.25987230192170824,0.3559636124808335,-0.016744246370475377,0.49332032430069256,0.5066796756993075,Fucsovics M.,FALSE,Lehecka J.,TRUE,17,All_2024_R1
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Humbert U.,Monfils G.,18,54,1990,937,4,6,6,3,6,3,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.51,2.72,1.58,2.72,1.51,2.5,1,0.4059826453679167,0.24163121179642225,0.5841675071196543,0.5674767612516339,0.4059826453679167,0.5841675071196543,0.24163121179642225,0.5674767612516339,0.616778337066771,-0.28889610909348085,0.3863304406665206,0.6136695593334793,Monfils G.,FALSE,Humbert U.,TRUE,17,All_2024_R1
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Cazaux A.,Musetti L.,86,26,701,1480,6,4,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.5,2.78,1.5,2.9,1.43,2.75,2,0.021180431003261,1.5326845561848297,0.45394665513581217,0.24413243616876745,0.021180431003261,0.45394665513581217,1.5326845561848297,0.24413243616876745,1.5520059906962942,-0.27884314024998985,0.39018260290675316,0.6098173970932468,Musetti L.,FALSE,Cazaux A.,TRUE,17,All_2024_R1
19,Indian Wells,BNP Paribas Open,2024-03-06,Masters 1000,Outdoor,Hard,1st Round,3,Nakashima B.,Eubanks C.,93,34,645,1234,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.48,2.82,1.53,2.82,1.48,2.67,2,-0.1285596614250238,0.29175159277088114,0.3388460088502284,0.32106449663571507,-0.1285596614250238,0.3388460088502284,0.29175159277088114,0.32106449663571507,0.4338218561625165,-1.0774138361995176,0.14064771276008103,0.859352287239919,Eubanks C.,FALSE,Nakashima B.,TRUE,19,All_2024_R1
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Coric B.,Ofner S.,35,38,1194,1116,6,2,3,6,6,0,NA,NA,NA,NA,2,1,Completed,1.3,3.5,1.36,3.42,1.37,3.5,1.33,3.36,1,-0.0756974889549231,0.28614413214139944,2.3236257023591728e-4,0.32603561064101233,-0.0756974889549231,2.3236257023591728e-4,0.28614413214139944,0.32603561064101233,0.4337945179056698,-0.17503644788261302,0.4305254971935321,0.5694745028064678,Ofner S.,FALSE,Coric B.,TRUE,19,All_2024_R1
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Michelsen A.,Munar J.,80,75,754,776,6,2,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.36,3.2,1.41,3.1,1.44,3.2,1.39,2.98,2,-0.06310788514180024,0.8268895290989617,-0.01155987655599643,0.3638918390377277,-0.06310788514180024,-0.01155987655599643,0.8268895290989617,0.3638918390377277,0.9034177128282145,-0.05705888633114027,0.47724914349570485,0.5227508565042951,Munar J.,FALSE,Michelsen A.,TRUE,19,All_2024_R1
19,Indian Wells,BNP Paribas Open,2024-03-08,Masters 1000,Outdoor,Hard,1st Round,3,Tabilo A.,Kotov P.,39,67,1116,819,4,6,6,3,7,5,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.66,2.34,1.7,2.34,1.64,2.26,1,0.4424153930911997,0.8765362088492794,0.5074637478058885,0.5089314615773755,0.4424153930911997,0.5074637478058885,0.8765362088492794,0.5089314615773755,1.0135713877212356,-0.06417737862641719,0.47441449474821873,0.5255855052517813,Kotov P.,FALSE,Tabilo A.,TRUE,19,All_2024_R1
