ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,GamesMatch,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,Fatigue_W,Fatigue_L,mu_winner,mu_loser,sigma_winner,sigma_loser,p_ttt_win,p_adj_win,y,pred_base,ttt_correct,pred_fat,ttt_fat_correct,p_book,pred_book,bookie_correct,p_base_fav,y_base_fav,p_fat_fav,y_fat_fav,p_book_fav,y_book_fav,theta_used,ATP_k
4,Auckland,ASB Classic,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Ofner S.,Shapovalov D.,37,116,1132,560,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.94,1.94,1.94,2.36,1.8,1.99,18,2.3086077710838464,0.35421078471492423,2.348496038325799,0.3904812489250709,13.078125,0,2.3086077710838464,2.348496038325799,0.35421078471492423,0.3904812489250709,0.469844618810609,0.5771795038665053,1,Shapovalov D.,FALSE,Ofner S.,TRUE,0.5263157894736842,Ofner S.,TRUE,0.530155381189391,0,0.5771795038665053,1,0.5263157894736842,1,-0.03303024558874884,4
4,Auckland,ASB Classic,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Shelton B.,Marozsan F.,16,65,2145,805,6,3,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.5,2.79,1.53,2.88,1.46,2.69,19,2.4070315962895763,0.27563049527102984,2.4896200097519654,0.43120050960791423,0,20.25,2.4070315962895763,2.4896200097519654,0.27563049527102984,0.43120050960791423,0.43589754952327103,0.2835964963595666,1,Marozsan F.,FALSE,Marozsan F.,FALSE,0.6563245823389022,Shelton B.,TRUE,0.5641024504767289,0,0.7164035036404335,0,0.6563245823389022,1,-0.03303024558874884,4
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,O Connell C.,Garin C.,68,86,814,680,3,6,7,5,4,6,6,1,7,5,3,2,Completed,1.44,2.75,1.43,3.08,1.48,3.16,1.41,2.95,50,1.91418469426675,0.3034913565532545,1.9962060955042673,0.34450058836790554,8.4375,0,1.91418469426675,1.9962060955042673,0.3034913565532545,0.34450058836790554,0.4291060116647425,0.49792245076725794,1,Garin C.,FALSE,Garin C.,FALSE,0.6563245823389022,O Connell C.,TRUE,0.5708939883352575,0,0.5020775492327421,0,0.6563245823389022,1,-0.032852063545685116,5
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,De Jong J.,Cachin P.,161,74,393,763,4,6,6,2,6,3,6,4,NA,NA,3,1,Completed,1.36,3.2,1.35,3.55,1.43,3.55,1.37,3.12,37,-1.8014796885683104,2.994449955774181,1.5127632598663956,0.3312302482482628,0,0,-1.8014796885683104,1.5127632598663956,2.994449955774181,0.3312302482482628,0.13564741672496583,0.13564741672496583,1,Cachin P.,FALSE,Cachin P.,FALSE,0.7017543859649122,De Jong J.,TRUE,0.8643525832750342,0,0.8643525832750342,0,0.7017543859649122,1,-0.032852063545685116,5
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Purcell M.,Valkusz M.,45,214,1021,291,3,6,7,6,6,4,7,5,NA,NA,3,1,Completed,1.29,3.75,1.35,3.51,1.36,3.77,1.31,3.48,44,1.4412493563523523,0.3687399183270704,1.7091274951904798,1.28360820439901,0,0,1.4412493563523523,1.7091274951904798,0.3687399183270704,1.28360820439901,0.42051375491163423,0.4205137549116343,1,Valkusz M.,FALSE,Valkusz M.,FALSE,0.744047619047619,Purcell M.,TRUE,0.5794862450883658,0,0.5794862450883658,0,0.744047619047619,1,-0.032852063545685116,5
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Klein L.,Kwon S.W.,163,697,391,40,7,6,4,6,7,6,6,3,NA,NA,3,1,Completed,1.33,3.4,1.36,3.45,1.38,3.67,1.34,3.3,45,1.2072766142025826,1.07760009680731,2.318235431366448,0.5987002217112275,0,0,1.2072766142025826,2.318235431366448,1.07760009680731,0.5987002217112275,0.18373934071227924,0.1837393407122792,1,Kwon S.W.,FALSE,Kwon S.W.,FALSE,0.7188160676532769,Klein L.,TRUE,0.8162606592877207,0,0.8162606592877208,0,0.7188160676532769,1,-0.032852063545685116,5
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Shang J.,Mcdonald M.,140,42,435,1055,6,3,1,6,3,6,6,4,6,2,3,2,Completed,1.67,2.2,1.77,2.18,1.77,2.29,1.71,2.15,43,2.0249783510879142,0.47561383734690865,2.1684793101499777,0.26209152044785183,0,0,2.0249783510879142,2.1684793101499777,0.47561383734690865,0.26209152044785183,0.39579315923937197,0.39579315923937197,1,Mcdonald M.,FALSE,Mcdonald M.,FALSE,0.5684754521963824,Shang J.,TRUE,0.604206840760628,0,0.604206840760628,0,0.5684754521963824,1,-0.032852063545685116,5
5,Melbourne,Australian Open,2024-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Kecmanovic M.,Struff J.L.,60,25,890,1511,6,4,1,6,7,6,1,6,7,6,3,2,Completed,1.5,2.63,1.55,2.64,1.57,2.64,1.52,2.57,50,1.7751797441106196,0.27856207695565843,2.4775568269741903,0.31183606022610727,17.296875,21.9375,1.7751797441106196,2.4775568269741903,0.27856207695565843,0.31183606022610727,0.046500320839043506,0.04018935025685555,1,Struff J.L.,FALSE,Struff J.L.,FALSE,0.6368038740920097,Kecmanovic M.,TRUE,0.9534996791609565,0,0.9598106497431445,0,0.6368038740920097,1,-0.032852063545685116,5
5,Melbourne,Australian Open,2024-01-28,Grand Slam,Outdoor,Hard,The Final,5,Sinner J.,Medvedev D.,4,3,6490,7555,3,6,3,6,6,4,6,4,6,3,3,2,Completed,1.36,3.25,1.33,3.67,1.4,3.75,1.35,3.29,47,3.9184143129003295,0.24595628384973517,4.083384064033993,0.24563048943563465,20.8125,31.5,3.9184143129003295,4.083384064033993,0.24595628384973517,0.24563048943563465,0.3175394425533017,0.24671512895001121,1,Medvedev D.,FALSE,Medvedev D.,FALSE,0.7049891540130152,Sinner J.,TRUE,0.6824605574466983,0,0.7532848710499888,0,0.7049891540130152,1,-0.032852063545685116,5
6,Montpellier,Open Sud de France,2024-01-31,ATP250,Indoor,Hard,1st Round,3,Lestienne C.,Zapata Miralles B.,106,80,584,715,4,6,6,4,6,2,NA,NA,NA,NA,2,1,Completed,1.25,4,1.33,3.6,1.33,4.05,1.25,3.81,28,0.6227316215678048,0.4454166951982834,1.5228732403783023,0.32716187124123963,0,0,0.6227316215678048,1.5228732403783023,0.4454166951982834,0.32716187124123963,0.05168301176874414,0.05168301176874413,1,Zapata Miralles B.,FALSE,Zapata Miralles B.,FALSE,0.7619047619047619,Lestienne C.,TRUE,0.9483169882312559,0,0.9483169882312559,0,0.7619047619047619,1,-0.033224586112225896,6
7,Cordoba,Cordoba Open,2024-02-05,ATP250,Outdoor,Clay,1st Round,3,Bagnis F.,Cerundolo J.M.,207,148,295,435,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.74,2.2,1.78,2.2,1.71,2.11,18,0.07257413665416508,0.7066262483516221,1.4315789377759034,0.47480469941427134,0,0,0.07257413665416508,1.4315789377759034,0.7066262483516221,0.47480469941427134,0.05520709195654556,0.055207091956545544,1,Cerundolo J.M.,FALSE,Cerundolo J.M.,FALSE,0.5684754521963824,Bagnis F.,TRUE,0.9447929080434544,0,0.9447929080434545,0,0.5684754521963824,1,-0.032618387338877834,7
7,Cordoba,Cordoba Open,2024-02-06,ATP250,Outdoor,Clay,1st Round,3,Darderi L.,Barrios M.,136,108,491,578,4,6,6,1,6,2,NA,NA,NA,NA,2,1,Completed,1.44,2.75,1.43,3.05,1.46,3.05,1.42,2.81,25,0.9321610436651234,1.1561780438213145,1.3287265848723888,0.7057768397702263,0,0,0.9321610436651234,1.3287265848723888,1.1561780438213145,0.7057768397702263,0.38485260920086467,0.3848526092008646,1,Barrios M.,FALSE,Barrios M.,FALSE,0.6563245823389022,Darderi L.,TRUE,0.6151473907991354,0,0.6151473907991354,0,0.6563245823389022,1,-0.032618387338877834,7
7,Cordoba,Cordoba Open,2024-02-09,ATP250,Outdoor,Clay,2nd Round,3,Diaz Acosta F.,Tirante T.A.,95,109,634,573,6,2,6,7,6,2,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.61,2.47,1.67,2.47,1.6,2.29,29,0.861914773884772,0.7309790218548572,1.7526166824601963,1.0864347453841678,7.171875,11.25,0.861914773884772,1.7526166824601963,0.7309790218548572,1.0864347453841678,0.24818624834609518,0.22420438780307828,1,Tirante T.A.,FALSE,Tirante T.A.,FALSE,0.586734693877551,Diaz Acosta F.,TRUE,0.7518137516539048,0,0.7757956121969217,0,0.586734693877551,1,-0.032618387338877834,7
7,Cordoba,Cordoba Open,2024-02-09,ATP250,Outdoor,Clay,Quarterfinals,3,Darderi L.,Hanfmann Y.,136,59,491,889,7,6,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.75,2.18,1.85,2.18,1.79,2.01,20,0.9321610436651234,1.1561780438213145,2.0825934418196104,0.28786289839170787,21.796875,13.5,0.9321610436651234,2.0825934418196104,1.1561780438213145,0.28786289839170787,0.16713392628393936,0.208259840037431,1,Hanfmann Y.,FALSE,Hanfmann Y.,FALSE,0.5263157894736842,Darderi L.,TRUE,0.8328660737160607,0,0.791740159962569,0,0.5263157894736842,1,-0.032618387338877834,7
8,Dallas,Dallas Open,2024-02-06,ATP250,Indoor,Hard,1st Round,3,Purcell M.,Krueger M.,43,244,1036,243,6,2,4,6,7,6,NA,NA,NA,NA,2,1,Completed,1.36,3.2,1.41,3.1,1.44,3.2,1.39,2.93,31,1.4610254758669146,0.35748599174948353,2.17752847706719,1.2960125239848308,0,0,1.4610254758669146,2.17752847706719,0.35748599174948353,1.2960125239848308,0.2970345045944627,0.2970345045944627,1,Krueger M.,FALSE,Krueger M.,FALSE,0.7017543859649122,Purcell M.,TRUE,0.7029654954055373,0,0.7029654954055373,0,0.7017543859649122,1,-0.03307580220590699,8
8,Dallas,Dallas Open,2024-02-08,ATP250,Indoor,Hard,2nd Round,3,Koepfer D.,Hijikata R.,60,88,868,680,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.46,2.95,1.5,2.95,1.44,2.74,22,1.7273458473744527,0.5682646031270951,1.9545774614580784,0.3736001831605225,17.25,15,1.7273458473744527,1.9545774614580784,0.5682646031270951,0.3736001831605225,0.36914172139014767,0.3866347747929327,1,Hijikata R.,FALSE,Hijikata R.,FALSE,0.6563245823389022,Koepfer D.,TRUE,0.6308582786098523,0,0.6133652252070674,0,0.6563245823389022,1,-0.03307580220590699,8
9,Marseille,Open 13,2024-02-07,ATP250,Indoor,Hard,2nd Round,3,Machac T.,Musetti L.,66,27,838,1480,6,3,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.64,2.41,1.64,2.5,1.6,2.29,17,2.044988742902203,0.4883233857260936,2.4462742284199055,0.26350262754734594,16.5,10.125,2.044988742902203,2.4462742284199055,0.4883233857260936,0.26350262754734594,0.2347811332272988,0.2750642798894827,1,Musetti L.,FALSE,Musetti L.,FALSE,0.586734693877551,Machac T.,TRUE,0.7652188667727012,0,0.7249357201105173,0,0.586734693877551,1,-0.033322350974204266,9
