ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,GamesMatch,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,Fatigue_W,Fatigue_L,mu_winner,mu_loser,sigma_winner,sigma_loser,p_ttt_win,p_adj_win,pred,ttt_correct,pred_fat,ttt_fat_correct,bookie_pred,bookie_correct,theta_used
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Klein L.,Kwon S.W.,163,697,391,40,7,6,4,6,7,6,6,3,NA,NA,3,1,Completed,1.33,3.4,1.36,3.45,1.38,3.67,1.34,3.3,45,1.6553742017172974,1.23457418382975,2.319894278737956,0.5978703286691545,0,0,1.6553742017172974,2.319894278737956,1.23457418382975,0.5978703286691545,0.31403607407981626,0.31403607407981626,Kwon S.W.,FALSE,Kwon S.W.,FALSE,Klein L.,TRUE,-0.03451527366273416
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Shang J.,Mcdonald M.,140,42,435,1055,6,3,1,6,3,6,6,4,6,2,3,2,Completed,1.67,2.2,1.77,2.18,1.77,2.29,1.71,2.15,43,1.6732369586946962,0.5369400742144939,2.164104824996969,0.2627295039267539,0,0,1.6732369586946962,2.164104824996969,0.5369400742144939,0.2627295039267539,0.20577692003349543,0.20577692003349546,Mcdonald M.,FALSE,Mcdonald M.,FALSE,Shang J.,TRUE,-0.03451527366273416
6,Montpellier,Open Sud de France,2024-01-30,ATP250,Indoor,Hard,1st Round,3,Cazaux A.,Marterer M.,83,92,696,636,6,1,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.4,3,1.4,3.18,1.41,3.2,1.38,2.99,16,0.9252104990876217,1.026589834649585,1.8502545600438525,0.5170804931453852,0,0,0.9252104990876217,1.8502545600438525,1.026589834649585,0.5170804931453852,0.2104779870471495,0.21047798704714946,Marterer M.,FALSE,Marterer M.,FALSE,Cazaux A.,TRUE,-0.03494124012378777
6,Montpellier,Open Sud de France,2024-01-31,ATP250,Indoor,Hard,1st Round,3,Lestienne C.,Zapata Miralles B.,106,80,584,715,4,6,6,4,6,2,NA,NA,NA,NA,2,1,Completed,1.25,4,1.33,3.6,1.33,4.05,1.25,3.81,28,0.5767625075667125,0.4462723322159446,1.509303088841189,0.32672077040243935,0,0,0.5767625075667125,1.509303088841189,0.4462723322159446,0.32672077040243935,0.04589170932468615,0.04589170932468614,Zapata Miralles B.,FALSE,Zapata Miralles B.,FALSE,Lestienne C.,TRUE,-0.03494124012378777
7,Cordoba,Cordoba Open,2024-02-05,ATP250,Outdoor,Clay,1st Round,3,Bagnis F.,Cerundolo J.M.,207,148,295,435,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.74,2.2,1.78,2.2,1.71,2.11,18,-0.01268590226212439,0.7173595289087152,1.4237860828162128,0.475089302483217,0,0,-0.01268590226212439,1.4237860828162128,0.7173595289087152,0.475089302483217,0.04750817644240768,0.04750817644240768,Cerundolo J.M.,FALSE,Cerundolo J.M.,FALSE,Bagnis F.,TRUE,-0.03466014473656003
7,Cordoba,Cordoba Open,2024-02-06,ATP250,Outdoor,Clay,1st Round,3,Darderi L.,Barrios M.,136,108,491,578,4,6,6,1,6,2,NA,NA,NA,NA,2,1,Completed,1.44,2.75,1.43,3.05,1.46,3.05,1.42,2.81,25,0.9299631917138911,1.1519487003564264,1.3090802774042132,0.7046262538345942,0,0,0.9299631917138911,1.3090802774042132,1.1519487003564264,0.7046262538345942,0.38945042890490894,0.38945042890490894,Barrios M.,FALSE,Barrios M.,FALSE,Darderi L.,TRUE,-0.03466014473656003
8,Dallas,Dallas Open,2024-02-06,ATP250,Indoor,Hard,1st Round,3,Purcell M.,Krueger M.,43,244,1036,243,6,2,4,6,7,6,NA,NA,NA,NA,2,1,Completed,1.36,3.2,1.41,3.1,1.44,3.2,1.39,2.93,31,1.5463033527305392,0.367542801599113,2.140291444498129,1.2858539997711094,0,0,1.5463033527305392,2.140291444498129,0.367542801599113,1.2858539997711094,0.32846610770152157,0.32846610770152157,Krueger M.,FALSE,Krueger M.,FALSE,Purcell M.,TRUE,-0.034388461226995994
8,Dallas,Dallas Open,2024-02-06,ATP250,Indoor,Hard,1st Round,3,Duckworth J.,Svajda Z.,106,145,591,442,7,6,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.86,2.03,1.86,2.15,1.78,2.01,20,0.4573390972614221,0.7117811187330698,0.882895474459231,1.044524907853014,0,0,0.4573390972614221,0.882895474459231,0.7117811187330698,1.044524907853014,0.36817995565668094,0.36817995565668094,Svajda Z.,FALSE,Svajda Z.,FALSE,Duckworth J.,TRUE,-0.034388461226995994
10,Buenos Aires,Argentina Open,2024-02-13,ATP250,Outdoor,Clay,1st Round,3,Coria F.,Ofner S.,106,38,588,1091,7,5,4,6,7,5,NA,NA,NA,NA,2,1,Completed,1.8,2,1.88,2.02,1.88,2.1,1.78,2.01,34,1.2787403740156347,0.43961379016250013,2.1884612462102955,0.3616828918827816,8.859375,0,1.2787403740156347,2.1884612462102955,0.43961379016250013,0.3616828918827816,0.05501790430355074,0.07333028574473172,Ofner S.,FALSE,Ofner S.,FALSE,Coria F.,TRUE,-0.034639442164911105
10,Buenos Aires,Argentina Open,2024-02-13,ATP250,Outdoor,Clay,1st Round,3,Ugo Carabelli C.,Varillas J.P.,134,85,494,684,7,6,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.68,2.3,1.68,2.32,1.64,2.24,23,0.8838177934544834,1.1970264168642033,1.5571132670671943,0.40846737307449194,0,0,0.8838177934544834,1.5571132670671943,1.1970264168642033,0.40846737307449194,0.2972474305635412,0.2972474305635412,Varillas J.P.,FALSE,Varillas J.P.,FALSE,Ugo Carabelli C.,TRUE,-0.034639442164911105
