player,mu_generic,sigma_generic,ATP
Ajdukovic D.,-0.85787507476823055,1.455318076935484,1
Albot R.,-0.33178809275759563,0.37541298436153014,1
Alcaraz C.,1.6505246932142204,0.18278359810653685,1
Altmaier D.,0.2557655020210277,0.2565493891856083,1
Alves M.,0.49104535851859127,1.3437602647777065,1
Anderson K.,0.47354550956150726,0.7299866383838206,1
Andreozzi G.,0.20504335472331,0.833517420661548,1
Andujar P.,-0.6507564077400206,0.8355054585504977,1
Arnaldi M.,0.5103216887723493,0.27793980705566934,1
Atmane T.,0.038110824105989635,0.7132720790658486,1
Auger-Aliassime F.,0.5397177383157307,0.23579502412809936,1
Baez S.,0.4318554485715487,0.21074633816099986,1
Bagnis F.,-0.36876801081270894,0.46693176256947194,1
Balazs A.,-1.2624476471324637,1.1781399906433645,1
Barrere G.,0.3308006765763349,0.2285600257399111,1
Barrios M.,0.05887034429706852,0.5478649148475112,1
Basilashvili N.,-0.44622611405273793,0.5864923484319726,1
Bautista Agut R.,0.47432742601303246,0.24910693659475372,1
Bellier A.,-0.9876961918903323,1.3577524536201906,1
Bellucci M.,-0.6578237328410437,1.3577105034852415,1
Bellucci T.,-0.6012046047470088,1.34690679896024,1
Benchetrit E.,-0.856049611630785,1.35601875840832,1
Berankis R.,-0.4255070100230966,1.3467345021099433,1
Bergs Z.,0.04043501942231389,0.5157798666461779,1
Berrettini J.,-0.21485380933307974,1.3455903021222453,1
Berrettini M.,0.964666308067735,0.3826326445724567,1
Blancaneaux G.,-0.20598386167513738,1.0047154413314499,1
Blockx A.,-0.6534092562469198,1.3504875385981947,1
Bolt A.,-0.23026212824700235,0.9963294530599466,1
Bonadio R.,-0.15200761159208187,0.8126204477182931,1
Bonzi B.,0.350211776526596,0.2876747995171217,1
Borg L.,-0.2232461763515534,0.8273468621234068,1
Borges N.,-0.14574643887527738,0.31213049941746795,1
Bourgue M.,-0.5510250353672244,1.35556820098235,1
Broady L.,0.288681453127283,0.4173006038090758,1
Brooksby J.,0.6903454294533998,0.5938958734748148,1
Brouwer G.,0.1606830834122673,0.3797464478433103,1
Bu Y.,-0.14020287030674894,1.3509066723608685,1
Bublik A.,0.5404577516136806,0.2285771825307012,1
Cachin P.,0.212447929858335,0.2533830008390199,1
Carballes Baena R.,0.1170670279367948,0.24929542655848727,1
Carreno Busta P.,0.43163673022241195,0.7479495988765068,1
Cazaux A.,-1.336785765038235,0.9521935788541616,1
Cecchinato M.,0.048415813561455,0.2971383756499407,1
Cerundolo F.,0.6888773150875013,0.20609170209639047,1
Cerundolo J.M.,-0.05145906375987642,0.36345304656667077,1
Chappell N.,-1.107631770784405,1.3625429593145275,1
Chardy J.,-0.8855348025167983,0.7135320912705906,1
Chidekh C.,0.044836979702352904,1.3771810334111403,1
Choinski J.,-0.3359327754755145,0.6631737911904182,1
Chung Y.,-1.4030833680786723,1.4381669105249744,1
Cilic M.,-0.29678813187814457,1.019847713402369,1
Cobolli F.,-0.11561036506821723,0.5246912201981551,1
Coppejans K.,0.19359062054131826,0.8236569423337121,1
Coria F.,-0.09850504789648941,0.38025590841499085,1
Coric B.,0.3167921463451304,0.25237480328567896,1
Couacaud E.,0.15904980478387692,0.7797150474953212,1
Cressy M.,-0.018920407990441812,0.28476563684331524,1
Cui J.,-0.9978323948755468,1.363182414099504,1
Daniel T.,0.20600014409994455,0.2997032115179716,1
Darderi L.,-0.16412209807937084,0.8173056731870421,1
Davidovich Fokina A.,0.7645761113264716,0.21236343125040646,1
De Jong J.,-0.5262764893357322,1.356562149253423,1
De Minaur A.,0.8561458882171552,0.19691501235700454,1
Delbonis F.,0.54006609929279,1.0302060808042752,1
Dellien H.,-0.3866614813822287,0.3715043991273559,1
Dhamne M.,-0.563731708124608,1.3693278047210184,1
Diallo G.,-0.02803742542561892,0.6614983539082804,1
Diaz Acosta F.,-0.10610679873572647,0.6025053210967328,1
Dimitrov G.,1.2383174796235923,0.19993448768772537,1
Djere L.,0.6254925537486611,0.21119672606552284,1
Djokovic N.,2.144607354490338,0.2125261571919119,1
Draper J.,1.1886857902127241,0.29913016462698316,1
Droguet T.,0.25311210577423354,1.0823123707656261,1
Duckworth J.,-0.37713250755684236,0.5860364864845572,1
Dzumhur D.,0.37073835890996837,0.7134711900992695,1
Edmund K.,-0.7632200587330812,0.5635227859526317,1
Escobedo E.,-0.9174475427835139,1.0748154002016344,1
Etcheverry T.,0.5119837778391214,0.2099375987709744,1
Eubanks C.,0.5063030299080781,0.2384433486067029,1
Evans D.,0.43819522106582204,0.25586844741157794,1
Fery A.,-2.8903216055021317,2.667070017372681,1
Fils A.,0.6669897236328667,0.2582221404245924,1
Fognini F.,0.4073826017885546,0.32809537356657187,1
Fonseca J.,-0.7412107693383077,1.3576186696529116,1
Fratangelo B.,-0.18106404909460574,1.3599223245987209,1
Friberg K.,-0.7516145439831348,1.348190619202983,1
Fritz T.,1.0026012861618474,0.18751227268304888,1
Fucsovics M.,0.5678769725844182,0.24363212012838786,1
Gakhov I.,0.9521941097868518,0.9895325139211012,1
Galan D.E.,-0.2578113455271579,0.2877264632841141,1
Galarneau A.,0.16835066670634521,1.3693072244650264,1
Garin C.,0.4343690679937411,0.26285100373224773,1
Gasquet R.,0.0451222940242012,0.25205435242268515,1
Gaston H.,-0.3151978299655265,0.4121968473034441,1
Gerasimov E.,0.39740200437474266,0.983460676544704,1
Giannessi A.,-0.6211717851303108,1.3649832534592883,1
Giron M.,0.41096503962553343,0.21250941537093593,1
Giustino L.,-0.5516321723546723,1.3557839308379827,1
