ATP,player,SurfTag,mu_surface,sigma_surface,mov_w_scale,mov_w_cap
1,Giron M.,HARD,8.55926946870568,0.26231472583900445,0.35,3
1,Mcdonald M.,HARD,9.130532386071764,0.23704443014929139,0.35,3
1,Kecmanovic M.,HARD,8.406331192236474,0.3097118792705525,0.35,3
1,Nishioka Y.,HARD,8.332735203703017,0.28100874278116006,0.35,3
1,Popyrin A.,HARD,8.876550526156182,0.3131836510611125,0.35,3
1,Halys Q.,HARD,8.634506000783311,0.33216581013092067,0.35,3
1,Safiullin R.,HARD,8.76024561831466,0.296288439050926,0.35,3
1,Draper J.,HARD,10.274741160498253,0.3377733834261421,0.35,3
1,Kokkinakis T.,HARD,9.140460403491083,0.3326876031543636,0.35,3
1,Medvedev D.,HARD,11.730026707973334,0.23191761441460373,0.35,3
1,Khachanov K.,HARD,9.886437761880138,0.2608615721263927,0.35,3
1,Djokovic N.,HARD,13.374740669981891,0.42539763994766366,0.35,3
1,Sinner J.,HARD,11.924522345750072,0.25775519013968246,0.35,3
1,Shapovalov D.,HARD,9.495811874194528,0.4296550326533032,0.35,3
1,Bautista Agut R.,HARD,8.957149350641991,0.33234804359711534,0.35,3
1,Korda S.,HARD,10.24379991018804,0.27334379623764327,0.35,3
1,Bonzi B.,HARD,9.172477694683243,0.3311385108884335,0.35,3
1,Carballes Baena R.,HARD,6.3142061087899215,0.5504643195141324,0.35,3
1,Mmoh M.,HARD,9.087341721752097,0.3321289688151805,0.35,3
1,Griekspoor T.,HARD,9.617587717232684,0.2695146219512275,0.35,3
1,Djere L.,HARD,8.564652337811273,0.33560865980545007,0.35,3
1,Cecchinato M.,HARD,5.567698553712089,1.0007761778960134,0.35,3
1,Krajinovic F.,HARD,7.4726277454422645,0.5279976639046094,0.35,3
1,Van Rijthoven T.,HARD,7.201763877447427,0.8491804805400508,0.35,3
1,Marterer M.,HARD,8.463310783905907,0.47362967859924443,0.35,3
1,Martinez P.,HARD,7.4149868259512575,0.6718279814272698,0.35,3
1,Karatsev A.,HARD,8.767231888372715,0.290689856413565,0.35,3
1,Cobolli F.,HARD,1.964755347078239,3.461027321736232,0.35,3
1,Van De Zandschulp B.,HARD,8.65883345316048,0.2643124702259311,0.35,3
1,Cilic M.,HARD,12.35963564620216,3.141822103857073,0.35,3
1,Davidovich Fokina A.,HARD,9.52096525677952,0.2648161304050246,0.35,3
1,Paul T.,HARD,10.062913572307846,0.2293713391393854,0.35,3
1,Millman J.,HARD,8.339460145415336,0.8635689456136316,0.35,3
1,Haase R.,HARD,9.372130170778334,0.8657960895364275,0.35,3
1,Huesler M.A.,HARD,7.124765467962835,0.4656259602193601,0.35,3
1,Kwon S.W.,HARD,8.584974237325069,0.47297942471639587,0.35,3
1,Ymer M.,HARD,7.296135132067999,0.4415660174827814,0.35,3
1,Kubler J.,HARD,7.732485038522419,0.43824722762863383,0.35,3
1,Lestienne C.,HARD,4.799092496177895,0.653299785578071,0.35,3
1,Goffin D.,HARD,7.876973841728212,0.5150057617474406,0.35,3
1,Brooksby J.,HARD,9.482605540503949,0.5373326845906615,0.35,3
1,Gasquet R.,HARD,8.02242722658149,0.3530741006469139,0.35,3
1,Wolf J.J.,HARD,8.604834531787368,0.25837941352858546,0.35,3
1,Barrere G.,HARD,7.9447361124658595,0.3079958599468081,0.35,3
1,Eubanks C.,HARD,7.94553667984791,0.2956843168882104,0.35,3
1,Lehecka J.,HARD,8.50057122224472,0.2773078555786235,0.35,3
1,Shelton B.,HARD,9.433926333921704,0.26624320535092544,0.35,3
1,Norrie C.,HARD,8.846351673741518,0.2890594416459774,0.35,3
1,Moutet C.,HARD,6.1937784922124415,0.5964113860617044,0.35,3
1,Watanuki Y.,HARD,8.046327912454457,0.497137352672461,0.35,3
1,Etcheverry T.,HARD,8.197497857760453,0.3445088978790557,0.35,3
1,Cerundolo F.,HARD,8.789920320581361,0.3285306105377681,0.35,3
1,Shang J.,HARD,8.347229222298076,0.41982697414178805,0.35,3
1,Hurkacz H.,HARD,10.5447454086033,0.26729099501432313,0.35,3
1,Tiafoe F.,HARD,9.277490651019273,0.25671931975093426,0.35,3
1,Nadal R.,HARD,9.558731744449346,0.8307729616320938,0.35,3
1,Daniel T.,HARD,7.948501980434258,0.35446075384247905,0.35,3
1,Sonego L.,HARD,8.729031236419381,0.274490683801592,0.35,3
1,Svrcina D.,HARD,3.553663633528614,1.900216771922618,0.35,3
1,Fucsovics M.,HARD,8.626156622204462,0.3344517824129683,0.35,3
1,Molcan A.,HARD,7.6846701548966685,0.485301187210589,0.35,3
1,Hijikata R.,HARD,7.979958836295588,0.35244442066267423,0.35,3
1,Auger-Aliassime F.,HARD,9.067234184119558,0.2479938288300052,0.35,3
1,Tsitsipas S.,HARD,10.327806893602759,0.2590378009193976,0.35,3
1,Harris L.,HARD,6.857585926861319,0.5347439037915174,0.35,3
1,Rublev A.,HARD,10.3261308151971,0.22654334201148627,0.35,3
1,Chardy J.,HARD,7.050257163761885,1.021837121646096,0.35,3
1,Evans D.,HARD,8.749957287094562,0.31142739512728373,0.35,3
1,Dimitrov G.,HARD,10.776866262052517,0.26784435551616276,0.35,3
1,Schwartzman D.,HARD,7.499570606505183,0.38337380380423436,0.35,3
