tournament_set,n,acc_unw,acc_wtd,acc_book,brier_unw,brier_wtd,brier_book,ll_unw,ll_wtd,ll_book,cal_unw,cal_wtd,cal_book
Grandslams,253,68.77470355731225,68.77470355731225,75.8893280632411,0.2519784380901039,0.2637677911729789,0.1576529995654767,1.1836559202625117,1.7064344371070854,0.4763193066284572,0.679127390953149,0.6856662471545822,0.6660803449298155
ATP500,182,64.83516483516483,64.83516483516483,68.13186813186813,0.30006921207735615,0.31066394857570795,0.1997423465126759,1.840464355747891,2.5185070150761315,0.5864772655189109,0.6295738243387665,0.6341938184594582,0.5915294022840544
All_2024_R1,1132,62.36749116607774,62.36749116607774,68.37455830388693,0.3062488882896594,0.32022390987969845,0.20047812058757922,1.5184510453697604,2.1041480488767332,0.5826588607238719,0.6142426216435797,0.6190176483447059,0.5899896341988662
ATP250,453,60.70640176600441,60.70640176600441,66.22516556291392,0.3161154037440783,0.3324052128588712,0.2140205668150966,1.412509830758755,1.915364978534855,0.6152284596897286,0.5953039580719276,0.6005393129013291,0.5629259901446945
Masters1000,221,57.9185520361991,57.9185520361991,65.61085972850678,0.3349561291244707,0.3500125338961624,0.21537161095996318,1.6256541711136998,2.28086123803934,0.6182451498803236,0.5814222735653629,0.5833324652931998,0.5649844015570944
