"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-01-01,1,"Brisbane International","1st Round","Hard","Outdoor","Safiullin R.","Shelton B.",2.3,1.62,40.49,59.51,"Shelton B.",FALSE,"Shelton B.",FALSE,FALSE,1
2024-01-01,1,"Brisbane International","1st Round","Hard","Outdoor","Rune H.","Purcell M.",1.25,4,99.97,0.03,"Rune H.",TRUE,"Rune H.",TRUE,FALSE,1
2024-01-01,1,"Brisbane International","1st Round","Hard","Outdoor","Dimitrov G.","Murray A.",1.33,3.4,99.83,0.17,"Dimitrov G.",TRUE,"Dimitrov G.",TRUE,FALSE,1
2024-01-02,1,"Brisbane International","1st Round","Hard","Outdoor","Hanfmann Y.","Korda S.",4.5,1.2,5.67,94.33,"Korda S.",FALSE,"Korda S.",FALSE,FALSE,1
2024-01-02,1,"Brisbane International","1st Round","Hard","Outdoor","Machac T.","Etcheverry T.",1.36,3.2,24.02,75.98,"Etcheverry T.",FALSE,"Machac T.",TRUE,TRUE,1
2024-01-02,1,"Brisbane International","1st Round","Hard","Outdoor","Thompson J.","Vukic A.",1.57,2.38,86.93,13.07,"Thompson J.",TRUE,"Thompson J.",TRUE,FALSE,1
2024-01-02,1,"Brisbane International","1st Round","Hard","Outdoor","Arnaldi M.","Fucsovics M.",1.91,1.91,45.41,54.59,"Fucsovics M.",FALSE,NA,FALSE,FALSE,1
2024-01-02,1,"Brisbane International","1st Round","Hard","Outdoor","Hijikata R.","Kokkinakis T.",2.63,1.5,22.35,77.65,"Kokkinakis T.",FALSE,"Kokkinakis T.",FALSE,FALSE,1
2024-01-03,1,"Brisbane International","1st Round","Hard","Outdoor","Humbert U.","Michelsen A.",1.4,3,77.85,22.15,"Humbert U.",TRUE,"Humbert U.",TRUE,FALSE,1
2024-01-01,2,"Hong Kong Tennis Open","1st Round","Hard","Outdoor","Kotov P.","Borges N.",2,1.8,97.74,2.26,"Kotov P.",TRUE,"Borges N.",FALSE,FALSE,2
2024-01-01,2,"Hong Kong Tennis Open","1st Round","Hard","Outdoor","Ruusuvuori E.","Bonzi B.",1.62,2.3,72.95,27.05,"Ruusuvuori E.",TRUE,"Ruusuvuori E.",TRUE,FALSE,2
2024-01-02,2,"Hong Kong Tennis Open","1st Round","Hard","Outdoor","Kecmanovic M.","Daniel T.",1.57,2.38,54.34,45.66,"Kecmanovic M.",TRUE,"Kecmanovic M.",TRUE,FALSE,2
2024-01-02,2,"Hong Kong Tennis Open","1st Round","Hard","Outdoor","Ofner S.","Mcdonald M.",2.75,1.44,39.07,60.93,"Mcdonald M.",FALSE,"Mcdonald M.",FALSE,FALSE,2
2024-01-02,2,"Hong Kong Tennis Open","1st Round","Hard","Outdoor","Bautista Agut R.","Marozsan F.",1.62,2.3,16.96,83.04,"Marozsan F.",FALSE,"Bautista Agut R.",TRUE,TRUE,2
2024-01-02,2,"Hong Kong Tennis Open","1st Round","Hard","Outdoor","Fils A.","Gojo B.",1.53,2.5,93.4,6.6,"Fils A.",TRUE,"Fils A.",TRUE,FALSE,2
2024-01-08,3,"Adelaide International","1st Round","Hard","Outdoor","Draper J.","Baez S.",1.17,5,96.49,3.51,"Draper J.",TRUE,"Draper J.",TRUE,FALSE,3
2024-01-08,3,"Adelaide International","1st Round","Hard","Outdoor","Shevchenko A.","Etcheverry T.",1.73,2.1,42.29,57.71,"Etcheverry T.",FALSE,"Shevchenko A.",TRUE,TRUE,3
2024-01-08,3,"Adelaide International","1st Round","Hard","Outdoor","Kecmanovic M.","Mcdonald M.",1.5,2.63,11.95,88.05,"Mcdonald M.",FALSE,"Kecmanovic M.",TRUE,TRUE,3
2024-01-08,3,"Adelaide International","1st Round","Hard","Outdoor","Lajovic D.","Kokkinakis T.",2.75,1.44,52.65,47.35,"Lajovic D.",TRUE,"Kokkinakis T.",FALSE,FALSE,3
2024-01-08,3,"Adelaide International","1st Round","Hard","Outdoor","Arnaldi M.","Zapata Miralles B.",1.13,6,95.66,4.34,"Arnaldi M.",TRUE,"Arnaldi M.",TRUE,FALSE,3
2024-01-09,3,"Adelaide International","1st Round","Hard","Outdoor","O Connell C.","Rinderknech A.",2.1,1.73,93.19,6.81,"O Connell C.",TRUE,"Rinderknech A.",FALSE,FALSE,3
