"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Nishioka Y.","Borges N.",2.38,1.57,98.53,1.47,"Nishioka Y.",TRUE,"Borges N.",FALSE,FALSE,16
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","De Minaur A.","Daniel T.",1.13,6,99.94,0.06,"De Minaur A.",TRUE,"De Minaur A.",TRUE,FALSE,16
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Arnaldi M.","Fritz T.",5,1.17,7.21,92.79,"Fritz T.",FALSE,"Fritz T.",FALSE,FALSE,16
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Cobolli F.","Auger-Aliassime F.",3,1.4,8.94,91.06,"Auger-Aliassime F.",FALSE,"Auger-Aliassime F.",FALSE,FALSE,16
2024-02-28,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Tiafoe F.","Purcell M.",1.36,3.2,99.68,0.32,"Tiafoe F.",TRUE,"Tiafoe F.",TRUE,FALSE,16
2024-02-28,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Tsitsipas S.","Safiullin R.",1.4,3,98.83,1.17,"Tsitsipas S.",TRUE,"Tsitsipas S.",TRUE,FALSE,16
2024-02-28,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Ruud C.","Eubanks C.",1.17,5,89.69,10.31,"Ruud C.",TRUE,"Ruud C.",TRUE,FALSE,16
2024-02-28,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Kovacevic A.","Thompson J.",2.5,1.53,6,94,"Thompson J.",FALSE,"Thompson J.",FALSE,FALSE,16
2024-02-28,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Altmaier D.","Zverev A.",10,1.06,0,100,"Zverev A.",FALSE,"Zverev A.",FALSE,FALSE,16
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Van De Zandschulp B.","Mannarino A.",1.91,1.91,5.73,94.27,"Mannarino A.",FALSE,NA,FALSE,FALSE,17
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Korda S.","Kotov P.",1.36,3.2,92.4,7.6,"Korda S.",TRUE,"Korda S.",TRUE,FALSE,17
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Bublik A.","Machac T.",2.1,1.73,78.95,21.05,"Bublik A.",TRUE,"Machac T.",FALSE,FALSE,17
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Rublev A.","Zhang Zh.",1.17,5,99.85,0.15,"Rublev A.",TRUE,"Rublev A.",TRUE,FALSE,17
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Hurkacz H.","Struff J.L.",1.17,5,93.76,6.24,"Hurkacz H.",TRUE,"Hurkacz H.",TRUE,FALSE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Lehecka J.","Fucsovics M.",1.62,2.3,55.08,44.92,"Lehecka J.",TRUE,"Lehecka J.",TRUE,FALSE,17
